v,v_eff,m,t
"[[8.58253070e-06]
 [1.13715573e-04]
 [1.15408910e-03]
 [2.35606780e-05]
 [2.11708398e-04]
 [2.41065332e-05]
 [1.64827249e-04]]","[[8.58253070e-06]
 [1.13715573e-04]
 [1.15408910e-03]
 [2.35606780e-05]
 [2.11708398e-04]
 [2.41065332e-05]
 [1.64827249e-04]]","[[ 0.00878879]
 [-0.03199125]
 [ 0.10191566]
 [ 0.0145618 ]
 [ 0.04365061]
 [ 0.01472952]
 [ 0.03851552]]",1
"[[6.34040869e-06]
 [8.32250869e-05]
 [8.42424909e-04]
 [1.73630690e-05]
 [1.56354501e-04]
 [1.74149239e-05]
 [1.21801406e-04]]","[[6.34040869e-06]
 [8.32250869e-05]
 [8.42424909e-04]
 [1.73630690e-05]
 [1.56354501e-04]
 [1.74149239e-05]
 [1.21801406e-04]]","[[ 0.00755405]
 [-0.02736834]
 [ 0.08707367]
 [ 0.0125007 ]
 [ 0.03751254]
 [ 0.01251936]
 [ 0.0331091 ]]",1
"[[4.50506101e-06]
 [5.85536917e-05]
 [5.91498078e-04]
 [1.23119721e-05]
 [1.11118207e-04]
 [1.20775802e-05]
 [8.66316551e-05]]","[[4.50506101e-06]
 [5.85536917e-05]
 [5.91498078e-04]
 [1.23119721e-05]
 [1.11118207e-04]
 [1.20775802e-05]
 [8.66316551e-05]]","[[ 0.00636754]
 [-0.02295612]
 [ 0.0729622 ]
 [ 0.01052653]
 [ 0.03162379]
 [ 0.01042584]
 [ 0.02792284]]",1
"[[3.05867957e-06]
 [3.93441962e-05]
 [3.96934443e-04]
 [8.34575891e-06]
 [7.54991761e-05]
 [7.98772766e-06]
 [5.89232267e-05]]","[[3.05867957e-06]
 [3.93441962e-05]
 [3.96934443e-04]
 [8.34575891e-06]
 [7.54991761e-05]
 [7.98772766e-06]
 [5.89232267e-05]]","[[ 0.00524672]
 [-0.01881749]
 [ 0.05976964]
 [ 0.00866671]
 [ 0.02606708]
 [ 0.00847877]
 [ 0.02302844]]",1
"[[1.95812351e-06]
 [2.49143902e-05]
 [2.51224266e-04]
 [5.33663244e-06]
 [4.83962423e-05]
 [4.97077172e-06]
 [3.78195238e-05]]","[[1.95812351e-06]
 [2.49143902e-05]
 [2.51224266e-04]
 [5.33663244e-06]
 [4.83962423e-05]
 [4.97077172e-06]
 [3.78195238e-05]]","[[ 0.00419799]
 [-0.0149743 ]
 [ 0.04755017]
 [ 0.00693035]
 [ 0.02087022]
 [ 0.00668857]
 [ 0.01844927]]",1
"[2.47499958e-05 1.73659762e-06 2.34496675e-07 ... 2.27636261e-04
 6.10332042e-06 1.19696672e-05]","[2.47499958e-05 1.73659762e-06 2.34496675e-07 ... 2.27636261e-04
 6.10332042e-06 1.19696672e-05]","[-0.01492481 -0.0039534  -0.00145275 ... -0.04526286 -0.00741147
 -0.01037916]",1
"[[1.17999818e-06]
 [1.48460342e-05]
 [1.49739092e-04]
 [3.21316803e-06]
 [2.92142076e-05]
 [2.90722916e-06]
 [2.28632389e-05]]","[[1.17999818e-06]
 [1.48460342e-05]
 [1.49739092e-04]
 [3.21316803e-06]
 [2.92142076e-05]
 [2.90722916e-06]
 [2.28632389e-05]]","[[ 0.00325883]
 [-0.01155917]
 [ 0.03671038]
 [ 0.00537759]
 [ 0.01621505]
 [ 0.00511518]
 [ 0.01434466]]",1
"[[2.01701566e-06]
 [2.53410121e-05]
 [2.56285164e-04]
 [5.45092357e-06]
 [4.96667382e-05]
 [4.97320931e-06]
 [3.87975374e-05]]","[[2.01701566e-06]
 [2.53410121e-05]
 [2.56285164e-04]
 [5.45092357e-06]
 [4.96667382e-05]
 [4.97320931e-06]
 [3.87975374e-05]]","[[ 0.00426065]
 [-0.01510196]
 [ 0.04802673]
 [ 0.00700416]
 [ 0.02114239]
 [ 0.00669021]
 [ 0.0186863 ]]",1
"[[1.19550587e-06]
 [1.48518674e-05]
 [1.50235910e-04]
 [3.22831106e-06]
 [2.94942452e-05]
 [2.85915853e-06]
 [2.30759488e-05]]","[[1.19550587e-06]
 [1.48518674e-05]
 [1.50235910e-04]
 [3.22831106e-06]
 [2.94942452e-05]
 [2.85915853e-06]
 [2.30759488e-05]]","[[ 0.00328018]
 [-0.01156144]
 [ 0.03677123]
 [ 0.00539025]
 [ 0.01629258]
 [ 0.00507271]
 [ 0.01441123]]",1
"[[1.96009685e-06]
 [2.43073980e-05]
 [2.46531807e-04]
 [5.25463107e-06]
 [4.81124265e-05]
 [4.68570973e-06]
 [3.75784272e-05]]","[[1.96009685e-06]
 [2.43073980e-05]
 [2.46531807e-04]
 [5.25463107e-06]
 [4.81124265e-05]
 [4.68570973e-06]
 [3.75784272e-05]]","[[ 0.0042001 ]
 [-0.01479076]
 [ 0.04710399]
 [ 0.00687689]
 [ 0.02080894]
 [ 0.00649395]
 [ 0.01839037]]",1
