epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
0,0.6778,0.6778,"[ 2.62422638e+00  4.52993201e+00 -3.28117350e-03  1.89561349e+00
  9.16028301e-01]",19.2198
1,0.6338,0.63,[2.61423648 4.51993586 0.00671686 1.90560629 0.90608522],19.1424
2,0.6262,0.6077,[2.60424191 4.50993774 0.01671589 1.9156034  0.89609608],19.0655
3,0.6319,0.6085,[2.59424672 4.49993942 0.02671499 1.92560079 0.88610443],18.9893
4,0.6308,0.606,[2.58425121 4.48994105 0.03671409 1.93559812 0.87611228],18.914
5,0.6428,0.6075,[2.57425544 4.47994264 0.04671318 1.94559536 0.86611971],18.8395
6,0.6392,0.6055,[2.56425943 4.46994419 0.05671227 1.95559255 0.85612677],18.7662
7,0.6434,0.6015,[2.55426326 4.4599457  0.06671136 1.96558965 0.84613358],18.694
8,0.6507,0.5992,[2.54426693 4.44994718 0.07671045 1.97558669 0.83614014],18.623
9,0.6391,0.5986,[2.53427046 4.43994863 0.08670953 1.98558364 0.82614651],18.5535
10,0.6379,0.5987,[2.52427394 4.42995009 0.0967086  1.99558043 0.8161529 ],18.4853
11,0.6506,0.603,[2.5142773  4.4199515  0.10670767 2.00557719 0.80615905],18.4187
12,0.6502,0.6002,[2.50428062 4.40995293 0.11670672 2.01557377 0.79616526],18.3536
13,0.6599,0.6038,[2.49428391 4.39995435 0.12670576 2.0255702  0.78617151],18.2902
14,0.652,0.5984,[2.48428718 4.38995578 0.13670478 2.03556646 0.77617782],18.2285
15,0.6547,0.5968,[2.47429041 4.3799572  0.14670379 2.04556261 0.7661841 ],18.1685
16,0.6498,0.5969,[2.46429363 4.36995861 0.15670279 2.0555586  0.75619041],18.1103
17,0.6598,0.6012,[2.45429681 4.35996002 0.16670179 2.0655545  0.74619667],18.054
18,0.6509,0.5909,[2.44430001 4.34996144 0.17670076 2.07555018 0.73620311],17.9995
19,0.6556,0.5918,[2.43430318 4.33996285 0.18669973 2.08554577 0.72620949],17.9469
20,0.6665,0.5995,[2.42430638 4.32996428 0.19669869 2.09554113 0.71621605],17.8961
21,0.6636,0.6009,[2.41430972 4.31996577 0.20669758 2.10553606 0.70622309],17.8473
22,0.669,0.5998,[2.40431301 4.30996724 0.21669649 2.11553093 0.69623004],17.8004
23,0.6682,0.5972,[2.3943164  4.29996874 0.22669536 2.12552546 0.68623733],17.7554
24,0.6743,0.6032,[2.38431984 4.28997027 0.23669421 2.1355197  0.67624486],17.7122
25,0.672,0.6001,[2.3743233  4.27997181 0.24669304 2.14551374 0.66625253],17.671
26,0.6766,0.6092,[2.36432689 4.26997339 0.25669184 2.15550736 0.65626063],17.6316
27,0.679,0.609,[2.35433056 4.25997501 0.2666906  2.16550062 0.64626908],17.5941
28,0.6734,0.5972,[2.3443343  4.24997665 0.27668935 2.17549357 0.63627781],17.5584
29,0.6823,0.6088,[2.33433818 4.23997834 0.28668805 2.18548601 0.62628707],17.5244
30,0.6779,0.6088,[2.32434221 4.22998009 0.2966867  2.19547792 0.6162969 ],17.4922
31,0.6767,0.6013,[2.31434648 4.21998193 0.30668528 2.20546905 0.60630763],17.4617
32,0.6849,0.6249,[2.3043509  4.20998382 0.31668382 2.21545962 0.59631896],17.4328
33,0.681,0.6087,[2.29435544 4.19998576 0.32668234 2.22544968 0.58633086],17.4055
34,0.6777,0.6087,[2.28436024 4.18998778 0.33668078 2.23543886 0.57634377],17.3797
35,0.6858,0.6286,[2.27436526 4.17998988 0.34667916 2.24542719 0.56635771],17.3554
36,0.6848,0.6232,[2.26437044 4.16999202 0.35667751 2.25541487 0.5563724 ],17.3325
37,0.6863,0.6305,[2.25437672 4.1599946  0.36667553 2.26539914 0.54639141],17.3109
38,0.6886,0.6281,[2.24438252 4.14999695 0.37667373 2.27538448 0.53640905],17.2905
39,0.6871,0.6298,[2.23438904 4.13999957 0.38667173 2.28536738 0.52642989],17.2713
40,0.6903,0.6478,[2.22439616 4.13000239 0.39666958 2.29534808 0.51645372],17.2532
41,0.6876,0.6272,[2.21440375 4.12000537 0.40666732 2.30532685 0.5064803 ],17.236
42,0.6928,0.6591,[2.20441169 4.11000844 0.416665   2.31530404 0.49650933],17.2198
43,0.6896,0.6326,[2.19442072 4.10001188 0.4266624  2.32527709 0.48654451],17.2044
44,0.6893,0.6337,[2.18443099 4.09001575 0.4366595  2.33524527 0.47658729],17.1898
45,0.6906,0.641,[2.17444161 4.08001968 0.44665657 2.34521135 0.46663434],17.1757
46,0.6902,0.6357,[2.16445393 4.07002417 0.45665323 2.3551704  0.45669374],17.1622
47,0.6912,0.657,[2.15446817 4.06002927 0.46664947 2.36512095 0.44676978],17.1492
48,0.6912,0.6515,[2.1444869  4.05003588 0.47664461 2.37505275 0.43688246],17.1365
49,0.6935,0.6736,[2.13450412 4.04004183 0.48664028 2.38498778 0.42699881],17.1241
50,0.6932,0.6822,[2.12452652 4.03004943 0.49663478 2.39489839 0.41718126],17.1118
51,0.6926,0.6726,[2.11460706 4.02007653 0.50661525 2.40456816 0.40793943],17.1001
52,0.6915,0.6687,[2.10464403 4.01008858 0.51660664 2.41440291 0.39845028],17.088
53,0.6925,0.6579,[2.09467668 4.000099   0.52659925 2.42424942 0.38911451],17.0758
54,0.6926,0.662,[2.08650685 3.99203231 0.53464774 2.43256312 0.3819402 ],17.0654
55,0.6928,0.6862,[2.07963184 3.98522014 0.54141075 2.43920683 0.3822956 ],17.0586
56,0.6926,0.6806,[2.07763064 3.98321975 0.54341101 2.44122482 0.38374147],17.0564
57,0.6932,0.6812,[2.07526992 3.98108791 0.54550561 2.44430257 0.38685809],17.0528
58,0.6931,0.704,[2.06732122 3.97310399 0.55349433 2.45199834 0.39402808],17.0431
59,0.6931,0.6843,[2.06327208 3.96908732 0.5575061  2.45621472 0.39814063],17.0367
60,0.6932,0.6805,[2.06508981 3.97102535 0.55554995 2.45503633 0.3970709 ],17.0381
61,0.6928,0.6795,[2.06518006 3.9710631  0.55552242 2.45503977 0.39710074],17.0378
