v,v_eff,m,t
"[[2.61161521e-06]
 [1.39306521e-05]
 [4.99027956e-05]
 [2.03495596e-06]
 [1.64385951e-08]]","[[2.61161521e-06]
 [1.39306521e-05]
 [4.99027956e-05]
 [2.03495596e-06]
 [1.64385951e-08]]","[[-0.00484815]
 [-0.01119714]
 [ 0.02119257]
 [ 0.00427956]
 [ 0.00038464]]",1
"[[1.62822599e-06]
 [8.88522428e-06]
 [3.21244476e-05]
 [1.37595626e-06]
 [6.59009442e-09]]","[[1.62822599e-06]
 [8.88522428e-06]
 [3.21244476e-05]
 [1.37595626e-06]
 [6.59009442e-09]]","[[-0.00382806]
 [-0.00894243]
 [ 0.01700353]
 [ 0.00351903]
 [ 0.00024354]]",1
"[[9.59880156e-07]
 [5.36041604e-06]
 [1.95703627e-05]
 [8.79315949e-07]
 [2.12121477e-09]]","[[9.59880156e-07]
 [5.36041604e-06]
 [1.95703627e-05]
 [8.79315949e-07]
 [2.12121477e-09]]","[[-0.0029392 ]
 [-0.00694577]
 [ 0.01327152]
 [ 0.00281316]
 [ 0.00013817]]",1
"[[5.15951361e-07]
 [2.95003644e-06]
 [1.08808025e-05]
 [5.12349848e-07]
 [4.48329639e-10]]","[[5.15951361e-07]
 [2.95003644e-06]
 [1.08808025e-05]
 [5.12349848e-07]
 [4.48329639e-10]]","[[-2.15489263e-03]
 [-5.15270103e-03]
 [ 9.89581843e-03]
 [ 2.14735852e-03]
 [ 6.35213881e-05]]",1
"[[2.45354635e-07]
 [1.43622864e-06]
 [5.35263472e-06]
 [2.63433766e-07]
 [3.37261411e-11]]","[[2.45354635e-07]
 [1.43622864e-06]
 [5.35263472e-06]
 [2.63433766e-07]
 [3.37261411e-11]]","[[-1.48599856e-03]
 [-3.59528270e-03]
 [ 6.94072853e-03]
 [ 1.53977397e-03]
 [ 1.74222636e-05]]",1
"[[8.39593871e-08]
 [5.03594621e-07]
 [1.89758893e-06]
 [9.76679377e-08]
 [4.10886723e-12]]","[[8.39593871e-08]
 [5.03594621e-07]
 [1.89758893e-06]
 [9.76679377e-08]
 [4.10886723e-12]]","[[-8.69272387e-04]
 [-2.12893203e-03]
 [ 4.13259004e-03]
 [ 9.37556099e-04]
 [-6.08110229e-06]]",1
"[[9.73450587e-09]
 [5.96621183e-08]
 [2.27772019e-07]
 [1.22721608e-08]
 [4.06098274e-12]]","[[9.73450587e-09]
 [5.96621183e-08]
 [2.27772019e-07]
 [1.22721608e-08]
 [4.06098274e-12]]","[[-2.95990799e-04]
 [-7.32774907e-04]
 [ 1.43176401e-03]
 [ 3.32339356e-04]
 [-6.04556405e-06]]",1
"[[6.11231832e-09]
 [3.83289837e-08]
 [1.48322385e-07]
 [8.37255411e-09]
 [7.51245221e-12]]","[[6.11231832e-09]
 [3.83289837e-08]
 [1.48322385e-07]
 [8.37255411e-09]
 [7.51245221e-12]]","[[ 2.34543951e-04]
 [ 5.87333682e-04]
 [-1.15537936e-03]
 [-2.74504985e-04]
 [ 8.22265589e-06]]",1
"[[6.04318653e-08]
 [3.83196663e-07]
 [1.48247871e-06]
 [8.72741241e-08]
 [2.00233593e-10]]","[[6.04318653e-08]
 [3.83196663e-07]
 [1.48247871e-06]
 [8.72741241e-08]
 [2.00233593e-10]]","[[ 7.37486805e-04]
 [ 1.85708642e-03]
 [-3.65271247e-03]
 [-8.86265827e-04]
 [ 4.24511759e-05]]",1
"[[1.63193754e-07]
 [1.04752915e-06]
 [4.05084628e-06]
 [2.48781096e-07]
 [1.09158024e-09]]","[[1.63193754e-07]
 [1.04752915e-06]
 [4.05084628e-06]
 [2.48781096e-07]
 [1.09158024e-09]]","[[ 1.21191740e-03]
 [ 3.07046615e-03]
 [-6.03801429e-03]
 [-1.49633882e-03]
 [ 9.91172144e-05]]",1
"[2.04427059e-06 3.25210590e-05 2.03906752e-06 ... 4.72982846e-03
 9.87517679e-04 1.11591855e-02]","[2.04427059e-06 3.25210590e-05 2.03906752e-06 ... 4.72982846e-03
 9.87517679e-04 1.11591855e-02]","[-0.00428934  0.01710817  0.00428388 ... -0.20632125 -0.09427438
 -0.31691114]",1
"[[3.08081273e-07]
 [2.00383766e-06]
 [7.74619466e-06]
 [4.96729639e-07]
 [3.54360582e-09]]","[[3.08081273e-07]
 [2.00383766e-06]
 [7.74619466e-06]
 [4.96729639e-07]
 [3.54360582e-09]]","[[ 0.00166515]
 [ 0.00424671]
 [-0.0083496 ]
 [-0.00211437]
 [ 0.00017858]]",1
"[[4.86254147e-07]
 [3.20711386e-06]
 [1.23927133e-05]
 [8.29967339e-07]
 [8.67384899e-09]]","[[4.86254147e-07]
 [3.20711386e-06]
 [1.23927133e-05]
 [8.29967339e-07]
 [8.67384899e-09]]","[[ 0.00209196]
 [ 0.00537252]
 [-0.01056099]
 [-0.00273308]
 [ 0.0002794 ]]",1
"[[6.81398784e-07]
 [4.55631509e-06]
 [1.75918855e-05]
 [1.22806937e-06]
 [1.73528175e-08]]","[[6.81398784e-07]
 [4.55631509e-06]
 [1.75918855e-05]
 [1.22806937e-06]
 [1.73528175e-08]]","[[ 0.00247641]
 [ 0.00640366]
 [-0.0125828 ]
 [-0.00332455]
 [ 0.00039519]]",1
"[[9.06846459e-07]
 [6.15920476e-06]
 [2.37663772e-05]
 [1.73382269e-06]
 [3.18986387e-08]]","[[9.06846459e-07]
 [6.15920476e-06]
 [2.37663772e-05]
 [1.73382269e-06]
 [3.18986387e-08]]","[[ 0.00285685]
 [ 0.00744532]
 [-0.01462523]
 [-0.00395024]
 [ 0.00053581]]",1
"[[1.14829122e-06]
 [7.92938498e-06]
 [3.05730994e-05]
 [2.33154874e-06]
 [5.37532103e-08]]","[[1.14829122e-06]
 [7.92938498e-06]
 [3.05730994e-05]
 [2.33154874e-06]
 [5.37532103e-08]]","[[ 0.00321475]
 [ 0.00844775]
 [-0.01658788]
 [-0.00458082]
 [ 0.00069554]]",1
"[[1.39817460e-06]
 [9.82363736e-06]
 [3.78355974e-05]
 [3.01549028e-06]
 [8.44010171e-08]]","[[1.39817460e-06]
 [9.82363736e-06]
 [3.78355974e-05]
 [3.01549028e-06]
 [8.44010171e-08]]","[[ 0.00354733]
 [ 0.0094028 ]
 [-0.01845319]
 [-0.00520955]
 [ 0.00087156]]",1
"[[1.65214718e-06]
 [1.18203293e-05]
 [4.54606209e-05]
 [3.78559888e-06]
 [1.25416740e-07]]","[[1.65214718e-06]
 [1.18203293e-05]
 [4.54606209e-05]
 [3.78559888e-06]
 [1.25416740e-07]]","[[ 0.00385608]
 [ 0.01031421]
 [-0.02022735]
 [-0.00583698]
 [ 0.00106243]]",1
"[[1.90787967e-06]
 [1.39135968e-05]
 [5.34159677e-05]
 [4.64760947e-06]
 [1.78626231e-07]]","[[1.90787967e-06]
 [1.39135968e-05]
 [5.34159677e-05]
 [4.64760947e-06]
 [1.78626231e-07]]","[[ 0.00414378]
 [ 0.01119028]
 [-0.02192587]
 [-0.00646749]
 [ 0.00126793]]",1
"[[2.15900726e-06]
 [1.60600614e-05]
 [6.15184320e-05]
 [5.58929661e-06]
 [2.44711100e-07]]","[[2.15900726e-06]
 [1.60600614e-05]
 [6.15184320e-05]
 [5.58929661e-06]
 [2.44711100e-07]]","[[ 0.00440807]
 [ 0.0120225 ]
 [-0.02353011]
 [-0.00709251]
 [ 0.00148405]]",1
"[[2.40242957e-06]
 [1.82396824e-05]
 [6.96770082e-05]
 [6.60566277e-06]
 [3.24367596e-07]]","[[2.40242957e-06]
 [1.82396824e-05]
 [6.96770082e-05]
 [6.60566277e-06]
 [3.24367596e-07]]","[[ 0.00464993]
 [ 0.01281238]
 [-0.02504183]
 [-0.00771045]
 [ 0.0017086 ]]",1
"[2.25393974e-09 4.21518924e-06 2.08120891e-08 ... 9.22544484e-04
 2.80518155e-04 2.13116782e-03]","[2.25393974e-09 4.21518924e-06 2.08120891e-08 ... 9.22544484e-04
 2.80518155e-04 2.13116782e-03]","[ 0.00014243  0.00615928  0.00043279 ... -0.09112025 -0.05024603
 -0.13849372]",1
"[[2.63532217e-06]
 [2.04306775e-05]
 [7.77939612e-05]
 [7.68846824e-06]
 [4.17731749e-07]]","[[2.63532217e-06]
 [2.04306775e-05]
 [7.77939612e-05]
 [7.68846824e-06]
 [4.17731749e-07]]","[[ 0.0048701 ]
 [ 0.01356009]
 [-0.02646027]
 [-0.00831843]
 [ 0.00193897]]",1
"[[2.85827245e-06]
 [2.26454551e-05]
 [8.59076549e-05]
 [8.84715485e-06]
 [5.26061279e-07]]","[[2.85827245e-06]
 [2.26454551e-05]
 [8.59076549e-05]
 [8.84715485e-06]
 [5.26061279e-07]]","[[ 0.00507193]
 [ 0.01427617]
 [-0.02780591]
 [-0.00892325]
 [ 0.0021759 ]]",1
"[[3.06994315e-06]
 [2.48768191e-05]
 [9.39787059e-05]
 [1.00809125e-05]
 [6.49730069e-07]]","[[3.06994315e-06]
 [2.48768191e-05]
 [9.39787059e-05]
 [1.00809125e-05]
 [6.49730069e-07]]","[[ 0.00525638]
 [ 0.014963  ]
 [-0.02908278]
 [-0.00952514]
 [ 0.00241818]]",1
"[[3.26428845e-06]
 [2.70460694e-05]
 [1.01690294e-04]
 [1.13394442e-05]
 [7.84241099e-07]]","[[3.26428845e-06]
 [2.70460694e-05]
 [1.01690294e-04]
 [1.13394442e-05]
 [7.84241099e-07]]","[[ 0.0054202 ]
 [ 0.01560175]
 [-0.03025248]
 [-0.01010223]
 [ 0.00265672]]",1
"[[3.44180018e-06]
 [2.91423001e-05]
 [1.08997940e-04]
 [1.26086619e-05]
 [9.27667768e-07]]","[[3.44180018e-06]
 [2.91423001e-05]
 [1.08997940e-04]
 [1.26086619e-05]
 [9.27667768e-07]]","[[ 0.00556563]
 [ 0.01619508]
 [-0.03132062]
 [-0.0106526 ]
 [ 0.00288947]]",1
"[[3.60507433e-06]
 [3.11877603e-05]
 [1.15987781e-04]
 [1.38978926e-05]
 [1.08026752e-06]]","[[3.60507433e-06]
 [3.11877603e-05]
 [1.15987781e-04]
 [1.38978926e-05]
 [1.08026752e-06]]","[[ 0.00569611]
 [ 0.0167538 ]
 [-0.03230929]
 [-0.01118396]
 [ 0.00311808]]",1
"[[3.74656435e-06]
 [3.29984301e-05]
 [1.21965220e-04]
 [1.50552988e-05]
 [1.22570866e-06]]","[[3.74656435e-06]
 [3.29984301e-05]
 [1.21965220e-04]
 [1.50552988e-05]
 [1.22570866e-06]]","[[ 0.00580681]
 [ 0.01723328]
 [-0.03313136]
 [-0.01164035]
 [ 0.00332135]]",1
"[[3.75314023e-06]
 [3.21001767e-05]
 [1.17680321e-04]
 [1.41086423e-05]
 [1.15398759e-06]]","[[3.75314023e-06]
 [3.21001767e-05]
 [1.17680321e-04]
 [1.41086423e-05]
 [1.15398759e-06]]","[[ 0.00581191]
 [ 0.01699711]
 [-0.03254417]
 [-0.01126844]
 [ 0.00322271]]",1
"[[3.88842319e-06]
 [3.37324308e-05]
 [1.22887602e-04]
 [1.51091194e-05]
 [1.28802209e-06]]","[[3.88842319e-06]
 [3.37324308e-05]
 [1.22887602e-04]
 [1.51091194e-05]
 [1.28802209e-06]]","[[ 0.00591573]
 [ 0.01742389]
 [-0.0332564 ]
 [-0.01166114]
 [ 0.00340473]]",1
"[[3.98046666e-06]
 [3.45234799e-05]
 [1.24904397e-04]
 [1.54643905e-05]
 [1.35570695e-06]]","[[3.98046666e-06]
 [3.45234799e-05]
 [1.24904397e-04]
 [1.54643905e-05]
 [1.35570695e-06]]","[[ 0.00598533]
 [ 0.01762701]
 [-0.03352819]
 [-0.01179744]
 [ 0.00349304]]",1
"[8.14089568e-15 1.71782273e-11 2.30797556e-13 ... 8.22243024e-09
 3.10061715e-09 1.85769099e-08]","[8.14089568e-15 1.71782273e-11 2.30797556e-13 ... 8.22243024e-09
 3.10061715e-09 1.85769099e-08]","[ 2.70680737e-07  1.24339875e-05  1.44124183e-06 ... -2.72032851e-04
 -1.67049556e-04 -4.08891415e-04]",1
"[[4.08356096e-06]
 [3.55514373e-05]
 [1.27755522e-04]
 [1.60049958e-05]
 [1.44575725e-06]]","[[4.08356096e-06]
 [3.55514373e-05]
 [1.27755522e-04]
 [1.60049958e-05]
 [1.44575725e-06]]","[[ 0.00606235]
 [ 0.01788751]
 [-0.0339087 ]
 [-0.01200187]
 [ 0.00360719]]",1
"[[4.08231608e-06]
 [3.44086910e-05]
 [1.22685611e-04]
 [1.48593719e-05]
 [1.34649574e-06]]","[[4.08231608e-06]
 [3.44086910e-05]
 [1.22685611e-04]
 [1.48593719e-05]
 [1.34649574e-06]]","[[ 0.00606142]
 [ 0.01759768]
 [-0.03322906]
 [-0.01156436]
 [ 0.00348116]]",1
"[[4.10242462e-06]
 [3.38477084e-05]
 [1.19782941e-04]
 [1.42062295e-05]
 [1.30005536e-06]]","[[4.10242462e-06]
 [3.38477084e-05]
 [1.19782941e-04]
 [1.42062295e-05]
 [1.30005536e-06]]","[[ 0.00607633]
 [ 0.01745364]
 [-0.03283362]
 [-0.01130735]
 [ 0.0034206 ]]",1
"[[4.20636243e-06]
 [3.47622012e-05]
 [1.22214679e-04]
 [1.46279768e-05]
 [1.37733434e-06]]","[[4.20636243e-06]
 [3.47622012e-05]
 [1.22214679e-04]
 [1.46279768e-05]
 [1.37733434e-06]]","[[ 0.00615283]
 [ 0.01768784]
 [-0.03316522]
 [-0.01147396]
 [ 0.0035208 ]]",1
"[[4.34678555e-06]
 [3.63588237e-05]
 [1.27031404e-04]
 [1.55538951e-05]
 [1.51689574e-06]]","[[4.34678555e-06]
 [3.63588237e-05]
 [1.27031404e-04]
 [1.55538951e-05]
 [1.51689574e-06]]","[[ 0.00625468]
 [ 0.01808948]
 [-0.03381246]
 [-0.01183153]
 [ 0.00369487]]",1
"[[4.33206100e-06]
 [3.51505730e-05]
 [1.21886565e-04]
 [1.44295485e-05]
 [1.41119111e-06]]","[[4.33206100e-06]
 [3.51505730e-05]
 [1.21886565e-04]
 [1.44295485e-05]
 [1.41119111e-06]]","[[ 0.00624408]
 [ 0.01778638]
 [-0.03312067]
 [-0.01139587]
 [ 0.00356381]]",1
"[[4.38625432e-06]
 [3.52071772e-05]
 [1.21245774e-04]
 [1.42375817e-05]
 [1.41639165e-06]]","[[4.38625432e-06]
 [3.52071772e-05]
 [1.21245774e-04]
 [1.42375817e-05]
 [1.41639165e-06]]","[[ 0.00628302]
 [ 0.01780069]
 [-0.0330335 ]
 [-0.01131982]
 [ 0.00357037]]",1
"[[4.55997304e-06]
 [3.72545041e-05]
 [1.27539274e-04]
 [1.54444659e-05]
 [1.59663379e-06]]","[[4.55997304e-06]
 [3.72545041e-05]
 [1.27539274e-04]
 [1.54444659e-05]
 [1.59663379e-06]]","[[ 0.00640623]
 [ 0.01831094]
 [-0.03387999]
 [-0.01178983]
 [ 0.00379074]]",1
"[[4.54569961e-06]
 [3.61296780e-05]
 [1.22794343e-04]
 [1.44131571e-05]
 [1.49636210e-06]]","[[4.54569961e-06]
 [3.61296780e-05]
 [1.22794343e-04]
 [1.44131571e-05]
 [1.49636210e-06]]","[[ 0.00639619]
 [ 0.01803239]
 [-0.03324378]
 [-0.0113894 ]
 [ 0.00366978]]",1
"[[4.53986420e-06]
 [3.52987396e-05]
 [1.19116491e-04]
 [1.36383884e-05]
 [1.42554453e-06]]","[[4.53986420e-06]
 [3.52987396e-05]
 [1.19116491e-04]
 [1.36383884e-05]
 [1.42554453e-06]]","[[ 0.00639209]
 [ 0.01782382]
 [-0.03274215]
 [-0.01107906]
 [ 0.00358189]]",1
"[4.31455405e-13 9.82640891e-10 1.24394395e-11 ... 4.48442595e-07
 1.66026166e-07 1.01448863e-06]","[4.31455405e-13 9.82640891e-10 1.24394395e-11 ... 4.48442595e-07
 1.66026166e-07 1.01448863e-06]","[-1.97055795e-06 -9.40413102e-05 -1.05808769e-05 ...  2.00897570e-03
  1.22238925e-03  3.02165479e-03]",1
