epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
0,0.7154,0.5441,"[2.63022161 4.51593387 0.01068927 1.9096094  0.93209312 0.59017694
 1.18015198]",12.1445
1,0.6926,0.7105,"[2.63420849 4.5119388  0.01464075 1.9136022  0.93608883 0.59416767
 1.17636071]",12.2572
2,0.6933,0.7029,"[2.6282905  4.51790683 0.00891657 1.90764992 0.93011696 0.58822529
 1.18170796]",12.0915
3,0.692,0.7115,"[2.62194516e+00 4.52408652e+00 2.32715058e-03 1.90141181e+00
 9.23956716e-01 5.81942214e-01 1.18825090e+00]",11.9082
4,0.6931,0.6828,"[2.62170412e+00 4.52419188e+00 1.57790737e-03 1.90126440e+00
 9.23864533e-01 5.81757915e-01 1.18924787e+00]",11.8966
5,0.6932,0.6985,"[2.62165856e+00 4.52421000e+00 1.36848433e-03 1.90123850e+00
 9.23848864e-01 5.81724236e-01 1.18958545e+00]",11.8933
6,0.6931,0.6915,"[ 2.61552523  4.53026953 -0.00511913  1.89515786  0.91779754  0.57561775
  1.19598958]",11.7132
7,0.6932,0.6956,"[ 2.61206446  4.53396702 -0.0079846   1.89154105  0.91406693  0.57207956
  1.19887227]",11.6147
8,0.6931,0.6982,"[ 2.61011177  4.53594759 -0.00967325  1.88956819  0.91208357  0.57011591
  1.20059044]",11.559
9,0.6931,0.7129,"[ 2.60813916  4.53793643 -0.01147759  1.88758393  0.91009315  0.56813675
  1.20241997]",11.502
10,0.6927,0.6876,"[ 2.60599706  4.53999978 -0.01416992  1.88549929  0.90803897  0.56602129
  1.20495294]",11.4363
11,0.6934,0.6832,"[ 2.60799538  4.53800018 -0.01226475  1.88749878  0.91003867  0.56802003
  1.20300745]",11.4948
12,0.6931,0.6888,"[ 2.60799284  4.53800113 -0.01232768  1.88749765  0.91003791  0.56801784
  1.20304239]",11.4945
13,0.6931,0.7133,"[ 2.61186821  4.53405292 -0.00930093  1.89142681  0.91399385  0.57191975
  1.19976986]",11.6042
14,0.6932,0.6993,"[ 2.60788324  4.53804674 -0.01316357  1.88743552  0.90999914  0.56793123
  1.20367928]",11.4876
15,0.693,0.6822,"[ 2.60393876  4.5420239  -0.01651189  1.88346691  0.90601853  0.56397483
  1.20732588]",11.3733
16,0.6932,0.6813,"[ 2.60593014  4.54002773 -0.01459565  1.88546201  0.9080153   0.56596753
  1.20536154]",11.4319
17,0.6925,0.7192,"[ 2.60401472  4.54199247 -0.01579706  1.88351016  0.90604524  0.56403447
  1.20688038]",11.3782
18,0.6931,0.6907,"[ 2.6020505   4.5439775  -0.01759371  1.88153068  0.90405797  0.56206271
  1.20868753]",11.3212
19,0.6931,0.6896,"[ 2.60596383  4.54001306 -0.01512819  1.88548265  0.90802802  0.5659933
  1.20527628]",11.4331
20,0.6931,0.6962,"[ 2.60591497  4.54003328 -0.01557419  1.88545519  0.9080109   0.56595452
  1.20557262]",11.4299
21,0.6928,0.6796,"[ 2.60195598  4.54401621 -0.01908594  1.88147855  0.90402538  0.56198696
  1.2093347 ]",11.3143
22,0.6932,0.6813,"[ 2.60370848  4.54213272 -0.01837496  1.88332616  0.90592553  0.56378042
  1.20811064]",11.3628
