v,v_eff,m,t
"[[7.24562415e-05]
 [5.05153420e-04]
 [9.66652656e-04]
 [6.05592516e-04]
 [4.13241910e-04]
 [2.88636475e-04]
 [5.53337825e-04]
 [2.38487590e-05]
 [1.66913330e-05]]","[[7.24562415e-05]
 [5.05153420e-04]
 [9.66652656e-04]
 [6.05592516e-04]
 [4.13241910e-04]
 [2.88636475e-04]
 [5.53337825e-04]
 [2.38487590e-05]
 [1.66913330e-05]]","[[ 0.02553637]
 [ 0.06742686]
 [ 0.09327311]
 [-0.07382637]
 [-0.06098506]
 [-0.05096791]
 [-0.0705694 ]
 [ 0.01465056]
 [-0.01225651]]",1
"[[6.53092319e-05]
 [4.52673791e-04]
 [8.60814202e-04]
 [5.44058718e-04]
 [3.73487051e-04]
 [2.58608168e-04]
 [4.98249401e-04]
 [2.12138108e-05]
 [1.52842714e-05]]","[[6.53092319e-05]
 [4.52673791e-04]
 [8.60814202e-04]
 [5.44058718e-04]
 [3.73487051e-04]
 [2.58608168e-04]
 [4.98249401e-04]
 [2.12138108e-05]
 [1.52842714e-05]]","[[ 0.02424424]
 [ 0.0638284 ]
 [ 0.08801891]
 [-0.0699752 ]
 [-0.05797744]
 [-0.0482439 ]
 [-0.0669645 ]
 [ 0.01381754]
 [-0.01172853]]",1
"[[5.86346853e-05]
 [4.03918685e-04]
 [7.62922651e-04]
 [4.86796163e-04]
 [3.36120216e-04]
 [2.30772269e-04]
 [4.46791401e-04]
 [1.87766842e-05]
 [1.39224947e-05]]","[[5.86346853e-05]
 [4.03918685e-04]
 [7.62922651e-04]
 [4.86796163e-04]
 [3.36120216e-04]
 [2.30772269e-04]
 [4.46791401e-04]
 [1.87766842e-05]
 [1.39224947e-05]]","[[ 0.02297199]
 [ 0.06029319]
 [ 0.08286316]
 [-0.06619037]
 [-0.05500074]
 [-0.04557357]
 [-0.06341232]
 [ 0.01299962]
 [-0.01119386]]",1
"[[5.24348963e-05]
 [3.58874263e-04]
 [6.72921953e-04]
 [4.33789429e-04]
 [3.01197595e-04]
 [2.05102854e-04]
 [3.98986405e-04]
 [1.65368219e-05]
 [1.26146954e-05]]","[[5.24348963e-05]
 [3.58874263e-04]
 [6.72921953e-04]
 [4.33789429e-04]
 [3.01197595e-04]
 [2.05102854e-04]
 [3.98986405e-04]
 [1.65368219e-05]
 [1.26146954e-05]]","[[ 0.02172358]
 [ 0.05683193]
 [ 0.07782222]
 [-0.06248284]
 [-0.05206514]
 [-0.04296424]
 [-0.05992393]
 [ 0.01219965]
 [-0.01065515]]",1
"[[4.66976289e-05]
 [3.17426794e-04]
 [5.90559784e-04]
 [3.84907245e-04]
 [2.68693779e-04]
 [1.81519475e-04]
 [3.54748800e-04]
 [1.44884098e-05]
 [1.13663441e-05]]","[[4.66976289e-05]
 [3.17426794e-04]
 [5.90559784e-04]
 [3.84907245e-04]
 [2.68693779e-04]
 [1.81519475e-04]
 [3.54748800e-04]
 [1.44884098e-05]
 [1.13663441e-05]]","[[ 0.0205007 ]
 [ 0.05344943]
 [ 0.07290431]
 [-0.05885716]
 [-0.04917564]
 [-0.04041875]
 [-0.05650433]
 [ 0.01141909]
 [-0.0101142 ]]",1
"[[4.14128707e-05]
 [2.79477930e-04]
 [5.15607488e-04]
 [3.40038805e-04]
 [2.38594391e-04]
 [1.59952046e-04]
 [3.14009611e-04]
 [1.26260827e-05]
 [1.01832041e-05]]","[[4.14128707e-05]
 [2.79477930e-04]
 [5.15607488e-04]
 [3.40038805e-04]
 [2.38594391e-04]
 [1.59952046e-04]
 [3.14009611e-04]
 [1.26260827e-05]
 [1.01832041e-05]]","[[ 0.01930585]
 [ 0.05015278]
 [ 0.06812098]
 [-0.05532042]
 [-0.0463395 ]
 [-0.03794164]
 [-0.05316095]
 [ 0.01065996]
 [-0.00957334]]",1
"[[3.65755654e-05]
 [2.44962136e-04]
 [4.47891144e-04]
 [2.99114934e-04]
 [2.10911328e-04]
 [1.40350675e-04]
 [2.76736384e-04]
 [1.09457233e-05]
 [9.07195757e-06]]","[[3.65755654e-05]
 [2.44962136e-04]
 [4.47891144e-04]
 [2.99114934e-04]
 [2.10911328e-04]
 [1.40350675e-04]
 [2.76736384e-04]
 [1.09457233e-05]
 [9.07195757e-06]]","[[ 0.01814332]
 [ 0.0469538 ]
 [ 0.06349032]
 [-0.05188482]
 [-0.04356836]
 [-0.03554091]
 [-0.04990619]
 [ 0.0099253 ]
 [-0.00903591]]",1
"[[3.21308008e-05]
 [2.13475698e-04]
 [3.86596004e-04]
 [2.61664216e-04]
 [1.85367856e-04]
 [1.22478275e-04]
 [2.42520930e-04]
 [9.42673877e-06]
 [8.02652153e-06]]","[[3.21308008e-05]
 [2.13475698e-04]
 [3.86596004e-04]
 [2.61664216e-04]
 [1.85367856e-04]
 [1.22478275e-04]
 [2.42520930e-04]
 [9.42673877e-06]
 [8.02652153e-06]]","[[ 0.01700521]
 [ 0.04383242]
 [ 0.05898613]
 [-0.04852811]
 [-0.04084496]
 [-0.03320097]
 [-0.04671925]
 [ 0.0092109 ]
 [-0.00849933]]",1
"[[2.80370327e-05]
 [1.84709483e-04]
 [3.31089677e-04]
 [2.27326693e-04]
 [1.61757344e-04]
 [1.06152330e-04]
 [2.11054000e-04]
 [8.05323320e-06]
 [7.04294649e-06]]","[[2.80370327e-05]
 [1.84709483e-04]
 [3.31089677e-04]
 [2.27326693e-04]
 [1.61757344e-04]
 [1.06152330e-04]
 [2.11054000e-04]
 [8.05323320e-06]
 [7.04294649e-06]]","[[ 0.015885  ]
 [ 0.04077236]
 [ 0.05458761]
 [-0.04523207]
 [-0.03815516]
 [-0.03090908]
 [-0.04358309]
 [ 0.00851347]
 [-0.00796157]]",1
"[[2.43379231e-05]
 [1.58925365e-04]
 [2.81795020e-04]
 [1.96430102e-04]
 [1.40360146e-04]
 [9.15115620e-05]
 [1.82664412e-04]
 [6.83603390e-06]
 [6.13823293e-06]]","[[2.43379231e-05]
 [1.58925365e-04]
 [2.81795020e-04]
 [1.96430102e-04]
 [1.40360146e-04]
 [9.15115620e-05]
 [1.82664412e-04]
 [6.83603390e-06]
 [6.13823293e-06]]","[[ 0.01480004]
 [ 0.03781968]
 [ 0.05036025]
 [-0.04204606]
 [-0.03554211]
 [-0.0286985 ]
 [-0.04054602]
 [ 0.00784374]
 [-0.00743264]]",1
"[7.07309823e-07 1.33858899e-05 8.04022914e-05 ... 1.10474132e-04
 6.12538476e-05 6.21574816e-05]","[7.07309823e-07 1.33858899e-05 8.04022914e-05 ... 1.10474132e-04
 6.12538476e-05 6.21574816e-05]","[-0.00252305 -0.01097602  0.0269002  ...  0.031532    0.02347945
 -0.023652  ]",1
"[[2.09390075e-05]
 [1.35460847e-04]
 [2.37421646e-04]
 [1.68190474e-04]
 [1.20656632e-04]
 [7.81786936e-05]
 [1.56642704e-04]
 [5.74247346e-06]
 [5.29361655e-06]]","[[2.09390075e-05]
 [1.35460847e-04]
 [2.37421646e-04]
 [1.68190474e-04]
 [1.20656632e-04]
 [7.81786936e-05]
 [1.56642704e-04]
 [5.74247346e-06]
 [5.29361655e-06]]","[[ 0.01372775]
 [ 0.03491629]
 [ 0.04622548]
 [-0.03890648]
 [-0.03295314]
 [-0.02652561]
 [-0.03754709]
 [ 0.00718904]
 [-0.00690236]]",1
"[[1.78849685e-05]
 [1.14580286e-04]
 [1.98382577e-04]
 [1.42942958e-04]
 [1.02926263e-04]
 [6.62973250e-05]
 [1.33321158e-04]
 [4.78294036e-06]
 [4.52527777e-06]]","[[1.78849685e-05]
 [1.14580286e-04]
 [1.98382577e-04]
 [1.42942958e-04]
 [1.02926263e-04]
 [6.62973250e-05]
 [1.33321158e-04]
 [4.78294036e-06]
 [4.52527777e-06]]","[[ 0.01268719]
 [ 0.03211265]
 [ 0.0422545 ]
 [-0.03586763]
 [-0.03043577]
 [-0.02442695]
 [-0.03463943]
 [ 0.00656098]
 [-0.00638181]]",1
"[[1.51567361e-05]
 [9.61201961e-05]
 [1.64295104e-04]
 [1.20509027e-04]
 [8.70765215e-05]
 [5.57732168e-05]
 [1.12551144e-04]
 [3.94760114e-06]
 [3.83242333e-06]]","[[1.51567361e-05]
 [9.61201961e-05]
 [1.64295104e-04]
 [1.20509027e-04]
 [8.70765215e-05]
 [5.57732168e-05]
 [1.12551144e-04]
 [3.94760114e-06]
 [3.83242333e-06]]","[[ 0.0116795 ]
 [ 0.02941227]
 [ 0.0384533 ]
 [-0.03293298]
 [-0.02799444]
 [-0.02240444]
 [-0.03182704]
 [ 0.00596057]
 [-0.00587297]]",1
"[[1.27129839e-05]
 [7.97734872e-05]
 [1.34522155e-04]
 [1.00533979e-04]
 [7.28813529e-05]
 [4.64323718e-05]
 [9.40162585e-05]
 [3.22028485e-06]
 [3.20757937e-06]]","[[1.27129839e-05]
 [7.97734872e-05]
 [1.34522155e-04]
 [1.00533979e-04]
 [7.28813529e-05]
 [4.64323718e-05]
 [9.40162585e-05]
 [3.22028485e-06]
 [3.20757937e-06]]","[[ 0.01069658]
 [ 0.0267948 ]
 [ 0.03479511]
 [-0.03007999]
 [-0.02561117]
 [-0.02044239]
 [-0.02908859]
 [ 0.00538355]
 [-0.00537291]]",1
