epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
40,0.693,0.7059,"[ 2.57393002  4.48065183 -0.04446591  1.94473345  0.96730796  0.62575613
  1.2154354   2.12266895  2.54066368]",19.7529
41,0.6929,0.674,"[ 2.57293837  4.47961228 -0.04551292  1.9457844   0.96835194  0.6267781
  1.21648598  2.12174864  2.54160908]",19.7502
42,0.6932,0.6922,"[ 2.57488812  4.48158819 -0.04353485  1.94380494  0.96637448  0.62480929
  1.21450662  2.12362264  2.53970433]",19.7559
43,0.6929,0.7031,"[ 2.57501674  4.48165075 -0.04347861  1.94375113  0.96631518  0.62472887
  1.21445245  2.12391034  2.53947223]",19.7569
44,0.693,0.6883,"[ 2.5730027   4.47964406 -0.04548482  1.94575679  0.96832137  0.62673756
  1.21645812  2.12187123  2.54150007]",19.7506
45,0.6931,0.6919,"[ 2.57680937  4.48355097 -0.04156889  1.94183654  0.9644092   0.62285763
  1.21253836  2.12541062  2.53785944]",19.7614
46,0.692,0.7201,"[ 2.57679317  4.48354333 -0.04157587  1.94184302  0.96441639  0.62286746
  1.21254489  2.1253675   2.53789165]",19.7612
47,0.693,0.6841,"[ 2.57285309  4.47957109 -0.04555098  1.94581929  0.96839027  0.62683109
  1.21652106  2.1215237   2.54177404]",19.7494
48,0.693,0.6803,"[ 2.5730776   4.47969202 -0.04544044  1.94571407  0.96827602  0.62667913
  1.21641547  2.1219353   2.54142191]",19.7508
49,0.693,0.7059,"[ 2.57133995  4.47783906 -0.0473055   1.9475854   0.9701367   0.62849662
  1.21828632  2.12037713  2.54303227]",19.7463
50,0.6932,0.6944,"[ 2.56956946  4.47595576 -0.04919923  1.94948478  0.97202703  0.63034751
  1.22018532  2.11886185  2.54464039]",19.7421
51,0.6931,0.6882,"[ 2.57269408  4.47939584 -0.04572526  1.94598615  0.96855891  0.62701402
  1.21668725  2.12151368  2.54183221]",19.7493
52,0.6931,0.6967,"[ 2.57276092  4.47942827 -0.04569605  1.94595829  0.96852835  0.62697209
  1.21665926  2.121666    2.54171109]",19.7499
53,0.693,0.6766,"[ 2.57265257  4.47936621 -0.04575378  1.94601243  0.96858637  0.62704929
  1.21671342  2.12148469  2.54186791]",19.7492
54,0.693,0.6777,"[ 2.57268319  4.47938063 -0.04574084  1.94600008  0.96857286  0.62703038
  1.21670103  2.12156071  2.54180991]",19.7495
55,0.6931,0.6928,"[ 2.57667975  4.48337778 -0.04174383  1.94200253  0.96457528  0.6230338
  1.21270343  2.1255556   2.53781211]",19.7618
56,0.6921,0.7164,"[ 2.57664451  4.4833608  -0.04175931  1.94201702  0.96459121  0.6230557
  1.212718    2.12546874  2.53787839]",19.7615
57,0.693,0.7031,"[ 2.57282173  4.47945098 -0.04567746  1.94593913  0.96850609  0.62694072
  1.21663975  2.12183592  2.54157725]",19.7504
58,0.693,0.6983,"[ 2.569295    4.47573991 -0.04940939  1.94968259  0.97223092  0.63059191
  1.22038239  2.11856798  2.5449226 ]",19.7411
59,0.6931,0.6813,"[ 2.57148651  4.47784162 -0.04731647  1.94759435  0.97013501  0.62846363
  1.21829379  2.12092631  2.54261789]",19.7482
60,0.6931,0.7028,"[ 2.57149867  4.47784719 -0.04731155  1.94758956  0.97012976  0.62845625
  1.21828898  2.12095673  2.54259455]",19.7483
61,0.6922,0.7118,"[ 2.57543543  4.48181758 -0.04333846  1.94361472  0.96615741  0.62449484
  1.21431427  2.12478766  2.5387189 ]",19.7599
