v,v_eff,m,t
"[[1.09329877e-04]
 [1.80871659e-04]
 [3.71965302e-03]
 [2.06472975e-04]
 [6.68235592e-04]
 [4.68448406e-05]
 [5.31261601e-04]
 [5.83397638e-08]
 [6.74366008e-04]
 [8.13265169e-07]
 [4.03724355e-09]]","[[1.09329877e-04]
 [1.80871659e-04]
 [3.71965302e-03]
 [2.06472975e-04]
 [6.68235592e-04]
 [4.68448406e-05]
 [5.31261601e-04]
 [5.83397638e-08]
 [6.74366008e-04]
 [8.13265169e-07]
 [4.03724355e-09]]","[[ 0.03136828]
 [-0.04034656]
 [ 0.18296687]
 [ 0.0431075 ]
 [ 0.07755076]
 [ 0.02053299]
 [ 0.06914734]
 [-0.00072461]
 [ 0.07790567]
 [-0.00270544]
 [-0.00019062]]",1
"[[9.09707834e-05]
 [1.52873505e-04]
 [3.13053112e-03]
 [1.72134407e-04]
 [5.65169370e-04]
 [3.88382010e-05]
 [4.50192463e-04]
 [6.34806346e-08]
 [5.69339264e-04]
 [5.75681171e-07]
 [2.71316447e-08]]","[[9.09707834e-05]
 [1.52873505e-04]
 [3.13053112e-03]
 [1.72134407e-04]
 [5.65169370e-04]
 [3.88382010e-05]
 [4.50192463e-04]
 [6.34806346e-08]
 [5.69339264e-04]
 [5.75681171e-07]
 [2.71316447e-08]]","[[ 0.02861358]
 [-0.03709261]
 [ 0.16785345]
 [ 0.03936   ]
 [ 0.07131987]
 [ 0.01869609]
 [ 0.06365322]
 [-0.00075586]
 [ 0.07158249]
 [-0.00227621]
 [-0.00049415]]",1
"[[7.47080434e-05]
 [1.27622422e-04]
 [2.60249108e-03]
 [1.41672723e-04]
 [4.72194447e-04]
 [3.17707543e-05]
 [3.76884898e-04]
 [6.65915921e-08]
 [4.74786962e-04]
 [3.91561543e-07]
 [6.28558534e-08]]","[[7.47080434e-05]
 [1.27622422e-04]
 [2.60249108e-03]
 [1.41672723e-04]
 [4.72194447e-04]
 [3.17707543e-05]
 [3.76884898e-04]
 [6.65915921e-08]
 [4.74786962e-04]
 [3.91561543e-07]
 [6.28558534e-08]]","[[ 0.02593014]
 [-0.03389103]
 [ 0.15304385]
 [ 0.03570791]
 [ 0.06519011]
 [ 0.01690967]
 [ 0.05824057]
 [-0.00077416]
 [ 0.06536882]
 [-0.00187725]
 [-0.00075213]]",1
"[8.40509287e-04 9.01583016e-05 5.48983700e-05 ... 2.47735622e-06
 2.81098646e-04 2.23353715e-04]","[8.40509287e-04 9.01583016e-05 5.48983700e-05 ... 2.47735622e-06
 2.81098646e-04 2.23353715e-04]","[ 0.08697461 -0.02848552  0.02222803 ...  0.00472189 -0.05029799
  0.04483507]",1
"[[6.04084623e-05]
 [1.04995604e-04]
 [2.13244040e-03]
 [1.14843847e-04]
 [3.88864946e-04]
 [2.55787112e-05]
 [3.11021815e-04]
 [6.74461171e-08]
 [3.90224505e-04]
 [2.52757448e-07]
 [1.03545785e-07]]","[[6.04084623e-05]
 [1.04995604e-04]
 [2.13244040e-03]
 [1.14843847e-04]
 [3.88864946e-04]
 [2.55787112e-05]
 [3.11021815e-04]
 [6.74461171e-08]
 [3.90224505e-04]
 [2.52757448e-07]
 [1.03545785e-07]]","[[ 0.02331686]
 [-0.03074021]
 [ 0.13853506]
 [ 0.03214957]
 [ 0.05915898]
 [ 0.01517262]
 [ 0.05290743]
 [-0.00077911]
 [ 0.0592623 ]
 [-0.00150825]
 [-0.00096536]]",1
"[[4.83495830e-05]
 [8.55757328e-05]
 [1.73171153e-03]
 [9.21791331e-05]
 [3.17327700e-04]
 [2.03743127e-05]
 [2.54354796e-04]
 [6.64749473e-08]
 [3.17774463e-04]
 [1.53795730e-07]
 [1.43505331e-07]]","[[4.83495830e-05]
 [8.55757328e-05]
 [1.73171153e-03]
 [9.21791331e-05]
 [3.17327700e-04]
 [2.03743127e-05]
 [2.54354796e-04]
 [6.64749473e-08]
 [3.17774463e-04]
 [1.53795730e-07]
 [1.43505331e-07]]","[[ 0.02086016]
 [-0.02775215]
 [ 0.12484151]
 [ 0.02880299]
 [ 0.05344108]
 [ 0.01354137]
 [ 0.04784551]
 [-0.00077348]
 [ 0.05347869]
 [-0.0011765 ]
 [-0.00113646]]",1
"[[3.83779210e-05]
 [6.92304524e-05]
 [1.39657766e-03]
 [7.33995923e-05]
 [2.57089430e-04]
 [1.60860700e-05]
 [2.06534029e-04]
 [6.40498018e-08]
 [2.56891711e-04]
 [8.66479683e-08]
 [1.78895237e-07]]","[[3.83779210e-05]
 [6.92304524e-05]
 [1.39657766e-03]
 [7.33995923e-05]
 [2.57089430e-04]
 [1.60860700e-05]
 [2.06534029e-04]
 [6.40498018e-08]
 [2.56891711e-04]
 [8.66479683e-08]
 [1.78895237e-07]]","[[ 0.01858497]
 [-0.02496145]
 [ 0.11211244]
 [ 0.02570207]
 [ 0.04810203]
 [ 0.01203223]
 [ 0.04311388]
 [-0.00075924]
 [ 0.04808353]
 [-0.00088308]
 [-0.00126888]]",1
"[7.16494013e-04 1.50020505e-05 2.04440426e-05 ... 4.79818707e-07
 1.97795825e-04 1.33646807e-04]","[7.16494013e-04 1.50020505e-05 2.04440426e-05 ... 4.79818707e-07
 1.97795825e-04 1.33646807e-04]","[ 0.08030222 -0.01161974  0.01356453 ...  0.00207807 -0.04219197
  0.03468171]",1
"[[2.98451665e-05]
 [5.49407498e-05]
 [1.10528368e-03]
 [5.72880273e-05]
 [2.04380651e-04]
 [1.24346160e-05]
 [1.64579372e-04]
 [5.98438720e-08]
 [2.03748790e-04]
 [4.26493094e-08]
 [2.05841020e-07]]","[[2.98451665e-05]
 [5.49407498e-05]
 [1.10528368e-03]
 [5.72880273e-05]
 [2.04380651e-04]
 [1.24346160e-05]
 [1.64579372e-04]
 [5.98438720e-08]
 [2.03748790e-04]
 [4.26493094e-08]
 [2.05841020e-07]]","[[ 0.01638922]
 [-0.02223661]
 [ 0.09973742]
 [ 0.02270666]
 [ 0.04288853]
 [ 0.01057883]
 [ 0.03848655]
 [-0.00073389]
 [ 0.04282218]
 [-0.00061955]
 [-0.00136109]]",1
"[[2.26691459e-05]
 [4.26465664e-05]
 [8.56015301e-04]
 [4.36958324e-05]
 [1.58977039e-04]
 [9.38088796e-06]
 [1.28338908e-04]
 [5.41548050e-08]
 [1.58090447e-04]
 [1.66827457e-08]
 [2.21979003e-07]]","[[2.26691459e-05]
 [4.26465664e-05]
 [8.56015301e-04]
 [4.36958324e-05]
 [1.58977039e-04]
 [9.38088796e-06]
 [1.28338908e-04]
 [5.41548050e-08]
 [1.58090447e-04]
 [1.66827457e-08]
 [2.21979003e-07]]","[[ 0.01428364]
 [-0.0195913 ]
 [ 0.08777322]
 [ 0.01983085]
 [ 0.03782583]
 [ 0.00918847]
 [ 0.03398603]
 [-0.00069814]
 [ 0.03772021]
 [-0.00038749]
 [-0.00141344]]",1
"[[1.67446672e-05]
 [3.22449356e-05]
 [6.46126125e-04]
 [3.24316394e-05]
 [1.20498728e-04]
 [6.87605273e-06]
 [9.75353825e-05]
 [4.73349202e-08]
 [1.19505561e-04]
 [3.94298786e-09]
 [2.25979349e-07]]","[[1.67446672e-05]
 [3.22449356e-05]
 [6.46126125e-04]
 [3.24316394e-05]
 [1.20498728e-04]
 [6.87605273e-06]
 [9.75353825e-05]
 [4.73349202e-08]
 [1.19505561e-04]
 [3.94298786e-09]
 [2.25979349e-07]]","[[ 0.01227607]
 [-0.01703539]
 [ 0.07625703]
 [ 0.01708464]
 [ 0.03293157]
 [ 0.00786667]
 [ 0.029628  ]
 [-0.0006527 ]
 [ 0.03279558]
 [-0.00018838]
 [-0.00142612]]",1
"[3.56674124e-04 1.03186356e-05 1.15926049e-05 ... 3.66802916e-08
 1.35876885e-04 7.77057429e-05]","[3.56674124e-04 1.03186356e-05 1.15926049e-05 ... 3.66802916e-08
 1.35876885e-04 7.77057429e-05]","[ 0.05665745 -0.00963679  0.01021437 ...  0.00057456 -0.03496987
  0.02644526]",1
"[[1.19541734e-05]
 [2.36069605e-05]
 [4.72519690e-04]
 [2.32814842e-05]
 [8.84739693e-05]
 [4.86603917e-06]
 [7.18167557e-05]
 [3.97730446e-08]
 [8.74915008e-05]
 [6.26943659e-11]
 [2.17510098e-07]]","[[1.19541734e-05]
 [2.36069605e-05]
 [4.72519690e-04]
 [2.32814842e-05]
 [8.84739693e-05]
 [4.86603917e-06]
 [7.18167557e-05]
 [3.97730446e-08]
 [8.74915008e-05]
 [6.26943659e-11]
 [2.17510098e-07]]","[[ 1.03724424e-02]
 [-1.45760984e-02]
 [ 6.52125541e-02]
 [ 1.44752671e-02]
 [ 2.82181807e-02]
 [ 6.61773016e-03]
 [ 2.54234302e-02]
 [-5.98295413e-04]
 [ 2.80610675e-02]
 [-2.37539322e-05]
 [-1.39913934e-03]]",1
"[[8.13402345e-06]
 [1.65090572e-05]
 [3.30272584e-04]
 [1.59432080e-05]
 [6.20833797e-05]
 [3.27779140e-06]
 [5.05482855e-05]
 [3.17223353e-08]
 [6.12017549e-05]
 [1.23476903e-09]
 [1.96544575e-07]]","[[8.13402345e-06]
 [1.65090572e-05]
 [3.30272584e-04]
 [1.59432080e-05]
 [6.20833797e-05]
 [3.27779140e-06]
 [5.05482855e-05]
 [3.17223353e-08]
 [6.12017549e-05]
 [1.23476903e-09]
 [1.96544575e-07]]","[[ 0.00855606]
 [-0.0121894 ]
 [ 0.05452021]
 [ 0.01197868]
 [ 0.0236379 ]
 [ 0.0054314 ]
 [ 0.0213292 ]
 [-0.00053432]
 [ 0.02346947]
 [ 0.00010542]
 [-0.00133   ]]",1
"[[5.29065730e-06]
 [1.10473184e-05]
 [2.20685329e-04]
 [1.04429332e-05]
 [4.17149243e-05]
 [2.10666728e-06]
 [3.40730696e-05]
 [2.38412057e-08]
 [4.09924940e-05]
 [4.18704122e-09]
 [1.66613705e-07]]","[[5.29065730e-06]
 [1.10473184e-05]
 [2.20685329e-04]
 [1.04429332e-05]
 [4.17149243e-05]
 [2.10666728e-06]
 [3.40730696e-05]
 [2.38412057e-08]
 [4.09924940e-05]
 [4.18704122e-09]
 [1.66613705e-07]]","[[ 0.00690043]
 [-0.00997125]
 [ 0.04456644]
 [ 0.00969466]
 [ 0.01937613]
 [ 0.00435431]
 [ 0.01751164]
 [-0.00046322]
 [ 0.01920761]
 [ 0.00019412]
 [-0.00122455]]",1
"[5.83148891e-05 1.36291355e-06 1.90378874e-06 ... 8.87222925e-08
 2.62913829e-05 1.30697052e-05]","[5.83148891e-05 1.36291355e-06 1.90378874e-06 ... 8.87222925e-08
 2.62913829e-05 1.30697052e-05]","[ 0.02290926 -0.00350232  0.00413934 ... -0.00089359 -0.01538254
  0.01084561]",1
