epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
0,0.7473,1.4931,"[ 2.61722685e+00  4.52893203e+00 -2.28130796e-03  1.89661181e+00
  9.19094584e-01  5.77180986e-01  1.16730757e+00  2.17421015e+00
  2.48996369e+00  3.38848137e+00  2.63685131e+00]",11.595
1,0.7093,1.2828,"[ 2.61422728  4.5319317  -0.00528124  1.89361212  0.91609475  0.57418165
  1.16430775  2.17719851  2.48696386  3.39147345  2.63984322]",11.5288
2,0.693,1.0984,"[ 2.61122792  4.53493124 -0.00828113  1.89061258  0.91309499  0.57118265
  1.16130802  2.18018559  2.4839641   3.39444528  2.64283681]",11.4637
3,0.6798,0.9337,"[ 2.60822899  4.53793049 -0.01128096  1.88761335  0.91009538  0.56818434
  1.15830845  2.18316858  2.48096449  3.39337603  2.64582997]",11.4079
4,0.6774,0.8868,"[ 2.60523084  4.54092924 -0.01428068  1.88461466  0.90709602  0.5651873
  1.15530916  2.18614453  2.47796514  3.39040885  2.64882151]",11.3568
5,0.681,0.8459,"[ 2.60223283  4.54392793 -0.01728039  1.88161606  0.90409669  0.56219053
  1.1523099   2.18912211  2.47496582  3.38743343  2.65181384]",11.3067
6,0.6823,0.8822,"[ 2.59923471  4.54692671 -0.02028012  1.87861739  0.90109732  0.5591936
  1.14931058  2.19210342  2.47196645  3.38445214  2.65480747]",11.2574
7,0.679,0.9116,"[ 2.59623661  4.54992551 -0.02327985  1.87561872  0.89809793  0.55619673
  1.14631125  2.19508661  2.46896707  3.38146752  2.6578018 ]",11.2091
8,0.6819,0.8722,"[ 2.59323876  4.55292418 -0.02627955  1.87262023  0.89509861  0.55320034
  1.14331199  2.19806985  2.46596776  3.37848152  2.66079621]",11.1616
9,0.6821,0.836,"[ 2.5902411   4.55592277 -0.02927923  1.86962186  0.89209932  0.55020433
  1.14031278  2.2010536   2.46296849  3.3754943   2.66379082]",11.1151
10,0.6834,0.8709,"[ 2.58724324  4.55892151 -0.03227895  1.86662336  0.88909997  0.54720802
  1.13731348  2.20404008  2.45996915  3.37250476  2.66678631]",11.0696
11,0.6826,0.8321,"[ 2.58424571  4.56192009 -0.03527863  1.86362508  0.88610069  0.54421237
  1.13431426  2.20702609  2.45696988  3.36951507  2.66978165]",11.025
12,0.6818,0.8631,"[ 2.58124815  4.56491872 -0.03827832  1.86062677  0.88310138  0.54121674
  1.13131501  2.21001351  2.45397059  3.36652418  2.67277745]",10.9814
13,0.684,0.8248,"[ 2.57825082  4.56791727 -0.04127799  1.85762862  0.88010212  0.53822161
  1.12831581  2.21300109  2.45097134  3.36353296  2.67577328]",10.9388
14,0.6824,0.8619,"[ 2.57525337  4.57091591 -0.04427769  1.85463037  0.8771028   0.53522634
  1.12531655  2.21599021  2.44797205  3.36054061  2.67876961]",10.8972
15,0.6852,0.8079,"[ 2.57225643  4.57391434 -0.04727734  1.85163247  0.87410359  0.5322322
  1.1223174   2.21897843  2.44497286  3.35754867  2.68176562]",10.8566
16,0.6839,0.8506,"[ 2.56925937  4.57691286 -0.050277    1.84863449  0.87110434  0.52923795
  1.1193182   2.22196798  2.44197362  3.35455581  2.68476206]",10.8171
17,0.686,0.8003,"[ 2.56626241  4.57991138 -0.05327667  1.84563657  0.86810508  0.52624409
  1.116319    2.22495814  2.43897439  3.35156249  2.68775868]",10.7786
18,0.6852,0.8212,"[ 2.56326548  4.58290993 -0.05627635  1.84263865  0.86510581  0.52325046
  1.11331978  2.22794896  2.43597514  3.3485687   2.69075551]",10.7411
19,0.686,0.8332,"[ 2.56026861  4.58590849 -0.05927603  1.83964078  0.86210653  0.5202572
  1.11032055  2.23094034  2.43297588  3.34557451  2.6937525 ]",10.7047
20,0.6854,0.802,"[ 2.5572726   4.58890674 -0.06227563  1.83664346  0.85910741  0.51726617
  1.10732149  2.23393043  2.42997678  3.3425811   2.69674903]",10.6694
21,0.6851,0.8486,"[ 2.5542768   4.59190495 -0.06527523  1.83364628  0.8561083   0.51427605
  1.10432244  2.23692079  2.4269777   3.3395875   2.69974563]",10.6352
22,0.6875,0.8063,"[ 2.55128067  4.59490335 -0.06827488  1.83064886  0.8531091   0.51128562
  1.10132329  2.23991257  2.42397852  3.33659298  2.7027427 ]",10.6021
23,0.6851,0.8487,"[ 2.54828494  4.59790165 -0.0712745   1.82765169  0.85010994  0.50829679
  1.09832418  2.24290426  2.42097939  3.33359852  2.70573972]",10.5701
24,0.6863,0.8056,"[ 2.54528917  4.60090003 -0.07427414  1.82465449  0.84711074  0.50530867
  1.09532504  2.24589668  2.41798022  3.33060358  2.70873698]",10.5393
25,0.6863,0.8341,"[ 2.54229414  4.60389821 -0.07727374  1.82165775  0.84411164  0.50232389
  1.09232599  2.24888854  2.41498116  3.32760899  2.71173401]",10.5095
26,0.6873,0.7915,"[ 2.53929932  4.6068964  -0.08027334  1.81866112  0.84111254  0.49934156
  1.08932694  2.2518808   2.41198208  3.32461416  2.71473117]",10.481
27,0.6874,0.822,"[ 2.5363055   4.60989434 -0.08327288  1.81566511  0.83811356  0.49636558
  1.08632801  2.25487237  2.40898314  3.32161977  2.71772805]",10.4536
28,0.687,0.7989,"[ 2.53331278  4.61289204 -0.08627238  1.81266975  0.83511468  0.49339985
  1.0833292   2.25786343  2.4059843   3.31862574  2.7207247 ]",10.4273
29,0.6881,0.8131,"[ 2.53031878  4.61589022 -0.08927198  1.80967356  0.83211558  0.49043388
  1.08033014  2.26085656  2.40298523  3.31563036  2.72372211]",10.4022
30,0.69,0.7758,"[ 2.52732621  4.6188881  -0.09227152  1.80667822  0.82911661  0.48749655
  1.07733123  2.26384891  2.39998631  3.3126355   2.72671921]",10.3784
31,0.6894,0.8004,"[ 2.52433357  4.62188611 -0.09527109  1.80368279  0.82611759  0.48461031
  1.07433225  2.26684199  2.39698732  3.30964018  2.72971655]",10.3558
32,0.6891,0.7634,"[ 2.5213432   4.6248837  -0.09827057  1.80068866  0.82311876  0.4840832
  1.07133348  2.26983395  2.39398854  3.30664562  2.73271344]",10.3397
33,0.6887,0.8027,"[ 2.51835186  4.62788158 -0.10127011  1.79769396  0.82011979  0.48687034
  1.06833456  2.27282709  2.39098961  3.30365029  2.73571075]",10.3318
34,0.6895,0.7661,"[ 2.51536192  4.63087921 -0.1042696   1.7947001   0.81712095  0.48974667
  1.06533577  2.27581967  2.38799081  3.30065536  2.73870779]",10.3252
35,0.6897,0.7927,"[ 2.51237165  4.63387698 -0.10726911  1.79170608  0.81412204  0.49265922
  1.06233691  2.27881284  2.38499195  3.29766006  2.74170502]",10.3198
36,0.6898,0.7768,"[ 2.50938442  4.63687417 -0.11026851  1.7887139   0.81112341  0.4955816
  1.05933834  2.28180457  2.38199338  3.29466578  2.74470161]",10.3154
37,0.6917,0.7608,"[ 2.50639572  4.63987174 -0.11326798  1.78572087  0.8081246   0.49852259
  1.05633958  2.28479757  2.37899462  3.29167065  2.74769867]",10.3122
38,0.69,0.7847,"[ 2.5034071   4.64286936 -0.11626746  1.78272793  0.80512576  0.50147296
  1.0533408   2.28779088  2.37599584  3.28867533  2.75069583]",10.3101
39,0.689,0.7599,"[ 2.50042709  4.64586546 -0.11926661  1.77974021  0.80212768  0.50440947
  1.0503428   2.2907803   2.37299784  3.28568275  2.75369124]",10.309
40,0.6914,0.741,"[ 2.4974453   4.648862   -0.12226586  1.77675148  0.79912938  0.50735786
  1.04734458  2.29377113  2.36999963  3.28268922  2.7566872 ]",10.309
41,0.6916,0.7638,"[ 2.49446078  4.65185911 -0.12526523  1.77376116  0.7961308   0.51031777
  1.04434606  2.29676365  2.36700112  3.27969453  2.75968387]",10.3101
42,0.691,0.7393,"[ 2.49148173  4.65485542 -0.12826443  1.77077423  0.79313262  0.51327262
  1.04134797  2.29975434  2.36400303  3.27670118  2.76267965]",10.3124
43,0.691,0.7731,"[ 2.48850973  4.6578507  -0.1312634   1.76779169  0.79013494  0.51622088
  1.0383504   2.30274276  2.36100548  3.27370947  2.76567433]",10.3157
44,0.6913,0.74,"[ 2.48553032  4.66084732 -0.13426266  1.76480472  0.78713661  0.51918526
  1.03535214  2.30573462  2.35800724  3.27071535  2.76867053]",10.3201
45,0.6907,0.7743,"[ 2.48255616  4.66384328 -0.13726178  1.76182108  0.7841386   0.52214621
  1.03235423  2.30872512  2.35500935  3.26772223  2.77166604]",10.3257
46,0.6914,0.7456,"[ 2.47959051  4.66683823 -0.14026068  1.75884288  0.7811411   0.52510172
  1.02935685  2.31171358  2.35201199  3.26473064  2.7746605 ]",10.3324
47,0.6914,0.7636,"[ 2.47662079  4.66983391 -0.14325975  1.7558623   0.77814324  0.52806524
  1.02635908  2.31470389  2.34901426  3.26173774  2.77765579]",10.3401
48,0.6923,0.7308,"[ 2.47365017  4.67282992 -0.14625888  1.75288134  0.77514522  0.53103337
  1.02336116  2.31769513  2.34601635  3.2587442   2.78065147]",10.349
49,0.6924,0.7407,"[ 2.47067995  4.67582607 -0.14925804  1.74990084  0.77214713  0.53400421
  1.02036316  2.32068686  2.34301839  3.25575034  2.78364733]",10.359
