epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
0,0.6824,0.782,"[ 2.62122463e+00  4.52493275e+00 -2.81135091e-04  1.90061038e+00
  9.23094067e-01  5.81179569e-01  1.17130697e+00  2.17022305e+00
  2.49396308e+00]",13.9091
1,0.6819,0.8468,"[ 2.62422224e+00  4.52193337e+00 -3.28083648e-03  1.90360886e+00
  9.26093553e-01  5.84178382e-01  1.17430637e+00  2.16722434e+00
  2.49696244e+00]",13.8643
2,0.6816,0.9026,"[ 2.62722012  4.51893393 -0.00628057  1.90660752  0.92909309  0.58717733
  1.17730584  2.16422548  2.49996187]",13.8202
3,0.6816,0.8443,"[ 2.6302178   4.51593454 -0.00928028  1.90960605  0.93209259  0.59017618
  1.18030526  2.16122675  2.50296123]",13.7771
4,0.6782,0.897,"[ 2.6332156   4.51293512 -0.01227999  1.91260467  0.9350921   0.5931751
  1.1833047   2.15822796  2.50596063]",13.7348
5,0.6814,0.8381,"[ 2.63621322  4.50993576 -0.01527969  1.91560317  0.93809157  0.59617392
  1.18630409  2.15522929  2.50895996]",13.6934
6,0.6838,0.8797,"[ 2.63921106  4.50693634 -0.01827941  1.91860182  0.94109109  0.59917286
  1.18930353  2.15223051  2.51195936]",13.6529
7,0.6814,0.828,"[ 2.64220849  4.50393703 -0.02127907  1.9216002   0.94409051  0.60217159
  1.19230286  2.14923197  2.51495862]",13.6134
8,0.6817,0.8839,"[ 2.64520625  4.50093764 -0.02427878  1.92459881  0.94709     0.6051705
  1.19530228  2.14623325  2.51795798]",13.5747
9,0.6828,0.8261,"[ 2.64820378  4.49793832 -0.02727845  1.92759727  0.95008943  0.60816929
  1.19830163  2.14323468  2.52095727]",13.537
10,0.6842,0.876,"[ 2.65120157  4.49493892 -0.03027815  1.9305959   0.95308893  0.61116821
  1.20130105  2.14023597  2.52395662]",13.5003
11,0.6841,0.8179,"[ 2.65419901  4.49193963 -0.03327781  1.93359432  0.95608834  0.61416697
  1.20430037  2.13723747  2.52695587]",13.4645
12,0.687,0.7775,"[ 2.65719602  4.48894046 -0.03627741  1.93659248  0.95908763  0.61716551
  1.20729957  2.13423924  2.52995498]",13.4297
13,0.6828,0.8478,"[ 2.66019324  4.48594123 -0.03927703  1.93959077  0.96208698  0.62016417
  1.21029883  2.1312409   2.53295415]",13.3959
14,0.6867,0.7811,"[ 2.6631905   4.482942   -0.04227666  1.94258909  0.96508633  0.62316285
  1.2132981   2.12824254  2.53595332]",13.3632
15,0.6858,0.8413,"[ 2.66618772  4.47994278 -0.04527628  1.94558739  0.96808567  0.62616151
  1.21629735  2.12524422  2.53895248]",13.3314
16,0.6868,0.7905,"[ 2.66918462  4.47694365 -0.04827585  1.94858549  0.97108493  0.62916002
  1.21929651  2.12224611  2.54195152]",13.3006
17,0.6871,0.8392,"[ 2.67218196  4.4739444  -0.05127549  1.95158388  0.9740843   0.63215875
  1.22229579  2.11924772  2.54495071]",13.2709
18,0.6875,0.7854,"[ 2.6751788   4.47094529 -0.05427506  1.95458197  0.97708354  0.63515725
  1.22529494  2.11624966  2.54794973]",13.2423
19,0.6875,0.8319,"[ 2.67817602  4.46794607 -0.05727468  1.9575803   0.98008287  0.63815594
  1.22829419  2.11325136  2.55094887]",13.2146
20,0.6861,0.8061,"[ 2.68117207  4.4649472  -0.06027413  1.96057792  0.98308191  0.64115407
  1.2312931   2.11025381  2.55394762]",13.1881
21,0.6886,0.7666,"[ 2.68416815  4.46194832 -0.06327359  1.96357557  0.98608095  0.64415223
  1.23429203  2.10725624  2.55694638]",13.1626
22,0.6867,0.8179,"[ 2.68716495  4.45894922 -0.06627315  1.96657366  0.98908018  0.64715073
  1.23729116  2.10425823  2.55994536]",13.1382
23,0.6889,0.7697,"[ 2.69016134  4.45595025 -0.06927265  1.96957151  0.99207929  0.65014905
  1.24029017  2.10126048  2.56294421]",13.1149
24,0.6879,0.7709,"[ 2.69315807  4.45295118 -0.07227221  1.97256959  0.9950785   0.65314755
  1.24328929  2.09826252  2.56594317]",13.0927
25,0.6861,0.8046,"[ 2.69615438  4.44995223 -0.0752717   1.97556741  0.99807759  0.65614585
  1.24628828  2.09526483  2.56894198]",13.0715
26,0.6898,0.7571,"[ 2.69915024  4.44695341 -0.07827113  1.97856498  1.00107658  0.65914395
  1.24928715  2.09226743  2.57194064]",13.0515
27,0.6868,0.7986,"[ 2.70214632  4.44395452 -0.0812706   1.98156269  1.00407561  0.66214217
  1.25228608  2.08926989  2.57493937]",13.0326
28,0.6876,0.8307,"[ 2.70514266  4.44095555 -0.0842701   1.98456057  1.00707472  0.66514051
  1.25528509  2.08627218  2.57793818]",13.0148
29,0.6914,0.7279,"[ 2.70813683  4.43795722 -0.08726931  1.98755717  1.01007327  0.66813788
  1.25828349  2.08327588  2.58093626]",12.9981
30,0.6901,0.7818,"[ 2.71113197  4.4349586  -0.09026865  1.99055437  1.01307207  0.67113571
  1.26128217  2.08027894  2.58393466]",12.9825
31,0.6901,0.7816,"[ 2.71412727  4.43195993 -0.09326802  1.99355167  1.01607091  0.67413362
  1.26428089  2.0772819   2.58693311]",12.968
32,0.6912,0.739,"[ 2.71712161  4.42896153 -0.09626726  1.99654844  1.01906951  0.67713112
  1.26727935  2.07428546  2.58993123]",12.9547
33,0.6916,0.7765,"[ 2.72011702  4.42596282 -0.09926665  1.99954583  1.02206838  0.68012911
  1.27027812  2.07128835  2.59292972]",12.9425
34,0.6907,0.7369,"[ 2.72311076  4.42296459 -0.10226582  2.00254228  1.02506683  0.68312638
  1.27327643  2.06829229  2.59592763]",12.9314
35,0.6918,0.7718,"[ 2.72610574  4.41996599 -0.10526516  2.00553946  1.0280656   0.68612421
  1.27627508  2.06529543  2.59892596]",12.9214
36,0.6911,0.7739,"[ 2.72910006  4.41696758 -0.10826441  2.00853628  1.0310642   0.68912177
  1.27927356  2.06229899  2.60192406]",12.9126
37,0.692,0.7268,"[ 2.73209292  4.41396958 -0.11126348  2.0115323   1.03406245  0.69211873
  1.28227165  2.05930346  2.60492167]",12.9049
38,0.6924,0.7592,"[ 2.73508685  4.41097126 -0.1142627   2.01452894  1.03706096  0.69511617
  1.28527005  2.05630724  2.60791963]",12.8983
39,0.691,0.7465,"[ 2.7380791   4.4079734  -0.11726171  2.01752467  1.04005906  0.69811292
  1.28826799  2.05331207  2.61091703]",12.8928
40,0.6918,0.7234,"[ 2.74106808  4.40497646 -0.1202603   2.02051861  1.04305635  0.70110832
  1.29126507  2.05031893  2.61391329]",12.8885
41,0.6927,0.7512,"[ 2.7440606   4.4019785  -0.12325936  2.02351454  1.04605453  0.70410524
  1.29426311  2.04732354  2.61691078]",12.8853
42,0.6926,0.7104,"[ 2.74704741  4.39898212 -0.12625771  2.02650738  1.0490513   0.70709984
  1.29725965  2.04433169  2.6199063 ]",12.8832
43,0.6928,0.7422,"[ 2.75003602  4.39598522 -0.1292563   2.02950123  1.05204853  0.71009522
  1.30025668  2.04133869  2.62290244]",12.8822
44,0.6927,0.7064,"[ 2.75301637  4.39299057 -0.13225387  2.03249067  1.05504373  0.7130873
  1.30325156  2.03835075  2.62589574]",12.8823
45,0.6921,0.741,"[ 2.75600201  4.38999444 -0.13525213  2.03548301  1.05804026  0.71608158
  1.30624786  2.03535949  2.62889086]",12.8835
46,0.6928,0.7146,"[ 2.75699525  4.38899624 -0.13625132  2.03647945  1.05903865  0.71707892
  1.30724615  2.03436355  2.62988859]",12.8841
47,0.6928,0.7329,"[ 2.75996608  4.38600413 -0.13924778  2.03946392  1.06203153  0.72006735
  1.31023859  2.0313813   2.63287856]",12.8868
48,0.6931,0.6966,"[ 2.76291504  4.38301789 -0.14224165  2.04243687  1.06501909  0.72304727
  1.31322543  2.02841221  2.63586096]",12.8905
49,0.6934,0.7213,"[ 2.76582552  4.38004285 -0.14523049  2.04538849  1.06799643  0.72601121
  1.31620152  2.02546729  2.63882895]",12.8951
50,0.693,0.6963,"[ 2.76680496  4.37904837 -0.14622805  2.04637767  1.06899143  0.72700321
  1.31719626  2.02447965  2.63982183]",12.897
51,0.6934,0.7218,"[ 2.76944632  4.37617388 -0.14916899  2.0491556   1.07187607  0.72983047
  1.32007558  2.02172631  2.6426642 ]",12.9025
52,0.6932,0.6922,"[ 2.76855896  4.37714257 -0.14818285  2.0482161   1.07090464  0.72887531
  1.31910556  2.0226575   2.64170483]",12.9006
53,0.6934,0.6659,"[ 2.7695165   4.3761539  -0.14917787  2.04919389  1.07189433  0.72985897
  1.32009474  2.02168285  2.64269008]",12.9027
54,0.6931,0.6969,"[ 2.7724688   4.37316637 -0.15217241  2.05216929  1.07488296  0.73284094
  1.32308282  2.01871098  2.64567376]",12.9099
55,0.693,0.7132,"[ 2.77346479  4.37216737 -0.15317197  2.0531673   1.07588207  0.73383949
  1.32408188  2.01771326  2.64667246]",12.9126
56,0.6933,0.6798,"[ 2.77247641  4.37316434 -0.15217328  2.05217327  1.07488484  0.73284383
  1.32308479  2.01870643  2.64567646]",12.9099
57,0.6933,0.7125,"[ 2.77347358  4.37216503 -0.15317298  2.05317187  1.07588422  0.73384281
  1.32408414  2.01770802  2.64667556]",12.9126
58,0.6933,0.6807,"[ 2.77248565  4.37316189 -0.15217433  2.05217808  1.0748871   0.73284732
  1.32308715  2.01870093  2.64567972]",12.9099
59,0.6931,0.697,"[ 2.7754447   4.37017246 -0.15516974  2.05515717  1.07787745  0.73583208
  1.32607705  2.01572482  2.64866577]",12.9182
60,0.6933,0.7282,"[ 2.77643482  4.36917497 -0.15616865  2.0561522   1.07887517  0.73682846
  1.32707468  2.0147305   2.64966247]",12.9212
61,0.6933,0.6772,"[ 2.77558777  4.37013127 -0.15518794  2.05523544  1.07791532  0.73589014
  1.3261165   2.01563641  2.64871978]",12.9186
62,0.6932,0.7108,"[ 2.77658131  4.36913288 -0.15618723  2.05623223  1.07891386  0.7368878
  1.32711497  2.01464009  2.64971766]",12.9216
