epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
0,0.6859,0.6182,"[2.62022621e+00 4.52593287e+00 7.08232290e-04 1.89961142e+00
 9.22094267e-01 5.80178250e-01 1.17030854e+00 2.17127451e+00
 2.49296341e+00 3.38548724e+00 2.63387664e+00]",6.3832
1,0.6878,0.6221,"[2.63022202 4.51593996 0.01066786 1.90960891 0.9320915  0.59016159
 1.16031988 2.16139873 2.50296115 3.3755054  2.6438742 ]",6.9678
2,0.6875,0.6185,"[2.64021741 4.50594749 0.02063482 1.91960613 0.94208849 0.60014443
 1.15033214 2.15149143 2.51295866 3.36552634 2.65387155]",7.5676
3,0.6881,0.6166,"[2.65021249 4.49595523 0.03060676 1.92960315 0.95208532 0.61012707
 1.14034508 2.14157087 2.52295602 3.35554992 2.66386874]",8.18
4,0.6906,0.6441,"[2.66020664 4.48596415 0.04057946 1.93959961 0.9620816  0.62010737
 1.13036032 2.13165192 2.53295289 3.34557957 2.67386544]",8.8024
5,0.6912,0.6498,"[2.67020064 4.47597304 0.05055539 1.94959598 0.97207784 0.63008777
 1.12037594 2.12172849 2.5429497  3.33561216 2.68386209]",9.4324
6,0.6911,0.6492,"[2.6801928  4.46598437 0.06052829 1.95959124 0.98207299 0.64006294
 1.11039629 2.11182259 2.55294555 3.32565748 2.69385775]",10.0671
7,0.6924,0.6531,"[2.69018333 4.45599767 0.07049976 1.96958555 0.99206723 0.65003364
 1.10042091 2.1019333  2.56294058 3.31571698 2.70385258]",10.7041
8,0.6925,0.656,"[2.70017025 4.44601561 0.0804649  1.97957773 1.0020594  0.65999389
 1.09045505 2.09208598 2.57293377 3.30580654 2.71384553]",11.3404
9,0.6925,0.6557,"[2.71010453 4.43610322 0.09031583 1.98953828 1.01202027 0.669805
 1.08062175 2.08273061 2.58289942 3.29624381 2.72381017]",11.9688
10,0.6929,0.6816,"[2.71609793 4.43011189 0.09630062 1.99553442 1.01801648 0.67578479
 1.07463971 2.07682187 2.58889606 3.29030487 2.72980673]",12.3467
11,0.693,0.6836,"[2.722078   4.42413767 0.10225985 2.00152276 1.02400505 0.68172576
 1.06869286 2.07107614 2.59488591 3.28448633 2.73579634]",12.7208
12,0.6931,0.7058,"[2.72427753 4.42189392 0.1045868  2.00364866 1.02612826 0.68416213
 1.06628248 2.06824401 2.59699711 3.28172821 2.7379096 ]",12.8599
13,0.6931,0.69,"[2.7282205  4.41796655 0.10847929 2.00761534 1.03009576 0.68799717
 1.06243283 2.06492241 2.60096807 3.27824856 2.74187997]",13.1023
14,0.6931,0.6915,"[2.73216552 4.41403544 0.11238197 2.01158333 1.03406469 0.69184111
 1.0585768  2.06154769 2.60494014 3.2747587  2.74585155]",13.3436
15,0.6931,0.6947,"[2.730233   4.41595068 0.11049972 2.00962276 1.03210298 0.69003116
 1.0604017  2.06281499 2.60297454 3.27616443 2.74388655]",13.227
16,0.6931,0.698,"[2.73217445 4.41402318 0.11239933 2.0115878  1.03406898 0.69188097
 1.05854163 2.06120489 2.6049439  3.2745126  2.74585538]",13.3454
17,0.6932,0.6998,"[2.73024527 4.41593446 0.11052232 2.00962958 1.0321096  0.69007391
 1.06036348 2.06253956 2.6029804  3.27596471 2.74389252]",13.2288
18,0.6927,0.7049,"[2.7322414  4.41393928 0.11251441 2.01162737 1.03410746 0.69206227
 1.05837424 2.06059653 2.60497848 3.27401272 2.74589055]",13.3515
19,0.6931,0.7081,"[2.73024345 4.41593673 0.1105166  2.00962856 1.0321086  0.69006804
 1.0603689  2.06256469 2.60297952 3.27598948 2.7438916 ]",13.2285
20,0.6928,0.7269,"[2.72825225 4.41792557 0.10853139 2.00763367 1.03011356 0.6880938
 1.06234538 2.06443936 2.60098397 3.27789674 2.74189612]",13.106
21,0.693,0.7151,"[2.72627531 4.41989632 0.10657231 2.00564709 1.0281266  0.68616092
 1.06428406 2.06613816 2.59899565 3.27966807 2.73990801]",12.9845
22,0.6927,0.6725,"[2.72643226 4.41969955 0.10685011 2.00574116 1.02821842 0.68656915
 1.06390717 2.06498687 2.599078   3.27869462 2.73999194]",12.998
23,0.693,0.7148,"[2.73047435 4.41564896 0.1109151  2.00976874 1.03224549 0.69064195
 1.05983676 2.06109188 2.60310248 3.27474038 2.74401688]",13.247
24,0.6931,0.6933,"[2.72868983 4.41739037 0.10924933 2.00790465 1.03037801 0.68910239
 1.06140013 2.06216493 2.60122289 3.27589687 2.74213918]",13.1388
25,0.6931,0.6886,"[2.72960169 4.41646446 0.11018933 2.0087673  1.03123738 0.69005357
 1.06044991 2.06126164 2.60206931 3.27497749 2.74298777]",13.1933
26,0.6932,0.6937,"[2.73373588 4.41230056 0.11440659 2.01284766 1.0353154  0.69438491
 1.0561387  2.05655441 2.60613994 3.27029312 2.74705947]",13.4491
27,0.6929,0.717,"[2.7318414  4.41417827 0.11255323 2.01091649 1.03338236 0.69258028
 1.05794983 2.05819004 2.60420149 3.27196909 2.74512176]",13.3333
28,0.6931,0.693,"[2.73362912 4.41242762 0.11424114 2.0127804  1.0352498  0.69416468
 1.05634918 2.05674102 2.60608024 3.2705337  2.74699885]",13.4427
29,0.6932,0.6916,"[2.73776347 4.4082692  0.1184387  2.01686679 1.03933402 0.6984169
 1.05210589 2.05270956 2.6101571  3.26642729 2.75107681]",13.6935
30,0.6931,0.6934,"[2.73788405 4.40812691 0.11861371 2.01694101 1.03940589 0.6986753
 1.05185775 2.05238406 2.61022289 3.26607145 2.75114336]",13.701
31,0.6931,0.6906,"[2.73786244 4.40815366 0.11857621 2.01692883 1.03939412 0.69860907
 1.05191905 2.05276927 2.61021225 3.26639386 2.75113257]",13.6984
32,0.6931,0.6892,"[2.73979867 4.40623211 0.12046968 2.01889205 1.04135854 0.7004292
 1.0500866  2.05153061 2.61218006 3.26505584 2.75309991]",13.8132
33,0.6931,0.7,"[2.73780556 4.4082235  0.11848033 2.016896   1.03936235 0.69844971
 1.05206776 2.05340434 2.6101835  3.26696311 2.75110339]",13.6928
34,0.6932,0.6962,"[2.73385418 4.41216317 0.11456157 2.01292383 1.03538927 0.69459252
 1.05593568 2.0566686  2.60620781 3.27036429 2.74712805]",13.4545
35,0.6931,0.6727,"[2.73386802 4.41214616 0.11458307 2.01293186 1.03539702 0.69463075
 1.05590005 2.05652086 2.60621484 3.27023798 2.74713516]",13.4558
36,0.6932,0.6815,"[2.73763509 4.40842824 0.1182121  2.01679177 1.03926111 0.69806183
 1.05243585 2.05406985 2.61009144 3.26763721 2.75100999]",13.6813
37,0.6934,0.6839,"[2.73956247 4.40651691 0.1200937  2.01874902 1.04121971 0.69987227
 1.0506137  2.05264484 2.61205392 3.26616111 2.75297193]",13.7965
38,0.6931,0.6867,"[2.73763903 4.4084259  0.11820613 2.01679567 1.03926486 0.6980418
 1.05245127 2.05444681 2.61009516 3.2679342  2.75101366]",13.6799
39,0.6931,0.6915,"[2.73948904 4.40660746 0.11997013 2.01870698 1.0411791  0.69965973
 1.05081161 2.05361933 2.61201717 3.26699975 2.75293465]",13.7888
40,0.6928,0.6613,"[2.73752121 4.40856769 0.11802239 2.01672555 1.03919704 0.69775109
 1.05272666 2.05521623 2.6100334  3.26866223 2.7509511 ]",13.6706
41,0.6926,0.6635,"[2.73752171 4.40856701 0.11802224 2.01672585 1.03919733 0.69775247
 1.0527255  2.05520446 2.61003367 3.26865856 2.75095136]",13.6707
42,0.6932,0.7006,"[2.73552788 4.41055929 0.11603173 2.01472939 1.03720075 0.69577069
 1.05470876 2.05709776 2.60803675 3.27057956 2.74895449]",13.5495
43,0.6932,0.6958,"[2.73357968 4.41249509 0.11411766 2.01275932 1.0352297  0.69391802
 1.05657206 2.05846079 2.6060629  3.2720498  2.74698102]",13.4325
44,0.6934,0.7043,"[2.72764512 4.41841358 0.10822931 2.00679753 1.02926678 0.68809998
 1.06240377 2.06375934 2.6000963  3.27747367 2.74101496]",13.0694
45,0.693,0.7201,"[2.72764885 4.41840885 0.10823485 2.0067997  1.02926888 0.68811081
 1.0623939  2.06370452 2.60009819 3.27743439 2.74101687]",13.0698
46,0.693,0.6987,"[2.7316527  4.41440414 0.11223969 2.01080194 1.03327103 0.69212125
 1.05838411 2.05966545 2.60410015 3.27339909 2.74501884]",13.3168
47,0.6932,0.6958,"[2.73564338 4.4104159  0.1162217  2.01479662 1.03726586 0.69609252
 1.05441042 2.05583442 2.60809552 3.26952947 2.74901412]",13.5606
48,0.6932,0.6865,"[2.73566934 4.41038436 0.11626144 2.01481185 1.03728058 0.69615981
 1.05434703 2.05565965 2.60810889 3.26936001 2.74902766]",13.5627
49,0.6932,0.7,"[2.73166056 4.41439503 0.11224626 2.01080667 1.03327555 0.69213764
 1.058368   2.05967219 2.60410434 3.27339261 2.74502303]",13.3173
50,0.693,0.7202,"[2.73165297 4.41440459 0.11223148 2.01080234 1.03327134 0.69211446
 1.05838926 2.05979629 2.60410056 3.27349124 2.74501918]",13.3163
51,0.6931,0.6936,"[2.73372354 4.41231885 0.11434273 2.01284464 1.03531235 0.69428646
 1.05622704 2.05744349 2.60613776 3.27114544 2.74705691]",13.4443
52,0.6931,0.677,"[2.73202282 4.41397051 0.11277003 2.01104262 1.03350557 0.69284026
 1.05769416 2.0585084  2.60431504 3.27228026 2.7452366 ]",13.3407
53,0.6932,0.6855,"[2.73601196 4.40998397 0.11675043 2.01503644 1.03749959 0.69680765
 1.05372436 2.05468882 2.60830965 3.26842964 2.74923112]",13.5839
54,0.6931,0.686,"[2.73799626 4.40800337 0.11872295 2.0170275  1.03949094 0.69876116
 1.05176752 2.05293263 2.61030183 3.26663565 2.75122318]",13.7037
55,0.6929,0.7183,"[2.73600272 4.40999529 0.11673291 2.0150312  1.03749452 0.69678041
 1.05374984 2.05481427 2.60830506 3.26854766 2.74922645]",13.5829
56,0.6932,0.7066,"[2.73401843 4.41197578 0.11475817 2.01304003 1.03550302 0.6948293
 1.05570472 2.05649246 2.60631275 3.27029234 2.74723423]",13.4629
57,0.692,0.7152,"[2.73411605 4.41185814 0.11490991 2.01309944 1.03556071 0.69505444
 1.05549151 2.05606738 2.60636517 3.26988394 2.7472874 ]",13.4698
58,0.6929,0.7133,"[2.73194551 4.41404314 0.11270668 2.01097088 1.03343442 0.69285777
 1.05769007 2.05802786 2.60424713 3.27189528 2.74516805]",13.3391
59,0.6932,0.6831,"[2.73390213 4.41209571 0.11463601 2.01294474 1.03540902 0.69475357
 1.05578829 2.05626581 2.6062241  3.27011865 2.74714467]",13.4583
60,0.693,0.7024,"[2.73592725 4.41006448 0.11667796 2.01495933 1.03742316 0.69682424
 1.05372297 2.05399028 2.60823686 3.26788973 2.74915761]",13.5828
61,0.6918,0.7336,"[2.7378847  4.40811678 0.11860678 2.01693501 1.03939966 0.69870086
 1.05183784 2.05258315 2.61021558 3.26640364 2.75113604]",13.6997
62,0.6931,0.7019,"[2.73189724 4.41410104 0.11262776 2.0109422  1.03340663 0.69273845
 1.05780339 2.05836328 2.60422185 3.27223827 2.7451424 ]",13.3351
63,0.6932,0.683,"[2.73391074 4.41208434 0.1146493  2.01295004 1.03541422 0.69477591
 1.05576863 2.05623011 2.60622871 3.27012221 2.74714935]",13.4588
64,0.6932,0.705,"[2.72997254 4.41600822 0.11075141 2.00898632 1.0314494  0.69094153
 1.05961444 2.05964419 2.6022605  3.27362313 2.74318163]",13.2192
65,0.6932,0.6944,"[2.72803388 4.41793139 0.10885914 2.00702199 1.02948408 0.68911583
 1.06145423 2.06094487 2.60029167 3.2750558  2.74121333]",13.1021
