epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
0,0.6515,0.5903,"[2.63022447 4.53592534 0.01071732 1.90960869 0.91209671 0.59017845
 1.16030906 2.18120998 2.48296772 3.37548691 2.64387522 4.29536562
 1.29460732]",17.8021
1,0.6537,0.5893,"[2.64022304 4.54592068 0.02071633 1.91960664 0.90209828 0.60017701
 1.15031021 2.19120157 2.47297073 3.36548797 2.65387411 4.28536882
 1.3046044 ]",17.5618
2,0.658,0.5886,"[2.65022156 4.55591581 0.03071527 1.92960457 0.89209989 0.61017551
 1.14031139 2.20119291 2.46297384 3.35548907 2.66387297 4.27537227
 1.31460136]",17.3402
3,0.6672,0.5931,"[2.66022004 4.56591076 0.04071415 1.93960246 0.88210153 0.62017397
 1.13031262 2.21118399 2.45297705 3.34549019 2.67387181 4.26537597
 1.32459823]",17.1387
4,0.6672,0.5912,"[2.67021844 4.57590538 0.05071293 1.94960028 0.87210325 0.63017234
 1.12031393 2.22117453 2.44298043 3.33549138 2.6838706  4.25538004
 1.3345949 ]",16.9594
5,0.6757,0.5985,"[2.6802168  4.58589988 0.06071166 1.95959807 0.86210499 0.64017067
 1.11031526 2.23116487 2.43298388 3.32549258 2.69386938 4.24538434
 1.34459152]",16.8034
6,0.6769,0.6004,"[2.69021496 4.59589362 0.07071022 1.96959563 0.85210692 0.65016878
 1.10031676 2.24115388 2.42298775 3.31549393 2.70386801 4.23538939
 1.35458771]",16.6715
7,0.6769,0.5963,"[2.70021296 4.60588678 0.08070863 1.97959299 0.84210898 0.66016672
 1.09031839 2.25114182 2.41299193 3.30549539 2.71386655 4.22539511
 1.36458359]",16.5642
8,0.6862,0.6148,"[2.71021074 4.61587917 0.09070686 1.98959011 0.83211124 0.67016443
 1.0803202  2.26112827 2.40299653 3.295497   2.72386495 4.21540171
 1.37457905]",16.4808
9,0.6881,0.6146,"[2.72020818 4.6258703  0.10070482 1.9995868  0.8221138  0.68016177
 1.07032229 2.2711123  2.39300183 3.28549886 2.73386311 4.20540968
 1.38457383]",16.4209
