epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
0,0.6764,0.933,"[ 2.61523183e+00  4.53093079e+00 -4.28089418e-03  1.89461477e+00
  9.17095519e-01  5.75183811e-01  1.16530862e+00]",11.596
1,0.6784,0.8789,"[ 2.61023653  4.53592946 -0.00928047  1.88961762  0.91209646  0.57018685
  1.16030969]",11.5358
2,0.6791,0.9146,"[ 2.60524114  4.54092813 -0.01428006  1.88462046  0.9070974   0.56518995
  1.15531075]",11.4773
3,0.6784,0.8687,"[ 2.60024603  4.5459267  -0.01927961  1.8796235   0.90209839  0.56019337
  1.15031187]",11.4204
4,0.6812,0.842,"[ 2.59525141  4.5509251  -0.02427911  1.87462687  0.89709948  0.55519729
  1.1453131 ]",11.3651
5,0.6807,0.8866,"[ 2.5902562   4.55592365 -0.02927867  1.86962991  0.89210046  0.55020091
  1.14031421]",11.3115
6,0.682,0.8402,"[ 2.58526109  4.56092216 -0.03427821  1.86463304  0.88710146  0.54520474
  1.13531534]",11.2594
7,0.6822,0.8833,"[ 2.58026615  4.56592059 -0.03927773  1.85963632  0.8821025   0.54020888
  1.13031651]",11.2087
8,0.6818,0.8366,"[ 2.5752714   4.57091895 -0.04427723  1.85463976  0.87710358  0.53521336
  1.12531773]",11.1596
9,0.683,0.8309,"[ 2.57027669  4.57591727 -0.04927672  1.84964325  0.87210466  0.53021805
  1.12031895]",11.1121
10,0.6865,0.8619,"[ 2.56528149  4.58091573 -0.05427625  1.84464646  0.86710565  0.52522248
  1.11532006]",11.0663
11,0.684,0.8178,"[ 2.5602871   4.58591391 -0.05927571  1.83965025  0.86210681  0.52022792
  1.11032136]",11.0221
12,0.685,0.8531,"[ 2.55529232  4.5909122  -0.0642752   1.83465381  0.85710788  0.51523318
  1.10532256]",10.9797
13,0.6787,0.8912,"[ 2.5502979   4.59591035 -0.06927465  1.82965766  0.85210903  0.51023907
  1.10032385]",10.939
14,0.6842,0.8623,"[ 2.54530395  4.60090833 -0.07427405  1.82466188  0.84711027  0.50524579
  1.09532523]",10.9001
15,0.6843,0.8434,"[ 2.54031052  4.60590611 -0.07927341  1.81966651  0.84211162  0.50025345
  1.09032674]",10.863
16,0.6855,0.8092,"[ 2.5353167   4.610904   -0.0842728   1.81467091  0.83711288  0.49526103
  1.08532815]",10.8276
17,0.6805,0.8443,"[ 2.53032269  4.61590194 -0.0892722   1.80967524  0.83211411  0.49026876
  1.08032951]",10.794
18,0.6863,0.8039,"[ 2.52532894  4.62089977 -0.09427158  1.80467981  0.82711539  0.48527729
  1.07533093]",10.7622
19,0.6885,0.7742,"[ 2.52033572  4.6258974  -0.09927091  1.79968482  0.82211677  0.48028716
  1.07033245]",10.7322
20,0.6877,0.7976,"[ 2.51534192  4.63089522 -0.1042703   1.79468946  0.81711802  0.47529668
  1.06533384]",10.7039
21,0.6884,0.8078,"[ 2.51034805  4.63589304 -0.10926969  1.78969411  0.81211927  0.47030672
  1.06033521]",10.6775
22,0.6883,0.773,"[ 2.50535557  4.64089036 -0.11426895  1.78469988  0.80712078  0.46532003
  1.05533687]",10.6529
23,0.687,0.8158,"[ 2.50036283  4.64588774 -0.11926823  1.77970554  0.80212224  0.46033385
  1.05033846]",10.63
24,0.6878,0.8159,"[ 2.49537014  4.6508851  -0.12426752  1.7747113   0.7971237   0.4553489
  1.04534006]",10.609
25,0.6853,0.8324,"[ 2.49037765  4.65588237 -0.12926678  1.76971731  0.7921252   0.45036581
  1.04034168]",10.5897
26,0.6885,0.8081,"[ 2.48538597  4.66087932 -0.13426597  1.76472407  0.78712684  0.44538662
  1.03534347]",10.5721
27,0.6903,0.7579,"[ 2.48039486  4.66587605 -0.13926511  1.7597314   0.78212859  0.44041164
  1.03034535]",10.5563
28,0.6894,0.7603,"[ 2.47540481  4.67087237 -0.14426416  1.75473973  0.77713053  0.43544363
  1.02534744]",10.5423
29,0.6884,0.791,"[ 2.47041408  4.67586893 -0.14926327  1.74974763  0.77213233  0.43047789
  1.02034937]",10.5299
30,0.6887,0.7695,"[ 2.46542592  4.68086451 -0.15426215  1.74475789  0.76713462  0.42553118
  1.0153518 ]",10.5193
31,0.6915,0.7322,"[ 2.46043698  4.68586037 -0.15926111  1.73976766  0.76213673  0.42059412
  1.01035405]",10.5104
32,0.6886,0.7643,"[ 2.4554493   4.69085574 -0.16425996  1.73477874  0.75713907  0.41568754
  1.00535652]",10.5032
33,0.6905,0.7587,"[ 2.45046136  4.6958512  -0.16925885  1.7297898   0.75214134  0.41082581
  1.00035891]",10.4976
34,0.6916,0.7363,"[ 2.445477    4.7008453  -0.17425742  1.72480441  0.74714425  0.40625291
  0.99536197]",10.4941
35,0.692,0.7215,"[ 2.44049356  4.70583901 -0.17925592  1.71982027  0.74214732  0.4069174
  0.99036518]",10.4997
36,0.6916,0.7575,"[ 2.43551054  4.71083248 -0.18425438  1.71483688  0.73715049  0.41143453
  0.98536847]",10.5124
37,0.6919,0.744,"[ 2.43052584  4.7158265  -0.18925297  1.7098522   0.73215337  0.4161646
  0.98037146]",10.5268
38,0.6907,0.7538,"[ 2.42554181  4.72082015 -0.19425149  1.7048686   0.7271564   0.42096606
  0.97537459]",10.5429
39,0.6928,0.7155,"[ 2.42056198  4.72581201 -0.19924961  1.69988985  0.72216026  0.42577645
  0.97037857]",10.5605
40,0.691,0.7648,"[ 2.41558245  4.73080363 -0.20424769  1.69491187  0.71716421  0.43061389
  0.96538263]",10.5796
41,0.6929,0.7263,"[ 2.41060996  4.73579216 -0.20924509  1.68994232  0.71216956  0.4354343
  0.96038811]",10.6002
42,0.6922,0.7421,"[ 2.40562984  4.74078375 -0.2142432   1.68496493  0.70717346  0.44031736
  0.95539208]",10.6224
43,0.6926,0.7338,"[ 2.40065922  4.74577112 -0.21924039  1.67999924  0.70217927  0.44516745
  0.95039798]",10.6459
44,0.6931,0.7001,"[ 2.39570007  4.75075318 -0.22423644  1.67504848  0.69718745  0.44998748
  0.94540624]",10.6708
45,0.6931,0.6954,"[ 2.3907942   4.75571057 -0.22922707  1.67016459  0.69220684  0.45464002
  0.94042572]",10.6969
46,0.6933,0.6797,"[ 2.38781665  4.75870048 -0.23222489  1.6671929   0.68921138  0.45755172
  0.93743028]",10.7135
47,0.693,0.7181,"[ 2.38473245  4.76174208 -0.23523426  1.66408732  0.68619217  0.46075599
  0.93441113]",10.7309
48,0.6932,0.6886,"[ 2.3836767   4.7627681  -0.23623985  1.66301429  0.68518055  0.46192767
  0.93339956]",10.737
49,0.6927,0.7109,"[ 2.38069112  4.76576151 -0.23923845  1.66003317  0.68218348  0.46487407
  0.93040249]",10.7547
50,0.6926,0.7298,"[ 2.37772501  4.76874574 -0.24223512  1.65707852  0.67919047  0.4677622
  0.92740944]",10.7729
51,0.6932,0.6831,"[ 2.37474511  4.77173637 -0.24523316  1.65410573  0.6761946   0.47069537
  0.92441354]",10.7916
52,0.6933,0.6726,"[ 2.37550422  4.77085833 -0.24425984  1.654785    0.67713933  0.470271
  0.92535895]",10.7861
53,0.6934,0.7029,"[ 2.37253853  4.77384212 -0.24725646  1.65183236  0.67414645  0.47316457
  0.92236599]",10.8051
54,0.6932,0.71,"[ 2.369557    4.77683338 -0.25025466  1.64885823  0.67115027  0.47610662
  0.91936976]",10.8247
55,0.6931,0.6901,"[ 2.37043378  4.77589359 -0.24926721  1.64968401  0.67212389  0.47543235
  0.92034383]",10.8186
56,0.6932,0.7137,"[ 2.36746206  4.77888004 -0.25226443  1.64672446  0.66912978  0.47834883
  0.91734963]",10.8384
57,0.6932,0.6961,"[ 2.36601985  4.78017556 -0.25334717  1.64521324  0.66797123  0.47993153
  0.91619353]",10.8464
58,0.693,0.7129,"[ 2.36502759  4.78117183 -0.25434641  1.64422431  0.66697285  0.4809074
  0.91519513]",10.8532
59,0.6932,0.6874,"[ 2.36597263  4.78019874 -0.2533519   1.64514336  0.66796125  0.48005041
  0.91618378]",10.8466
