epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
0,0.6793,0.9294,"[ 2.61022879  4.53593062 -0.00928099  1.8896132   0.91209531  0.57018401
  1.16030837  2.18116955  2.48296442  3.39274904  2.64383502]",11.4499
1,0.6797,0.9026,"[ 2.60023515  4.54592637 -0.01928004  1.8796177   0.90209749  0.56019427
  1.15031077  2.19109093  2.47296662  3.38285126  2.65380775]",11.2811
2,0.6823,0.8719,"[ 2.59024229  4.55592195 -0.02927905  1.86962271  0.89209974  0.55020625
  1.14031324  2.20103395  2.46296892  3.37289996  2.66378876]",11.1223
3,0.6839,0.8431,"[ 2.58025025  4.56591741 -0.03927802  1.85962824  0.88210205  0.54022029
  1.13031574  2.21098939  2.45297127  3.36293301  2.67377392]",10.9741
4,0.6841,0.8171,"[ 2.57025984  4.57591239 -0.04927689  1.84963484  0.87210458  0.53023841
  1.12031848  2.22095023  2.44297387  3.3529601   2.68376073]",10.837
5,0.6844,0.8543,"[ 2.56027154  4.58590684 -0.05927565  1.83964279  0.86210736  0.52026274
  1.11032146  2.23091491  2.43297673  3.3429838   2.69374857]",10.7115
6,0.6871,0.7881,"[ 2.55028607  4.59590072 -0.06927428  1.82965251  0.85211041  0.51029766
  1.10032471  2.24088233  2.42297987  3.33300542  2.70373707]",10.598
7,0.689,0.7951,"[ 2.54030348  4.60589425 -0.07927285  1.81966395  0.84211362  0.50034982
  1.09032811  2.25085278  2.41298319  3.32302505  2.71372635]",10.4969
8,0.6882,0.779,"[ 2.53032443  4.61588754 -0.08927137  1.80967737  0.83211692  0.4904481
  1.08033159  2.26082627  2.40298661  3.31304278  2.72371646]",10.4086
9,0.6902,0.7581,"[ 2.520352    4.62588017 -0.09926977  1.79969443  0.82212052  0.48456986
  1.07033536  2.27080075  2.39299034  3.30306001  2.73370668]",10.3422
10,0.6908,0.7769,"[ 2.51038847  4.63587172 -0.10926794  1.78971671  0.81212464  0.49417028
  1.06033967  2.28077459  2.38299463  3.29307792  2.74369618]",10.322
11,0.6909,0.747,"[ 2.50043401  4.64586226 -0.11926588  1.77974481  0.80212927  0.50397381
  1.05034451  2.29074789  2.37299948  3.28309655  2.75368486]",10.3142
12,0.6904,0.7507,"[ 2.4905022   4.65584985 -0.12926318  1.76978723  0.79213537  0.51381031
  1.04035089  2.30071599  2.36300588  3.27311921  2.7636706 ]",10.3186
13,0.6922,0.7415,"[ 2.48059517  4.66583519 -0.13925999  1.75984597  0.78214261  0.52366624
  1.03035846  2.31068129  2.35301352  3.26314432  2.77365428]",10.3352
14,0.6932,0.7318,"[ 2.47077395  4.67581123 -0.14925477  1.74996104  0.77215449  0.53348304
  1.0203709   2.32062899  2.34302613  3.25318282  2.78362847]",10.3642
15,0.6916,0.7366,"[ 2.46287696  4.683799   -0.15725212  1.74203012  0.76416058  0.54139805
  1.01237728  2.32860358  2.33503261  3.24520184  2.7916155 ]",10.3963
16,0.6921,0.7484,"[ 2.45346513  4.69373895 -0.16723897  1.73244742  0.75419084  0.55107958
  1.00240904  2.33848965  2.32506499  3.23528884  2.80155381]",10.4482
17,0.693,0.6996,"[ 2.44676855  4.70160387 -0.17520868  1.72550234  0.74626053  0.55851553
  0.99448226  2.34625584  2.31713984  3.22747282  2.8094182 ]",10.5004
18,0.6924,0.7222,"[ 2.44475694  4.70360283 -0.17720848  1.72350168  0.74426103  0.56050601
  0.99248279  2.34825359  2.31514036  3.22547459  2.81141706]",10.5139
19,0.6928,0.7172,"[ 2.43987556  4.70947247 -0.18317849  1.7185207   0.7383299   0.56604714
  0.98655522  2.3540431   2.30921452  3.21964436  2.81728806]",10.5599
20,0.6929,0.7032,"[ 2.43744246  4.71148892 -0.18518206  1.7161254   0.73632151  0.56811323
  0.98454637  2.35607024  2.30720542  3.21762299  2.81930414]",10.5739
21,0.6927,0.706,"[ 2.43565111  4.71347481 -0.18717905  1.71430726  0.73432865  0.57005049
  0.98255391  2.35804639  2.30521314  3.21564182  2.82129021]",10.5904
22,0.693,0.6667,"[ 2.43448964  4.71350092 -0.18718464  1.71268923  0.73431532  0.5701504
  0.98253982  2.3580881   2.30519864  3.21560866  2.82131546]",10.5848
23,0.6929,0.7206,"[ 2.43467289  4.7115896  -0.18520407  1.71281476  0.73626959  0.56847046
  0.98449161  2.35622984  2.30714915  3.2174954   2.81940161]",10.5625
24,0.6933,0.6995,"[ 2.43106984  4.71555554 -0.18919667  1.70916824  0.73228704  0.57234312
  0.98051     2.36017458  2.303168    3.21353942  2.82336843]",10.5959
25,0.6931,0.6906,"[ 2.42999994  4.71362641 -0.18721193  1.70621782  0.73425075  0.57058505
  0.98247173  2.35828516  2.30512867  3.21545095  2.82143624]",10.5634
26,0.6931,0.6925,"[ 2.42595791  4.71182286 -0.18525536  1.70196046  0.7361486   0.56916015
  0.98436444  2.35658249  2.30701859  3.21721063  2.8196228 ]",10.5245
27,0.693,0.7135,"[ 2.42507454  4.71582572 -0.18925607  1.70208794  0.73214696  0.57316661
  0.9803627   2.36058618  2.30301678  3.21320742  2.82362556]",10.5721
28,0.6932,0.691,"[ 2.4226133   4.71189432 -0.18527054  1.69941796  0.73611223  0.56938273
  0.98432616  2.35669144  2.30697924  3.21712361  2.81969004]",10.5133
29,0.6931,0.6911,"[ 2.42200453  4.70996788 -0.18328582  1.6986451   0.73807539  0.56761202
  0.98628748  2.35480492  2.3089395   3.21903391  2.81775873]",10.4878
30,0.693,0.6983,"[ 2.4225454   4.71016114 -0.18332866  1.69797665  0.73797467  0.56812806
  0.98618197  2.35509067  2.30883128  3.21880227  2.81794007]",10.4904
31,0.6931,0.6954,"[ 2.42386954  4.71413116 -0.18732295  1.69884829  0.73398885  0.57202601
  0.9821968   2.35904229  2.30484649  3.21483931  2.82191258]",10.5425
32,0.6931,0.6913,"[ 2.42306526  4.71610959 -0.18931846  1.69875852  0.73199966  0.5739638
  0.98020813  2.36100936  2.30285809  3.21286548  2.82389255]",10.5652
33,0.6932,0.6816,"[ 2.42256     4.71612403 -0.18932149  1.69859375  0.73199237  0.57400737
  0.98020045  2.36103109  2.30285018  3.21284819  2.82390598]",10.564
34,0.6931,0.6958,"[ 2.41996091  4.71221891 -0.18534151  1.69588548  0.73594428  0.57028338
  0.98414997  2.35717383  2.30679833  3.21673417  2.81999429]",10.5052
35,0.6932,0.6968,"[ 2.42087306  4.71602613 -0.18929993  1.69695845  0.73204332  0.5737434
  0.98025388  2.36088681  2.30290496  3.21296538  2.82381425]",10.5555
