v,v_eff,m,t
"[2.46069131e-05 3.20178826e-08 1.27136282e-07 ... 2.78919227e-04
 9.07920159e-05 2.17543496e-04]","[2.46069131e-05 3.20178826e-08 1.27136282e-07 ... 2.78919227e-04
 9.07920159e-05 2.17543496e-04]","[-0.01488161  0.00053681 -0.00106969 ... -0.05010263 -0.02858545
 -0.04424807]",1
"[[3.12977499e-06]
 [6.56052621e-06]
 [1.30864090e-04]
 [6.21317494e-06]
 [2.48602237e-05]
 [1.24293560e-06]
 [2.03154971e-05]
 [1.30763634e-08]
 [2.43938408e-05]
 [3.30923883e-09]
 [9.92701704e-08]]","[[3.12977499e-06]
 [6.56052621e-06]
 [1.30864090e-04]
 [6.21317494e-06]
 [2.48602237e-05]
 [1.24293560e-06]
 [2.03154971e-05]
 [1.30763634e-08]
 [2.43938408e-05]
 [3.30923883e-09]
 [9.92701704e-08]]","[[ 0.00530735]
 [-0.00768406]
 [ 0.03431875]
 [ 0.00747787]
 [ 0.01495801]
 [ 0.00334461]
 [ 0.01352181]
 [-0.00034306]
 [ 0.01481704]
 [ 0.00017258]
 [-0.00094522]]",1
"[[1.75568251e-06]
 [3.79812781e-06]
 [7.57499023e-05]
 [3.51464452e-06]
 [1.44624593e-05]
 [6.87485882e-07]
 [1.18599288e-05]
 [8.49728284e-09]
 [1.41415459e-05]
 [4.51464652e-09]
 [7.22482916e-08]]","[[1.75568251e-06]
 [3.79812781e-06]
 [7.57499023e-05]
 [3.51464452e-06]
 [1.44624593e-05]
 [6.87485882e-07]
 [1.18599288e-05]
 [8.49728284e-09]
 [1.41415459e-05]
 [4.51464652e-09]
 [7.22482916e-08]]","[[ 0.00397507]
 [-0.00584664]
 [ 0.02611033]
 [ 0.00562422]
 [ 0.01140886]
 [ 0.00248744]
 [ 0.01033147]
 [-0.00027654]
 [ 0.01128157]
 [ 0.00020157]
 [-0.00080637]]",1
"[[2.88721802e-06]
 [6.23004773e-06]
 [1.24080986e-04]
 [5.75073146e-06]
 [2.36600046e-05]
 [1.13156505e-06]
 [1.93983838e-05]
 [1.49222800e-08]
 [2.31652567e-05]
 [6.51319818e-09]
 [1.19629267e-07]]","[[2.88721802e-06]
 [6.23004773e-06]
 [1.24080986e-04]
 [5.75073146e-06]
 [2.36600046e-05]
 [1.13156505e-06]
 [1.93983838e-05]
 [1.49222800e-08]
 [2.31652567e-05]
 [6.51319818e-09]
 [1.19629267e-07]]","[[ 0.00509754]
 [-0.00748802]
 [ 0.03341749]
 [ 0.0071942 ]
 [ 0.01459247]
 [ 0.00319125]
 [ 0.01321308]
 [-0.00036647]
 [ 0.01443909]
 [ 0.00024211]
 [-0.00103762]]",1
"[[1.62528327e-06]
 [3.62023099e-06]
 [7.20941024e-05]
 [3.26444917e-06]
 [1.38138796e-05]
 [6.27804953e-07]
 [1.13645669e-05]
 [9.66697673e-09]
 [1.34787726e-05]
 [7.07891102e-09]
 [8.51176749e-08]]","[[1.62528327e-06]
 [3.62023099e-06]
 [7.20941024e-05]
 [3.26444917e-06]
 [1.38138796e-05]
 [6.27804953e-07]
 [1.13645669e-05]
 [9.66697673e-09]
 [1.34787726e-05]
 [7.07891102e-09]
 [8.51176749e-08]]","[[ 0.0038246 ]
 [-0.00570807]
 [ 0.02547247]
 [ 0.00542034]
 [ 0.01115011]
 [ 0.00237702]
 [ 0.01011341]
 [-0.00029496]
 [ 0.01101403]
 [ 0.00025241]
 [-0.00087525]]",1
"[[2.87014463e-06]
 [6.36165757e-06]
 [1.26514894e-04]
 [5.73035095e-06]
 [2.42001925e-05]
 [1.11066269e-06]
 [1.99004820e-05]
 [1.80210862e-08]
 [2.36515945e-05]
 [1.07766047e-08]
 [1.49027996e-07]]","[[2.87014463e-06]
 [6.36165757e-06]
 [1.26514894e-04]
 [5.73035095e-06]
 [2.42001925e-05]
 [1.11066269e-06]
 [1.99004820e-05]
 [1.80210862e-08]
 [2.36515945e-05]
 [1.07766047e-08]
 [1.49027996e-07]]","[[ 0.00508245]
 [-0.0075667 ]
 [ 0.03374365]
 [ 0.00718145]
 [ 0.01475811]
 [ 0.00316164]
 [ 0.01338299]
 [-0.00040273]
 [ 0.01458987]
 [ 0.00031143]
 [-0.00115812]]",1
"[[4.15177195e-06]
 [9.20528600e-06]
 [1.82927353e-04]
 [8.25696974e-06]
 [3.49533796e-05]
 [1.60531070e-06]
 [2.87466716e-05]
 [2.77384352e-08]
 [3.41922798e-05]
 [1.49329798e-08]
 [2.21092875e-07]]","[[4.15177195e-06]
 [9.20528600e-06]
 [1.82927353e-04]
 [8.25696974e-06]
 [3.49533796e-05]
 [1.60531070e-06]
 [2.87466716e-05]
 [2.77384352e-08]
 [3.41922798e-05]
 [1.49329798e-08]
 [2.21092875e-07]]","[[ 0.00611277]
 [-0.00910206]
 [ 0.04057519]
 [ 0.00862048]
 [ 0.01773641]
 [ 0.00380103]
 [ 0.01608478]
 [-0.00049965]
 [ 0.01754225]
 [ 0.0003666 ]
 [-0.00141062]]",1
"[[2.57910498e-06]
 [5.89467320e-06]
 [1.17076158e-04]
 [5.16867862e-06]
 [2.24772368e-05]
 [9.83294102e-07]
 [1.85446395e-05]
 [1.96252721e-08]
 [2.19189374e-05]
 [1.55449528e-08]
 [1.68163260e-07]]","[[2.57910498e-06]
 [5.89467320e-06]
 [1.17076158e-04]
 [5.16867862e-06]
 [2.24772368e-05]
 [9.83294102e-07]
 [1.85446395e-05]
 [1.96252721e-08]
 [2.19189374e-05]
 [1.55449528e-08]
 [1.68163260e-07]]","[[ 0.00481788]
 [-0.00728368]
 [ 0.03246052]
 [ 0.00682042]
 [ 0.01422305]
 [ 0.00297484]
 [ 0.01291905]
 [-0.00042027]
 [ 0.0140453 ]
 [ 0.00037404]
 [-0.00123023]]",1
"[[1.44378498e-06]
 [3.40980144e-06]
 [6.77206622e-05]
 [2.91842405e-06]
 [1.30622729e-05]
 [5.41884404e-07]
 [1.08129643e-05]
 [1.25256207e-08]
 [1.26951781e-05]
 [1.36194691e-08]
 [1.14935216e-07]]","[[1.44378498e-06]
 [3.40980144e-06]
 [6.77206622e-05]
 [2.91842405e-06]
 [1.30622729e-05]
 [5.41884404e-07]
 [1.08129643e-05]
 [1.25256207e-08]
 [1.26951781e-05]
 [1.36194691e-08]
 [1.14935216e-07]]","[[ 0.00360473]
 [-0.00553969]
 [ 0.02468777]
 [ 0.00512502]
 [ 0.01084253]
 [ 0.00220838]
 [ 0.00986492]
 [-0.00033575]
 [ 0.01068909]
 [ 0.00035011]
 [-0.00101706]]",1
"[[2.65893055e-06]
 [6.23911876e-06]
 [1.23761588e-04]
 [5.33913361e-06]
 [2.38248887e-05]
 [1.00020574e-06]
 [1.97111451e-05]
 [2.40335952e-08]
 [2.31973089e-05]
 [2.21990451e-08]
 [2.08516929e-07]]","[[2.65893055e-06]
 [6.23911876e-06]
 [1.23761588e-04]
 [5.33913361e-06]
 [2.38248887e-05]
 [1.00020574e-06]
 [1.97111451e-05]
 [2.40335952e-08]
 [2.31973089e-05]
 [2.21990451e-08]
 [2.08516929e-07]]","[[ 0.00489187]
 [-0.00749347]
 [ 0.03337446]
 [ 0.00693197]
 [ 0.01464322]
 [ 0.00300031]
 [ 0.01331917]
 [-0.00046508]
 [ 0.01444908]
 [ 0.00044698]
 [-0.00136991]]",1
