v,v_eff,m,t
"[[7.01723695e-05]
 [1.21111311e-03]
 [5.54716626e-03]
 [1.85953263e-04]
 [1.81603444e-03]
 [3.07538944e-04]
 [1.36038746e-03]
 [2.87508157e-04]
 [1.16388941e-03]]","[[7.01723695e-05]
 [1.21111311e-03]
 [5.54716626e-03]
 [1.85953263e-04]
 [1.81603444e-03]
 [3.07538944e-04]
 [1.36038746e-03]
 [2.87508157e-04]
 [1.16388941e-03]]","[[-0.02513068]
 [ 0.10440315]
 [ 0.2234379 ]
 [-0.0409094 ]
 [-0.12784487]
 [-0.05261036]
 [-0.11065029]
 [ 0.0508682 ]
 [-0.10234747]]",1
"[[6.32715833e-05]
 [1.08491395e-03]
 [4.94757040e-03]
 [1.67824616e-04]
 [1.62454467e-03]
 [2.77369032e-04]
 [1.21807465e-03]
 [2.56895306e-04]
 [1.03982769e-03]]","[[6.32715833e-05]
 [1.08491395e-03]
 [4.94757040e-03]
 [1.67824616e-04]
 [1.62454467e-03]
 [2.77369032e-04]
 [1.21807465e-03]
 [2.56895306e-04]
 [1.03982769e-03]]","[[-0.02386303]
 [ 0.0988141 ]
 [ 0.2110169 ]
 [-0.03886414]
 [-0.12091692]
 [-0.0499632 ]
 [-0.10470278]
 [ 0.04808386]
 [-0.09673908]]",1
"[[5.68436551e-05]
 [9.68204853e-04]
 [4.39610101e-03]
 [1.50901473e-04]
 [1.44773198e-03]
 [2.49229826e-04]
 [1.08649554e-03]
 [2.28679922e-04]
 [9.25479129e-04]]","[[5.68436551e-05]
 [9.68204853e-04]
 [4.39610101e-03]
 [1.50901473e-04]
 [1.44773198e-03]
 [2.49229826e-04]
 [1.08649554e-03]
 [2.28679922e-04]
 [9.25479129e-04]]","[[-0.02261842]
 [ 0.09334797]
 [ 0.1989093 ]
 [-0.03685259]
 [-0.11414722]
 [-0.04736104]
 [-0.0988861 ]
 [ 0.0453665 ]
 [-0.09126507]]",1
"[3.84245020e-03 3.01214898e-06 2.33365900e-05 ... 8.61350289e-03
 9.01846247e-04 6.86724512e-06]","[3.84245020e-03 3.01214898e-06 2.33365900e-05 ... 8.61350289e-03
 9.01846247e-04 6.86724512e-06]","[ 0.1859625  -0.00520666 -0.01449239 ... -0.27842688 -0.09009227
  0.00786163]",1
"[[5.12258931e-05]
 [8.66628422e-04]
 [3.91839903e-03]
 [1.36093697e-04]
 [1.29400114e-03]
 [2.24615918e-04]
 [9.72006100e-04]
 [2.04170813e-04]
 [8.26167294e-04]]","[[5.12258931e-05]
 [8.66628422e-04]
 [3.91839903e-03]
 [1.36093697e-04]
 [1.29400114e-03]
 [2.24615918e-04]
 [9.72006100e-04]
 [2.04170813e-04]
 [8.26167294e-04]]","[[-0.02147168]
 [ 0.08831566]
 [ 0.18779135]
 [-0.03499776]
 [-0.10791668]
 [-0.04496158]
 [-0.09353104]
 [ 0.04286651]
 [-0.08622938]]",1
"[[4.59443047e-05]
 [7.71855335e-04]
 [3.47524197e-03]
 [1.22139964e-04]
 [1.15080248e-03]
 [2.01444090e-04]
 [8.65209144e-04]
 [1.81385429e-04]
 [7.33833651e-04]]","[[4.59443047e-05]
 [7.71855335e-04]
 [3.47524197e-03]
 [1.22139964e-04]
 [1.15080248e-03]
 [2.01444090e-04]
 [8.65209144e-04]
 [1.81385429e-04]
 [7.33833651e-04]]","[[-0.02033467]
 [ 0.08334685]
 [ 0.17685355]
 [-0.03315509]
 [-0.10177044]
 [-0.0425793 ]
 [-0.08824331]
 [ 0.04040382]
 [-0.08126809]]",1
"[[4.09645291e-05]
 [6.83198248e-04]
 [3.06313897e-03]
 [1.08952635e-04]
 [1.01707398e-03]
 [1.79566530e-04]
 [7.65328685e-04]
 [1.60149335e-04]
 [6.47774322e-04]]","[[4.09645291e-05]
 [6.83198248e-04]
 [3.06313897e-03]
 [1.08952635e-04]
 [1.01707398e-03]
 [1.79566530e-04]
 [7.65328685e-04]
 [1.60149335e-04]
 [6.47774322e-04]]","[[-0.01920106]
 [ 0.07841418]
 [ 0.1660369 ]
 [-0.03131411]
 [-0.09567479]
 [-0.04020073]
 [-0.08299372]
 [ 0.03796504]
 [-0.07635423]]",1
"[1.94288385e-03 3.14658887e-06 7.86759097e-06 ... 6.66908231e-03
 5.10466934e-04 1.01117193e-05]","[1.94288385e-03 3.14658887e-06 7.86759097e-06 ... 6.66908231e-03
 5.10466934e-04 1.01117193e-05]","[ 0.13223447  0.00532159 -0.00841477 ... -0.24499335 -0.06778055
  0.00953968]",1
"[[3.63252262e-05]
 [6.01224727e-04]
 [2.68436267e-03]
 [9.66404781e-05]
 [8.93633402e-04]
 [1.59159093e-04]
 [6.73004378e-04]
 [1.40582950e-04]
 [5.68483234e-04]]","[[3.63252262e-05]
 [6.01224727e-04]
 [2.68436267e-03]
 [9.66404781e-05]
 [8.93633402e-04]
 [1.59159093e-04]
 [6.73004378e-04]
 [1.40582950e-04]
 [5.68483234e-04]]","[[-0.01808112]
 [ 0.07355965]
 [ 0.15543251]
 [-0.02949177]
 [-0.08968111]
 [-0.03784748]
 [-0.07782698]
 [ 0.0355703 ]
 [-0.07152866]]",1
"[[3.19873441e-05]
 [5.25187036e-04]
 [2.33515284e-03]
 [8.51036961e-05]
 [7.79333521e-04]
 [1.40054466e-04]
 [5.87394500e-04]
 [1.22499151e-04]
 [4.95204425e-04]]","[[3.19873441e-05]
 [5.25187036e-04]
 [2.33515284e-03]
 [8.51036961e-05]
 [7.79333521e-04]
 [1.40054466e-04]
 [5.87394500e-04]
 [1.22499151e-04]
 [4.95204425e-04]]","[[-0.01696721]
 [ 0.06875088]
 [ 0.14497026]
 [-0.0276755 ]
 [-0.08374964]
 [-0.03550338]
 [-0.07270867]
 [ 0.0332038 ]
 [-0.06675957]]",1
