epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
0,0.8095,1.7548,"[ 2.62322616e+00  4.52293236e+00 -2.28131910e-03  1.90261135e+00
  9.25094382e-01  5.83180322e-01  1.17330734e+00  2.16822227e+00
  2.49596347e+00]",13.8811
1,0.7825,1.5772,"[ 2.62622571  4.51993247 -0.00528127  1.90561107  0.92809429  0.58618011
  1.17630724  2.16522249  2.49896336]",13.837
2,0.7482,1.4081,"[ 2.62922518  4.5169326  -0.00828121  1.90861075  0.93109419  0.58917986
  1.17930711  2.16222277  2.50196322]",13.7937
3,0.7198,1.2431,"[ 2.63222451  4.51393277 -0.01128113  1.91161034  0.93409405  0.59217954
  1.18230695  2.15922311  2.50496305]",13.7513
4,0.6911,1.0915,"[ 2.63522363  4.510933   -0.01428102  1.91460979  0.93709386  0.59517911
  1.18530674  2.15622358  2.50796282]",13.7098
5,0.6859,0.9561,"[ 2.63822235  4.50793333 -0.01728086  1.917609    0.94009359  0.59817849
  1.18830642  2.15322428  2.51096247]",13.6692
6,0.6845,0.8506,"[ 2.64122034  4.50493387 -0.0202806   1.92060775  0.94309314  0.60117751
  1.1913059   2.15022541  2.5139619 ]",13.6294
7,0.6823,0.8651,"[ 2.64421789  4.50193453 -0.02328027  1.92360622  0.94609258  0.6041763
  1.19430527  2.14722681  2.5169612 ]",13.5906
8,0.6826,0.8357,"[ 2.64721544  4.49893521 -0.02627995  1.92660469  0.94909202  0.6071751
  1.19730462  2.14422823  2.51996049]",13.5528
9,0.6839,0.8379,"[ 2.65021314  4.49593583 -0.02927964  1.92960327  0.95209149  0.61017398
  1.20030402  2.14122956  2.52295983]",13.5159
10,0.6847,0.8199,"[ 2.65321047  4.49293657 -0.03227929  1.93260161  0.95509087  0.61317268
  1.20330331  2.13823113  2.52595904]",13.4799
11,0.6852,0.813,"[ 2.65620783  4.4899373  -0.03527893  1.93559998  0.95809026  0.6161714
  1.20630261  2.13523269  2.52895826]",13.445
12,0.6878,0.8275,"[ 2.65920544  4.48693796 -0.03827861  1.93859851  0.9610897   0.61917024
  1.20930198  2.1322341   2.53195755]",13.411
13,0.6842,0.851,"[ 2.66220288  4.48393867 -0.04127826  1.94159694  0.9640891   0.62216901
  1.21230129  2.12923563  2.53495678]",13.378
14,0.6876,0.7862,"[ 2.66519978  4.48093954 -0.04427784  1.94459505  0.96708836  0.62516751
  1.21530046  2.1262375   2.53795584]",13.3461
15,0.6863,0.8204,"[ 2.66819682  4.47794038 -0.04727744  1.94759324  0.97008766  0.62816609
  1.21829966  2.12323929  2.54095493]",13.3151
16,0.6874,0.7962,"[ 2.67119375  4.47494124 -0.05027701  1.95059137  0.97308692  0.63116462
  1.22129883  2.12024116  2.54395399]",13.2852
17,0.6877,0.8089,"[ 2.67419084  4.47194206 -0.05327662  1.95358961  0.97608623  0.63416324
  1.22429804  2.11724294  2.54695309]",13.2563
18,0.688,0.7862,"[ 2.67718752  4.468943   -0.05627616  1.9565876   0.97908543  0.63716166
  1.22729714  2.11424498  2.54995206]",13.2285
19,0.6878,0.8081,"[ 2.68018445  4.46594387 -0.05927574  1.95958576  0.98208469  0.64016022
  1.23029631  2.11124686  2.5529511 ]",13.2018
20,0.6874,0.8125,"[ 2.68318153  4.46294469 -0.06227534  1.96258402  0.98508398  0.64315885
  1.23329552  2.10824866  2.55595019]",13.1761
21,0.689,0.7839,"[ 2.68617824  4.45994563 -0.06527489  1.96558205  0.98808318  0.64615731
  1.23629462  2.10525071  2.55894914]",13.1514
22,0.6873,0.8038,"[ 2.68917505  4.45694653 -0.06827445  1.96858016  0.99108241  0.64915583
  1.23929375  2.10225269  2.56194813]",13.1279
23,0.6896,0.7754,"[ 2.69217153  4.45394753 -0.07127397  1.97157807  0.99408155  0.6521542
  1.2422928   2.09925488  2.56494701]",13.1054
24,0.6886,0.7994,"[ 2.69516754  4.45094867 -0.07427342  1.97457572  0.99708057  0.65515236
  1.24529171  2.09625738  2.56794572]",13.084
25,0.6874,0.7828,"[ 2.69816337  4.44794985 -0.07727285  1.97757326  1.00007954  0.65815044
  1.24829057  2.09326     2.57094437]",13.0638
26,0.6906,0.7494,"[ 2.70115868  4.44495119 -0.08027221  1.98057051  1.00307839  0.6611483
  1.25128928  2.09026296  2.57394285]",13.0446
