epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
0,0.6786,0.9008,"[ 2.61221377  4.53394126 -0.0072834   1.89160261  0.91408986  0.57216054
  1.16230234  2.17938934  2.4849589   3.38899312  2.64193979]",11.495
1,0.6797,0.9033,"[ 2.60222044  4.54393674 -0.01728239  1.88160733  0.90409217  0.56217123
  1.15230489  2.18929717  2.47496124  3.37912962  2.65190798]",11.3243
2,0.6819,0.8375,"[ 2.59222749  4.5539323  -0.02728139  1.87161228  0.89409444  0.55218297
  1.14230738  2.19923569  2.46496354  3.36918462  2.66188757]",11.1637
3,0.6844,0.8404,"[ 2.58223586  4.56392743 -0.03728029  1.86161812  0.88409691  0.54219761
  1.13231007  2.20918509  2.45496607  3.35922243  2.6718709 ]",11.0135
4,0.6843,0.8164,"[ 2.5722451   4.57392249 -0.04727917  1.85162449  0.8740994   0.53221479
  1.12231276  2.21914464  2.44496862  3.34925071  2.68185738]",10.8744
5,0.6842,0.8164,"[ 2.56225591  4.58391724 -0.05727799  1.84163187  0.86410204  0.52223674
  1.11231559  2.22910965  2.43497133  3.33927438  2.69184542]",10.7467
6,0.6876,0.8179,"[ 2.55226924  4.59391143 -0.06727669  1.83164084  0.85410494  0.51226752
  1.10231868  2.23907741  2.42497431  3.32929587  2.70183413]",10.631
7,0.6891,0.7655,"[ 2.54228718  4.60390455 -0.07727516  1.82165268  0.84410835  0.50231834
  1.0923223   2.24904493  2.41497784  3.3193174   2.71182245]",10.5277
8,0.6879,0.7787,"[ 2.53230864  4.61389743 -0.08727359  1.81166653  0.83411186  0.49240676
  1.082326    2.25901594  2.40498147  3.30933675  2.72181172]",10.4372
9,0.6907,0.7586,"[ 2.52233456  4.62389017 -0.097272    1.80168274  0.82411541  0.48434265
  1.07232973  2.26899003  2.39498515  3.29935423  2.73180186]",10.3638
10,0.691,0.7393,"[ 2.51237065  4.63388151 -0.10727012  1.79170492  0.81411963  0.49333039
  1.06233415  2.2789626   2.38498954  3.28937299  2.74179096]",10.3408
11,0.6909,0.7729,"[ 2.50241013  4.64387288 -0.11726824  1.78172949  0.80412385  0.50310313
  1.05233856  2.28893765  2.37499395  3.27939038  2.75178051]",10.3314
12,0.6906,0.747,"[ 2.4924966   4.65385651 -0.12726466  1.77178334  0.7941319   0.51286761
  1.04234698  2.29889469  2.3650024   3.26942073  2.76176151]",10.3341
13,0.6923,0.7401,"[ 2.48258611  4.66384156 -0.13726139  1.76184031  0.78413928  0.52270692
  1.0323547   2.30885855  2.35501018  3.2594468   2.7717447 ]",10.3491
