epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
0,0.6706,0.9335,"[ 2.6102312   4.53593096 -0.00928095  1.88961442  0.9120954   0.57018344
  1.16030849]",11.5254
1,0.674,0.9358,"[ 2.60023966  4.54592851 -0.01928018  1.87961965  0.90209711  0.56018921
  1.15031043]",11.4106
2,0.6798,0.8746,"[ 2.59024858  4.55592584 -0.02927936  1.86962528  0.89209893  0.5501958
  1.14031249]",11.3022
3,0.6712,0.8889,"[ 2.5802578   4.56592301 -0.03927849  1.85963122  0.88210082  0.54020317
  1.13031462]",11.2
4,0.6816,0.885,"[ 2.57026701  4.57592011 -0.0492776   1.84963728  0.87210271  0.53021113
  1.12031675]",11.1039
5,0.6812,0.8857,"[ 2.56027649  4.58591705 -0.05927669  1.83964365  0.86210467  0.52022005
  1.11031895]",11.0145
6,0.6853,0.8574,"[ 2.55028467  4.59591436 -0.06927589  1.82964927  0.85210635  0.51022844
  1.10032084]",10.932
7,0.6841,0.857,"[ 2.54029455  4.60591104 -0.07927491  1.8196562   0.84210838  0.50023961
  1.09032311]",10.8565
8,0.6814,0.8667,"[ 2.53030513  4.61590742 -0.08927387  1.8096638   0.83211055  0.49025285
  1.08032552]",10.7881
9,0.683,0.8662,"[ 2.5203166   4.62590343 -0.09927273  1.79967222  0.82211289  0.48026883
  1.07032812]",10.7268
10,0.692,0.8039,"[ 2.51032783  4.63589946 -0.10927162  1.78968069  0.81211517  0.47028661
  1.06033063]",10.6727
11,0.6853,0.8081,"[ 2.50034079  4.64589481 -0.11927035  1.77969072  0.80211778  0.46031048
  1.05033349]",10.6258
12,0.6875,0.8154,"[ 2.49035405  4.65589    -0.12926905  1.76970127  0.79212043  0.45033911
  1.04033637]",10.586
13,0.6868,0.8064,"[ 2.48036773  4.66588498 -0.13926772  1.75971247  0.78212313  0.44037497
  1.03033929]",10.5532
14,0.6885,0.7997,"[ 2.47038236  4.67587956 -0.14926632  1.74972484  0.77212598  0.43042485
  1.02034236]",10.5273
15,0.69,0.7884,"[ 2.46039739  4.68587394 -0.15926491  1.73973799  0.76212888  0.42049755
  1.01034544]",10.5082
16,0.6902,0.7762,"[ 2.45041467  4.69586744 -0.1692633   1.72975367  0.75213215  0.41065144
  1.0003489 ]",10.4958
17,0.6884,0.8042,"[ 2.44043208  4.70586085 -0.17926173  1.71977014  0.7421354   0.40616777
  0.9903523 ]",10.4977
18,0.6912,0.7456,"[ 2.430453    4.71585273 -0.18925982  1.70979088  0.73213932  0.41558782
  0.98035638]",10.5257
19,0.6918,0.7496,"[ 2.42048057  4.72584168 -0.19925726  1.69981962  0.72214458  0.4252822
  0.97036181]",10.5602
20,0.6912,0.7469,"[ 2.41050764  4.73583049 -0.20925471  1.68984923  0.71214983  0.43507769
  0.96036719]",10.6008
21,0.6929,0.7061,"[ 2.40054253  4.74581555 -0.21925139  1.67988971  0.70215672  0.44488752
  0.95037419]",10.6473
22,0.6923,0.7431,"[ 2.39057948  4.75579933 -0.22924784  1.66993459  0.69216409  0.45471935
  0.94038164]",10.6995
23,0.6918,0.742,"[ 2.38064197  4.76577081 -0.23924175  1.66001563  0.68217684  0.46449398
  0.93039436]",10.7573
24,0.6919,0.7326,"[ 2.37071772  4.77573542 -0.24923435  1.65011918  0.6721924   0.47425131
  0.92040979]",10.8205
25,0.6912,0.7318,"[ 2.36288164  4.78365471 -0.25721749  1.64235031  0.66422789  0.48182418
  0.91244468]",10.8747
26,0.6932,0.6916,"[ 2.35698655  4.78959476 -0.26320379  1.63648611  0.65825602  0.48763516
  0.90647218]",10.9176
27,0.6931,0.6951,"[ 2.35112344  4.7955252  -0.26918992  1.63069995  0.65228567  0.49331677
  0.90050091]",10.9623
28,0.6931,0.7107,"[ 2.34369034  4.80317178 -0.27710619  1.62348904  0.64445564  0.50040607
  0.89266439]",11.0235
29,0.6925,0.7079,"[ 2.34355754  4.80324195 -0.27711966  1.62326025  0.64442649  0.5006745
  0.89263659]",11.0239
30,0.6931,0.6975,"[ 2.33769717  4.80916815 -0.28310579  1.61750996  0.63845679  0.50638736
  0.8866654 ]",11.0727
31,0.6927,0.6601,"[ 2.33758907  4.80922824 -0.28311722  1.61731687  0.63843191  0.50658099
  0.88664192]",11.073
32,0.6931,0.6939,"[ 2.33784695  4.80908581 -0.28308973  1.61776118  0.63849152  0.5061011
  0.88669846]",11.0723
33,0.693,0.7138,"[ 2.33389884  4.8130582  -0.28708464  1.61385792  0.63450272  0.50999527
  0.88270907]",11.106
34,0.6931,0.6916,"[ 2.33065908  4.81639783 -0.29080673  1.61066523  0.63095782  0.51317644
  0.87914999]",11.1367
35,0.6932,0.6854,"[ 2.3325727   4.81444565 -0.28881559  1.61250122  0.63293839  0.51133023
  0.88113174]",11.1196
36,0.6931,0.6813,"[ 2.33484682  4.81227723 -0.28677956  1.61491163  0.63501427  0.50890559
  0.88320374]",11.1016
37,0.6931,0.6947,"[ 2.33315128  4.81410679 -0.28874695  1.61344937  0.63308523  0.51035921
  0.88127073]",11.1179
38,0.693,0.719,"[ 2.33130772  4.81602134 -0.29073104  1.61173978  0.63112012  0.51206558
  0.87930364]",11.1349
39,0.6928,0.6805,"[ 2.33134538  4.81600087 -0.29072734  1.61181327  0.63112834  0.5119928
  0.87931137]",11.1348
40,0.6931,0.7126,"[ 2.32942715  4.81795649 -0.29271927  1.60997271  0.62914619  0.51383717
  0.87732814]",11.1521
41,0.6932,0.6828,"[ 2.33342933  4.81395492 -0.28871895  1.61397448  0.6331469   0.50983309
  0.88132881]",11.1172
42,0.6936,0.6843,"[ 2.33549547  4.8119172  -0.28671166  1.6160869   0.63516276  0.50771764
  0.88334378]",11.0999
43,0.6931,0.7089,"[ 2.33728587  4.81003172 -0.28473323  1.61770512  0.6371157   0.50610474
  0.88529935]",11.0835
44,0.6931,0.6716,"[ 2.3380807   4.80936895 -0.28447201  1.61859413  0.63755401  0.50520319
  0.88572391]",11.0798
45,0.693,0.6759,"[ 2.33830445  4.8092313  -0.2844422   1.61891986  0.63761654  0.50486123
  0.88578338]",11.0792
46,0.6925,0.6571,"[ 2.33648657  4.81112991 -0.28642247  1.6172297   0.63565922  0.50653027
  0.88382384]",11.0956
47,0.693,0.6899,"[ 2.33837196  4.80919187 -0.28443402  1.61901581  0.63763397  0.50474449
  0.88580003]",11.079
48,0.693,0.6862,"[ 2.3396025   4.80778239 -0.28262538  1.6200696   0.63928638  0.5036978
  0.8874661 ]",11.0652
49,0.6929,0.7257,"[ 2.335755    4.81170011 -0.28660976  1.61634041  0.6353204   0.50740215
  0.88349837]",11.0985
50,0.692,0.725,"[ 2.33766156  4.80975004 -0.28461905  1.61816616  0.63730008  0.50558105
  0.88547917]",11.0818
51,0.6932,0.686,"[ 2.33576833  4.81169161 -0.28660829  1.61636245  0.63532381  0.50738261
  0.88350152]",11.0984
52,0.6932,0.6981,"[ 2.33966422  4.80774952 -0.28261939  1.62017724  0.63929973  0.50356654
  0.88747878]",11.065
53,0.693,0.6901,"[ 2.33762152  4.80977228 -0.28462364  1.61809795  0.63729047  0.5056472
  0.88547003]",11.0819
54,0.6931,0.6909,"[ 2.33941107  4.80788582 -0.28264511  1.61971946  0.63924373  0.50404746
  0.88742576]",11.0657
55,0.6932,0.6947,"[ 2.33747703  4.80985006 -0.28463829  1.61783477  0.63725858  0.50591885
  0.88543985]",11.0823
56,0.6931,0.6776,"[ 2.33550363  4.81183603 -0.28663569  1.61588326  0.63526431  0.50786254
  0.8834453 ]",11.0991
57,0.6932,0.6957,"[ 2.32962752  4.81776828 -0.29262312  1.61011566  0.62929191  0.51363066
  0.87747131]",11.1508
58,0.6931,0.6869,"[ 2.32956521  4.81780291 -0.29262938  1.60998915  0.62927809  0.51373833
  0.87745841]",11.1509
59,0.693,0.6846,"[ 2.33147088  4.81585721 -0.29063968  1.6118153   0.63125562  0.51189388
  0.87943737]",11.1337
60,0.6931,0.6882,"[ 2.33540314  4.81189343 -0.28664628  1.61568208  0.63524111  0.50802201
  0.88342373]",11.0994
