epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
0,0.6757,0.9401,"[ 2.62421702e+00  4.52992256e+00 -3.28055678e-03  1.90359548e+00
  9.18108020e-01  5.84153552e-01  1.16631683e+00  2.17521144e+00
  2.48910284e+00  3.38149493e+00  2.63786512e+00  4.30136990e+00
  1.28857033e+00  5.51338368e+00  1.68128878e-01  4.20867958e+00
  2.62598952e+00]",21.3475
1,0.6767,0.9247,"[ 2.63420796  4.5399098  -0.01327913  1.91358228  0.90812209  0.59413833
  1.15632592  2.18519736  2.47920223  3.37150318  2.64785562  4.29138085
  1.29852346  5.5033968   0.15816896  4.19868891  2.63597816]",20.9554
2,0.6823,0.848,"[ 2.64420075  4.549898   -0.02327762  1.92357256  0.89813385  0.60412841
  1.14633328  2.19518475  2.46926666  3.36150949  2.65784857  4.28139076
  1.30848132  5.49341028  0.14819425  4.18869719  2.64596972]",20.5196
3,0.6698,0.8946,"[ 2.65419476  4.55988716 -0.03327604  1.93356482  0.88814395  0.61412092
  1.1363395   2.20517348  2.45931585  3.35151463  2.6678429   4.27139976
  1.31844283  5.48342413  0.1382124   4.17870465  2.65596296]",20.0463
4,0.6827,0.9002,"[ 2.66418946  4.56987685 -0.04327435  1.94355818  0.87815309  0.62411469
  1.12634509  2.21516303  2.4493575   3.34151913  2.677838    4.26140826
  1.32840615  5.47343899  0.12822679  4.16871167  2.66595713]",19.5422
5,0.6866,0.8807,"[ 2.67418527  4.57986827 -0.05327278  1.95355304  0.86816045  0.63410993
  1.11634957  2.22515456  2.43939041  3.33152267  2.68783418  4.25141532
  1.33837472  5.46345316  0.11823716  4.15871753  2.6759526 ]",19.014
6,0.6827,0.8555,"[ 2.68418092  4.58985898 -0.06327085  1.9635478   0.85816818  0.64410513
  1.10635429  2.23514557  2.42942401  3.32152633  2.69783025  4.24142296
  1.34834034  5.4534712   0.10824711  4.14872391  2.68594798]",18.4687
7,0.6784,0.904,"[ 2.6941769   4.59985014 -0.07326882  1.97354301  0.8481754   0.65410078
  1.09635871  2.24513718  2.41945534  3.3115297   2.70782664  4.23143022
  1.35830675  5.4434914   0.09825575  4.13873005  2.69594376]",17.9134
8,0.6847,0.8469,"[ 2.70417324  4.60984191 -0.08326674  1.9835387   0.83818204  0.66409686
  1.0863628   2.25512953  2.40948448  3.30153278  2.71782335  4.221437
  1.36827428  5.43351434  0.0882632   4.12873585  2.70593993]",17.3548
9,0.6832,0.8525,"[ 2.71416924  4.61983276 -0.09326416  1.99353403  0.82818933  0.67409262
  1.07636732  2.26512117  2.39951666  3.29153615  2.72781976  4.21144455
  1.37823724  5.42354715  0.0782709   4.1187424   2.71593579]",16.7999
10,0.6886,0.813,"[ 2.72416566  4.62982449 -0.10326162  2.00352988  0.81819591  0.68408885
  1.06637142  2.27511373  2.38954646  3.28153917  2.73781654  4.20145139
  1.38820213  5.4135867   0.06827751  4.10874843  2.7259321 ]",16.2552
11,0.6896,0.7649,"[ 2.73416178  4.63981544 -0.11325855  2.01352543  0.80820308  0.69408478
  1.05637593  2.28510575  2.3795796   3.27154246  2.74781305  4.19145888
  1.39816222  5.40365696  0.05828435  4.09875515  2.73592812]",15.7278
12,0.6918,0.7369,"[ 2.74415732  4.64980496 -0.12325465  2.02352034  0.79821136  0.70408013
  1.04638118  2.29509666  2.36961878  3.26154625  2.75780903  4.18146756
  1.40811424  5.39389969  0.04829191  4.08876306  2.74592356]",15.2257
13,0.6922,0.7454,"[ 2.75415214  4.65979267 -0.1332497   2.03351447  0.78822105  0.71407476
  1.03638737  2.30508622  2.35966522  3.25155067  2.76780434  4.1714777
  1.41805661  5.39749141  0.03830036  4.07877247  2.75591827]",14.8658
14,0.6919,0.7498,"[ 2.7641465   4.669779   -0.14324384  2.04350822  0.77823165  0.72406899
  1.02639424  2.31507501  2.34971501  3.24155549  2.77779924  4.16148883
  1.42799424  5.40736619  0.02830906  4.06878298  2.76591249]",14.6015
15,0.6916,0.7347,"[ 2.77413833  4.67975877 -0.15323455  2.0534993   0.76824707  0.73406072
  1.01640439  2.32505903  2.33978525  3.23156249  2.78779186  4.15150506
  1.43790628  5.41727367  0.01832106  4.05879859  2.77590407]",14.3859
16,0.6928,0.7075,"[ 2.7821256   4.68772678 -0.161219    2.0614856   0.76027114  0.74204795
  1.00842046  2.33303448  2.33189192  3.22357344  2.79578033  4.14353041
  1.44577393  5.42517049  0.01033908  4.05082332  2.78389086]",14.2502
17,0.6926,0.6685,"[ 2.78612449  4.69172411 -0.16521821  2.06548435  0.75627323  0.74604679
  1.00442181  2.33703226  2.3279036   3.21957439  2.79977932  4.13953262
  1.44975902  5.42915726  0.00634078  4.04682544  2.7878897 ]",14.1955
18,0.6932,0.6832,"[ 2.78640753  4.69226543 -0.16556863  2.06578139  0.75582435  0.74632889
  1.00407985  2.33748264  2.3269655   3.21932247  2.80004158  4.1390685
  1.45076342  5.43001314  0.00598211  4.04636444  2.78818223]",14.1964
19,0.6932,0.6867,"[ 2.78642519  4.69230996 -0.16559273  2.06580011  0.75579123  0.74634642
  1.00405716  2.33751585  2.32683367  3.2193072   2.80005763  4.13903364
  1.45092159  5.43011392  0.00595821  4.04632982  2.78820067]",14.197
