epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
0,0.8047,0.436,[2.610231   4.51593403 0.01071819 1.88962255 0.93209331],10.851
1,0.6966,0.6515,[2.60024078 4.50593802 0.02071704 1.87964416 0.94209052],10.8046
2,0.6927,0.7094,[2.6062525  4.51194315 0.01471546 1.88566719 0.93608681],10.8319
3,0.6924,0.7421,[2.61431683 4.51997031 0.0067072  1.8937897  0.92806759],10.8709
4,0.6928,0.7268,"[ 2.62426887e+00  4.52995195e+00 -3.28743143e-03  1.90368384e+00
  9.18080309e-01]",10.924
5,0.6919,0.7479,[ 2.63199303  4.53782828 -0.01124877  1.91121403  0.91016803],10.9695
6,0.6929,0.7317,[ 2.63984957  4.54577484 -0.01923365  1.91890711  0.90220411],11.0179
7,0.6936,0.6817,[ 2.64380131  4.54975824 -0.02322913  1.92279478  0.89821504],11.0431
8,0.694,0.6815,[ 2.64577805  4.55175029 -0.02522695  1.92474038  0.89622028],11.0559
9,0.6932,0.6804,[ 2.64627589  4.55196135 -0.02528965  1.92559563  0.89607608],11.0562
10,0.6931,0.6847,[ 2.64829254  4.55396687 -0.02729107  1.92763581  0.89407254],11.0692
11,0.693,0.6993,[ 2.64718876  4.55263031 -0.02562263  1.92668456  0.89551872],11.0583
12,0.693,0.7081,[ 2.6491604   4.55462077 -0.02762004  1.92861722  0.89352496],11.0714
13,0.6923,0.7339,[ 2.65315519  4.55861908 -0.03161956  1.93260412  0.88952609],11.098
14,0.6932,0.7065,[ 2.6585584   4.56430515 -0.03751455  1.93780614  0.88375072],11.1384
15,0.6932,0.6944,[ 2.66635435  4.57224158 -0.04549833  1.94531099  0.87579065],11.1952
16,0.693,0.688,[ 2.66659441  4.57231779 -0.04551773  1.94585525  0.87574294],11.1953
17,0.6933,0.6831,[ 2.66472809  4.57035963 -0.04352833  1.94416755  0.87771682],11.1809
18,0.6924,0.6511,[ 2.66281238  4.56838508 -0.0415347   1.94238258  0.87970099],11.1666
19,0.6928,0.6635,[ 2.6608312   4.56639065 -0.03953606  1.94043398  0.88169755],11.1525
20,0.6931,0.7033,[ 2.66087981  4.56640577 -0.03953989  1.94055642  0.88168804],11.1525
21,0.6934,0.7044,[ 2.66278549  4.56836499 -0.04152819  1.94244483  0.87971526],11.1665
22,0.6932,0.7075,[ 2.66471945  4.57034472 -0.043523    1.94427889  0.87772801],11.1808
23,0.6932,0.6773,[ 2.66654531  4.5722916  -0.04550956  1.94584512  0.8757612 ],11.1952
24,0.6931,0.6957,[ 2.66635685  4.57222822 -0.04549294  1.94545114  0.87580155],11.1951
25,0.6933,0.7018,[ 2.66806752  4.57413601 -0.04746932  1.94679605  0.87385946],11.2095
26,0.6931,0.718,[ 2.66803955  4.57412652 -0.04746681  1.94674047  0.87386554],11.2095
27,0.6929,0.7058,[ 2.66985778  4.57606369 -0.04945029  1.94839167  0.87190548],11.2241
28,0.6931,0.6652,[ 2.66788969  4.57407266 -0.04745244  1.94648174  0.87390003],11.2094
29,0.6935,0.6847,[ 2.66397632  4.57009732 -0.04345845  1.94272227  0.87788493],11.1805
30,0.6932,0.6963,[ 2.66397724  4.57009707 -0.04345829  1.94273018  0.87788521],11.1805
31,0.6931,0.6644,[ 2.66393662  4.57008457 -0.04345509  1.94263041  0.87789307],11.1805
32,0.6928,0.7134,[ 2.6623687   4.56824854 -0.04150041  1.94142999  0.87978584],11.1665
33,0.6931,0.6781,[ 2.66226818  4.5682166  -0.04149218  1.94119386  0.87980602],11.1664
34,0.6925,0.6748,[ 2.66417186  4.57018592 -0.04348427  1.94297062  0.87782539],11.1807
35,0.6932,0.7124,[ 2.66617335  4.57218704 -0.04548457  1.94496168  0.87582467],11.1951
36,0.6932,0.6958,[ 2.66259366  4.56833493 -0.04152411  1.94181653  0.87972959],11.1666
37,0.6931,0.693,[ 2.6632009   4.56858451 -0.04159612  1.94285389  0.87956329],11.167
38,0.693,0.7018,[ 2.66315448  4.56857012 -0.04159241  1.94273794  0.87957237],11.167
39,0.6933,0.6787,[ 2.66509184  4.57055115 -0.04358759  1.94457741  0.87758425],11.1813
40,0.693,0.7259,[ 2.66516696  4.57057478 -0.0435936   1.94475819  0.87756939],11.1813
41,0.6932,0.6948,[ 2.66517364  4.5705766  -0.04359399  1.94477532  0.87756837],11.1813
42,0.692,0.7183,[ 2.66147166  4.56667233 -0.03961864  1.94146139  0.88150792],11.153
43,0.6933,0.6802,[ 2.66341964  4.56865627 -0.04161451  1.94332995  0.87951806],11.1671
44,0.6931,0.6749,[ 2.66717826  4.57258139 -0.04559547  1.94675137  0.8755649 ],11.1958
45,0.6932,0.6785,[ 2.66926266  4.57463932 -0.04761373  1.94867401  0.87352456],11.2105
46,0.6931,0.6681,[ 2.66960704  4.57475082 -0.04764212  1.94938396  0.87345509],11.2107
47,0.6932,0.6761,[ 2.66590634  4.57084384 -0.04366564  1.94608519  0.87739715],11.1817
48,0.693,0.6821,[ 2.66587864  4.57083557 -0.04366353  1.94601372  0.87740232],11.1817
49,0.6922,0.7183,[ 2.66614105  4.57093115 -0.04368927  1.94649486  0.87734074],11.1819
50,0.6926,0.7248,[ 2.66795925  4.57287502 -0.045675    1.94805478  0.87537585],11.1963
51,0.6932,0.6794,[ 2.66988845  4.57485437 -0.04766984  1.94986526  0.87338863],11.2109
52,0.6924,0.6679,[ 2.66760882  4.57270818 -0.04562495  1.9476413   0.87548883],11.1959
53,0.6932,0.6706,[ 2.66382281  4.56877222 -0.04164099  1.94419558  0.87944903],11.1672
54,0.693,0.6699,[ 2.66568925  4.57073132 -0.04363059  1.94586148  0.87747466],11.1815
55,0.6928,0.6765,[ 2.6651864   4.57050933 -0.04356468  1.94510199  0.87762444],11.181
56,0.6929,0.6856,[ 2.6632927   4.56854147 -0.04157275  1.94337487  0.8796044 ],11.1668
