v,v_eff,m,t
"[[5.79707348e-06]
 [3.87183648e-05]
 [6.27202645e-04]
 [8.77969697e-07]
 [9.57163145e-05]]","[[5.79707348e-06]
 [3.87183648e-05]
 [6.27202645e-04]
 [8.77969697e-07]
 [9.57163145e-05]]","[[ 0.00722313]
 [ 0.01866722]
 [-0.07513204]
 [ 0.002811  ]
 [-0.02935041]]",1
"[[5.67929004e-06]
 [3.76550743e-05]
 [6.07735011e-04]
 [8.76963837e-07]
 [9.20634360e-05]]","[[5.67929004e-06]
 [3.76550743e-05]
 [6.07735011e-04]
 [8.76963837e-07]
 [9.20634360e-05]]","[[ 0.00714938]
 [ 0.01840912]
 [-0.07395685]
 [ 0.00280939]
 [-0.02878491]]",1
"[[5.54809385e-06]
 [3.65218082e-05]
 [5.86108023e-04]
 [8.73419299e-07]
 [8.82987988e-05]]","[[5.54809385e-06]
 [3.65218082e-05]
 [5.86108023e-04]
 [8.73419299e-07]
 [8.82987988e-05]]","[[ 0.00706632]
 [ 0.01812998]
 [-0.072629  ]
 [ 0.00280371]
 [-0.02819023]]",1
"[[5.40138986e-06]
 [3.53062907e-05]
 [5.62205964e-04]
 [8.66869697e-07]
 [8.43985177e-05]]","[[5.40138986e-06]
 [3.53062907e-05]
 [5.62205964e-04]
 [8.66869697e-07]
 [8.43985177e-05]]","[[ 0.00697227]
 [ 0.01782573]
 [-0.07113265]
 [ 0.00279318]
 [-0.0275606 ]]",1
"[[5.23681146e-06]
 [3.39947287e-05]
 [5.35938138e-04]
 [8.56774219e-07]
 [8.03365434e-05]]","[[5.23681146e-06]
 [3.39947287e-05]
 [5.35938138e-04]
 [8.56774219e-07]
 [8.03365434e-05]]","[[ 0.00686522]
 [ 0.0174915 ]
 [-0.06945101]
 [ 0.00277686]
 [-0.0268892 ]]",1
"[[5.05174676e-06]
 [3.25720065e-05]
 [5.07248175e-04]
 [8.42515933e-07]
 [7.60853501e-05]]","[[5.05174676e-06]
 [3.25720065e-05]
 [5.07248175e-04]
 [8.42515933e-07]
 [7.60853501e-05]]","[[ 0.00674283]
 [ 0.01712157]
 [-0.06756651]
 [ 0.00275366]
 [-0.02616808]]",1
"[[4.84332831e-06]
 [3.10216712e-05]
 [4.76116648e-04]
 [8.23395935e-07]
 [7.16159953e-05]]","[[4.84332831e-06]
 [3.10216712e-05]
 [4.76116648e-04]
 [8.23395935e-07]
 [7.16159953e-05]]","[[ 0.00660227]
 [ 0.01670913]
 [-0.06546029]
 [ 0.00272224]
 [-0.02538787]]",1
"[[4.60865809e-06]
 [2.93273515e-05]
 [4.42585440e-04]
 [7.98659273e-07]
 [6.69018714e-05]]","[[4.60865809e-06]
 [2.93273515e-05]
 [4.42585440e-04]
 [7.98659273e-07]
 [6.69018714e-05]]","[[ 0.00644034]
 [ 0.01624642]
 [-0.06311314]
 [ 0.00268103]
 [-0.02453807]]",1
"[[4.34503384e-06]
 [2.74741858e-05]
 [4.06776416e-04]
 [7.67529847e-07]
 [6.19219691e-05]]","[[4.34503384e-06]
 [2.74741858e-05]
 [4.06776416e-04]
 [7.67529847e-07]
 [6.19219691e-05]]","[[ 0.00625342]
 [ 0.01572475]
 [-0.0605061 ]
 [ 0.00262826]
 [-0.02360715]]",1
"[[4.04970665e-06]
 [2.54473523e-05]
 [3.68850931e-04]
 [7.29182507e-07]
 [5.66565987e-05]]","[[4.04970665e-06]
 [2.54473523e-05]
 [3.68850931e-04]
 [7.29182507e-07]
 [5.66565987e-05]]","[[ 0.00603716]
 [ 0.01513361]
 [-0.05761648]
 [ 0.00256177]
 [-0.02258117]]",1
