epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
0,0.6795,0.9106,"[ 2.61023248  4.53592801 -0.00928041  1.88961581  0.91209665  0.57018981
  1.16030986  2.18108357  2.48296577  3.38703318  2.64382211]",11.4607
1,0.6804,0.9111,"[ 2.6002396   4.54592326 -0.01927934  1.87962084  0.90209908  0.56020131
  1.15031254  2.19099424  2.47296823  3.37714024  2.65379195]",11.2921
2,0.6826,0.8769,"[ 2.59024674  4.55591883 -0.02927834  1.86962585  0.89210134  0.5502133
  1.14031501  2.20093641  2.46297053  3.36718952  2.66377281]",11.1335
3,0.6849,0.8466,"[ 2.58025475  4.56591424 -0.0392773   1.85963142  0.88210367  0.54022746
  1.13031754  2.210891    2.4529729   3.35722311  2.67375778]",10.9856
4,0.6846,0.8367,"[ 2.57026529  4.57590873 -0.04927606  1.84963867  0.87210644  0.53024746
  1.12032053  2.22084807  2.44297575  3.34725254  2.6837434 ]",10.8488
5,0.6848,0.8464,"[ 2.56027717  4.58590309 -0.05927479  1.83964675  0.86210927  0.52027217
  1.11032356  2.23081197  2.43297866  3.33727674  2.69373102]",10.7236
6,0.6881,0.7708,"[ 2.55029361  4.59589618 -0.06927325  1.82965774  0.85211271  0.51031198
  1.10032723  2.24077522  2.42298221  3.32730101  2.70371807]",10.6105
7,0.6891,0.773,"[ 2.54031035  4.60588991 -0.07927185  1.81966876  0.84211582  0.50036191
  1.09033052  2.25074642  2.41298542  3.31732017  2.71370765]",10.5098
8,0.6884,0.7672,"[ 2.53033326  4.61588258 -0.08927024  1.80968344  0.83211942  0.49047077
  1.08033432  2.26071745  2.40298915  3.30733953  2.72369686]",10.422
9,0.6911,0.7864,"[ 2.52036854  4.62587314 -0.09926818  1.79970525  0.82212403  0.4849467
  1.07033915  2.27068469  2.39299393  3.29736155  2.73368432]",10.3569
10,0.6913,0.7805,"[ 2.51041226  4.63586301 -0.10926598  1.78973199  0.81212897  0.49446042
  1.06034431  2.28065339  2.38299907  3.28738298  2.74367175]",10.3376
11,0.691,0.7404,"[ 2.50045932  4.6458531  -0.11926382  1.77976116  0.80213382  0.50424638
  1.05034939  2.29062531  2.37300415  3.27740257  2.75365987]",10.3307
12,0.691,0.7408,"[ 2.49057136  4.6558327  -0.12925935  1.7698312   0.79214387  0.51399653
  1.04035989  2.30057349  2.36301471  3.26743941  2.76363652]",10.336
13,0.6925,0.7375,"[ 2.48075144  4.6658042  -0.13925311  1.75994548  0.78215795  0.52373155
  1.03037462  2.31050666  2.35302958  3.25748777  2.77360494]",10.3536
14,0.6932,0.7324,"[ 2.4727979   4.67379772 -0.14725173  1.75197515  0.77416113  0.53166571
  1.02237795  2.31849152  2.34503294  3.24949884  2.78159777]",10.3765
15,0.6918,0.7288,"[ 2.46827283  4.67787443 -0.151269    1.74760081  0.77012215  0.53606696
  1.01833716  2.32264262  2.34099146  3.24538414  2.78567822]",10.3906
16,0.692,0.7217,"[ 2.45941161  4.68770483 -0.16123065  1.73843152  0.76020869  0.54519931
  1.00842775  2.33231321  2.33108355  3.23563602  2.79550072]",10.4361
17,0.6928,0.7111,"[ 2.45362755  4.69367708 -0.16722448  1.732596    0.75422281  0.55105997
  1.00244256  2.3382614   2.32509863  3.22967602  2.8014722 ]",10.469
18,0.6923,0.7338,"[ 2.45026429  4.6975902  -0.17120475  1.72910845  0.75026768  0.55468415
  0.99848961  2.34210592  2.32114661  3.22579777  2.80538366]",10.494
19,0.6927,0.7239,"[ 2.44630351  4.70158542 -0.17520374  1.72513371  0.74627003  0.55865138
  0.99449209  2.34609624  2.31714912  3.22180514  2.80937864]",10.5201
20,0.6928,0.7304,"[ 2.44241357  4.70557551 -0.17920162  1.72122696  0.74227502  0.56260064
  0.99049733  2.35007838  2.31315446  3.21781906  2.81336864]",10.5483
21,0.6927,0.7456,"[ 2.44075067  4.70752786 -0.1811909   1.71954686  0.74029977  0.56441776
  0.98852337  2.35199883  2.31118109  3.2158825   2.81532125]",10.5636
22,0.6932,0.6589,"[ 2.43711512  4.71150218 -0.18518538  1.71585709  0.7363128   0.5683052
  0.98453711  2.35595533  2.30719515  3.21191681  2.81929589]",10.5954
23,0.6931,0.7319,"[ 2.43787226  4.70956824 -0.18319979  1.71668135  0.73827892  0.56656341
  0.98650138  2.35406354  2.3091585   3.21383087  2.81736055]",10.5758
24,0.6933,0.666,"[ 2.43664317  4.71149236 -0.18518304  1.71541146  0.73631813  0.5682784
  0.98454269  2.35593997  2.30720082  3.21192963  2.8192861 ]",10.5933
25,0.6934,0.7126,"[ 2.43572989  4.7115278  -0.18519067  1.71449775  0.73630008  0.56841901
  0.98452365  2.35599808  2.30718127  3.21188369  2.81932064]",10.59
26,0.6933,0.7006,"[ 2.43523891  4.71167502 -0.18522767  1.71396582  0.73621749  0.56877418
  0.98443697  2.35621118  2.30709256  3.2117039   2.81946453]",10.59
27,0.6929,0.7216,"[ 2.43538258  4.71162727 -0.18521693  1.71411136  0.73624241  0.56860741
  0.98446319  2.35613414  2.30711938  3.21176586  2.8194176 ]",10.5898
28,0.6933,0.7183,"[ 2.43533516  4.711573   -0.18520437  1.71405152  0.73627122  0.56843454
  0.98449345  2.35604807  2.30715034  3.21183579  2.81936415]",10.5886
29,0.6932,0.6866,"[ 2.43749519  4.70953513 -0.18319603  1.71620575  0.73829076  0.56629466
  0.98651405  2.35398671  2.30917143  3.21388492  2.81732708]",10.573
30,0.6931,0.6955,"[ 2.43751865  4.70951602 -0.18319189  1.7162083   0.7383005   0.56621537
  0.9865243   2.35395444  2.30918191  3.21391043  2.8173082 ]",10.5727
31,0.6931,0.6981,"[ 2.43673869  4.7095509  -0.18319945  1.71546653  0.73828267  0.56634768
  0.9865055   2.35401115  2.30916261  3.21386546  2.81734213]",10.57
32,0.6931,0.6884,"[ 2.43429059  4.71155786 -0.18520093  1.71299152  0.73627913  0.56837142
  0.98450176  2.35602199  2.30715875  3.21185689  2.81934875]",10.5838
33,0.6932,0.7009,"[ 2.43230495  4.71356403 -0.18720242  1.71100848  0.73427577  0.57038443
  0.98249824  2.35803103  2.30515512  3.20984943  2.82135471]",10.6001
34,0.6933,0.7086,"[ 2.43057117  4.7155493  -0.18919946  1.70890235  0.73228294  0.57231547
  0.98050579  2.36000545  2.30316285  3.20786919  2.82334037]",10.6167
35,0.6932,0.6953,"[ 2.4259423   4.71753663 -0.19119692  1.70392975  0.73028912  0.57426698
  0.97851228  2.3619847   2.3011695   3.20588538  2.82532838]",10.6215
36,0.6932,0.6726,"[ 2.42173464  4.71753632 -0.19119688  1.70295254  0.73028924  0.57426567
  0.9785124   2.36198398  2.3011696   3.20588596  2.82532807]",10.6105
37,0.6932,0.6882,"[ 2.41735491  4.71554354 -0.18919837  1.70064953  0.73228561  0.57228622
  0.98050859  2.35999477  2.30316565  3.20787746  2.82333471]",10.571
38,0.6932,0.6757,"[ 2.41685241  4.7155409  -0.18919784  1.70029192  0.73228691  0.57227746
  0.98050994  2.35999046  2.30316702  3.20788088  2.82333221]",10.5692
39,0.6933,0.6752,"[ 2.41599514  4.71552388 -0.18919435  1.69960062  0.73229541  0.57222343
  0.98051886  2.359964    2.30317616  3.20790184  2.82331629]",10.5656
40,0.693,0.6689,"[ 2.41675866  4.71750036 -0.19118951  1.70071226  0.73030718  0.57414752
  0.97853123  2.36192752  2.30118886  3.20593078  2.82529425]",10.5946
41,0.6931,0.6567,"[ 2.41681824  4.71777005 -0.19126234  1.70113303  0.730148    0.57467919
  0.97836488  2.36228649  2.30101868  3.20561987  2.82555317]",10.5993
42,0.6932,0.6967,"[ 2.41657882  4.71776766 -0.19126185  1.70094008  0.73014919  0.57467224
  0.97836613  2.3622827   2.30101994  3.20562293  2.82555091]",10.5984
43,0.6932,0.6954,"[ 2.41689501  4.71971356 -0.19325059  1.70163992  0.72817651  0.57650237
  0.97639486  2.3641998   2.29904944  3.203689    2.8275002 ]",10.6256
44,0.6934,0.7069,"[ 2.41542833  4.71774312 -0.19125682  1.70009949  0.73016143  0.57459925
  0.97837894  2.36224489  2.30103305  3.2056529   2.82552813]",10.5938
