v,v_eff,m,t
"[[4.41849238e-05]
 [3.33105297e-05]
 [1.65819379e-03]
 [1.80774940e-05]
 [6.07066280e-05]
 [1.66045916e-04]
 [1.15390128e-04]
 [5.37759197e-05]
 [5.32787485e-05]
 [1.47079517e-04]
 [1.54761928e-04]
 [1.78097358e-05]
 [3.35881352e-05]]","[[4.41849238e-05]
 [3.33105297e-05]
 [1.65819379e-03]
 [1.80774940e-05]
 [6.07066280e-05]
 [1.66045916e-04]
 [1.15390128e-04]
 [5.37759197e-05]
 [5.32787485e-05]
 [1.47079517e-04]
 [1.54761928e-04]
 [1.78097358e-05]
 [3.35881352e-05]]","[[-0.01994152]
 [ 0.01731458]
 [ 0.12216278]
 [-0.01275529]
 [ 0.02337434]
 [-0.03865764]
 [ 0.03222594]
 [ 0.02199962]
 [ 0.02189769]
 [ 0.0363829 ]
 [-0.037321  ]
 [-0.01266047]
 [-0.01738658]]",1
"[[3.40749348e-05]
 [2.61215904e-05]
 [1.32305554e-03]
 [1.37968788e-05]
 [4.71502843e-05]
 [1.28936400e-04]
 [8.93551934e-05]
 [4.22435214e-05]
 [4.16107928e-05]
 [1.13791541e-04]
 [1.19749920e-04]
 [1.41031332e-05]
 [2.62541529e-05]]","[[3.40749348e-05]
 [2.61215904e-05]
 [1.32305554e-03]
 [1.37968788e-05]
 [4.71502843e-05]
 [1.28936400e-04]
 [8.93551934e-05]
 [4.22435214e-05]
 [4.16107928e-05]
 [1.13791541e-04]
 [1.19749920e-04]
 [1.41031332e-05]
 [2.62541529e-05]]","[[-0.01751212]
 [ 0.01533279]
 [ 0.10912149]
 [-0.01114324]
 [ 0.02059982]
 [-0.03406505]
 [ 0.02835836]
 [ 0.0194985 ]
 [ 0.01935193]
 [ 0.03200194]
 [-0.03282909]
 [-0.01126624]
 [-0.01537164]]",1
"[[2.56354527e-05]
 [2.00168053e-05]
 [1.03322367e-03]
 [1.02656796e-05]
 [3.57499716e-05]
 [9.77596278e-05]
 [6.75488712e-05]
 [3.24275273e-05]
 [3.17433346e-05]
 [8.59300136e-05]
 [9.04434463e-05]
 [1.09168398e-05]
 [2.00424863e-05]]","[[2.56354527e-05]
 [2.00168053e-05]
 [1.03322367e-03]
 [1.02656796e-05]
 [3.57499716e-05]
 [9.77596278e-05]
 [6.75488712e-05]
 [3.24275273e-05]
 [3.17433346e-05]
 [8.59300136e-05]
 [9.04434463e-05]
 [1.09168398e-05]
 [2.00424863e-05]]","[[-0.01518944]
 [ 0.01342204]
 [ 0.09643139]
 [-0.00961203]
 [ 0.01793738]
 [-0.02966204]
 [ 0.02465644]
 [ 0.01708355]
 [ 0.01690237]
 [ 0.02780953]
 [-0.02853053]
 [-0.00991219]
 [-0.01343065]]",1
"[[1.87480135e-05]
 [1.49393248e-05]
 [7.87250170e-04]
 [7.41953755e-06]
 [2.63704533e-05]
 [7.21274225e-05]
 [4.96788290e-05]
 [2.42445182e-05]
 [2.35741062e-05]
 [6.31181743e-05]
 [6.64460849e-05]
 [8.23346602e-06]
 [1.48929804e-05]]","[[1.87480135e-05]
 [1.49393248e-05]
 [7.87250170e-04]
 [7.41953755e-06]
 [2.63704533e-05]
 [7.21274225e-05]
 [4.96788290e-05]
 [2.42445182e-05]
 [2.35741062e-05]
 [6.31181743e-05]
 [6.64460849e-05]
 [8.23346602e-06]
 [1.48929804e-05]]","[[-0.01298969]
 [ 0.01159543]
 [ 0.08417394]
 [-0.00817165]
 [ 0.01540565]
 [-0.02547836]
 [ 0.02114496]
 [ 0.01477162]
 [ 0.01456595]
 [ 0.02383408]
 [-0.02445434]
 [-0.00860821]
 [-0.01157743]]",1
"[[1.32590063e-05]
 [1.08055370e-05]
 [5.82398678e-04]
 [5.18120676e-06]
 [1.88273928e-05]
 [5.15218934e-05]
 [3.53638813e-05]
 [1.75670008e-05]
 [1.69578065e-05]
 [4.48650745e-05]
 [4.72415567e-05]
 [6.02042712e-06]
 [1.07175915e-05]]","[[1.32590063e-05]
 [1.08055370e-05]
 [5.82398678e-04]
 [5.18120676e-06]
 [1.88273928e-05]
 [5.15218934e-05]
 [3.53638813e-05]
 [1.75670008e-05]
 [1.69578065e-05]
 [4.48650745e-05]
 [4.72415567e-05]
 [6.02042712e-06]
 [1.07175915e-05]]","[[-0.01092388]
 [ 0.00986153]
 [ 0.07239881]
 [-0.00682868]
 [ 0.01301716]
 [-0.02153363]
 [ 0.01784026]
 [ 0.0125739 ]
 [ 0.01235396]
 [ 0.02009442]
 [-0.02061975]
 [-0.00736097]
 [-0.00982132]]",1
"[[9.19910116e-06]
 [7.68041888e-06]
 [4.24026991e-04]
 [3.54668313e-06]
 [1.31970616e-05]
 [3.61393078e-05]
 [2.47147856e-05]
 [1.25086734e-05]
 [1.19832591e-05]
 [3.13034960e-05]
 [3.29705503e-05]
 [4.32730974e-06]
 [7.57601841e-06]]","[[9.19910116e-06]
 [7.68041888e-06]
 [4.24026991e-04]
 [3.54668313e-06]
 [1.31970616e-05]
 [3.61393078e-05]
 [2.47147856e-05]
 [1.25086734e-05]
 [1.19832591e-05]
 [3.13034960e-05]
 [3.29705503e-05]
 [4.32730974e-06]
 [7.57601841e-06]]","[[-0.00909901]
 [ 0.00831407]
 [ 0.06177575]
 [-0.00564979]
 [ 0.01089833]
 [-0.01803479]
 [ 0.01491419]
 [ 0.01061028]
 [ 0.01038505]
 [ 0.01678486]
 [-0.017226  ]
 [-0.00624066]
 [-0.00825737]]",1
"[[6.07564113e-06]
 [5.20982277e-06]
 [2.95164866e-04]
 [2.30865404e-06]
 [8.81530751e-06]
 [2.41646845e-05]
 [1.64600214e-05]
 [8.50016729e-06]
 [8.07651237e-06]
 [2.08088844e-05]
 [2.19241038e-05]
 [2.96963502e-06]
 [5.10687268e-06]]","[[6.07564113e-06]
 [5.20982277e-06]
 [2.95164866e-04]
 [2.30865404e-06]
 [8.81530751e-06]
 [2.41646845e-05]
 [1.64600214e-05]
 [8.50016729e-06]
 [8.07651237e-06]
 [2.08088844e-05]
 [2.19241038e-05]
 [2.96963502e-06]
 [5.10687268e-06]]","[[-0.00739464]
 [ 0.00684751]
 [ 0.05154109]
 [-0.00455828]
 [ 0.00890718]
 [-0.01474728]
 [ 0.01217129]
 [ 0.00874651]
 [ 0.00852576]
 [ 0.01368503]
 [-0.01404695]
 [-0.00516979]
 [-0.00677952]]",1
"[[3.75924576e-06]
 [3.31977687e-06]
 [1.93371692e-04]
 [1.40613592e-06]
 [5.52291205e-06]
 [1.51602749e-05]
 [1.02819937e-05]
 [5.42616522e-06]
 [5.11029568e-06]
 [1.29707140e-05]
 [1.36710372e-05]
 [1.91531502e-06]
 [3.23120064e-06]]","[[3.75924576e-06]
 [3.31977687e-06]
 [1.93371692e-04]
 [1.40613592e-06]
 [5.52291205e-06]
 [1.51602749e-05]
 [1.02819937e-05]
 [5.42616522e-06]
 [5.11029568e-06]
 [1.29707140e-05]
 [1.36710372e-05]
 [1.91531502e-06]
 [3.23120064e-06]]","[[-0.00581663]
 [ 0.00546608]
 [ 0.04171745]
 [-0.00355742]
 [ 0.00705026]
 [-0.01168086]
 [ 0.00961966]
 [ 0.00698824]
 [ 0.00678179]
 [ 0.01080446]
 [-0.01109231]
 [-0.00415185]
 [-0.00539266]]",1
"[[2.11238269e-06]
 [1.92701629e-06]
 [1.15624306e-04]
 [7.76686010e-07]
 [3.14654934e-06]
 [8.65257071e-06]
 [5.84068421e-06]
 [3.15535247e-06]
 [2.94342353e-06]
 [7.35007934e-06]
 [7.75037225e-06]
 [1.12587072e-06]
 [1.86067500e-06]]","[[2.11238269e-06]
 [1.92701629e-06]
 [1.15624306e-04]
 [7.76686010e-07]
 [3.14654934e-06]
 [8.65257071e-06]
 [5.84068421e-06]
 [3.15535247e-06]
 [2.94342353e-06]
 [7.35007934e-06]
 [7.75037225e-06]
 [1.12587072e-06]
 [1.86067500e-06]]","[[-0.00436021]
 [ 0.00416451]
 [ 0.03225862]
 [-0.00264389]
 [ 0.00532155]
 [-0.00882458]
 [ 0.00725025]
 [ 0.00532899]
 [ 0.00514692]
 [ 0.00813331]
 [-0.00835185]
 [-0.00318321]
 [-0.0040922 ]]",1
"[[1.03209499e-06]
 [9.75512559e-07]
 [6.03957567e-05]
 [3.72470778e-07]
 [1.56081157e-06]
 [4.30134671e-06]
 [2.88867743e-06]
 [1.60017996e-06]
 [1.47755984e-06]
 [3.62531671e-06]
 [3.82471417e-06]
 [5.77435387e-07]
 [9.33648207e-07]]","[[1.03209499e-06]
 [9.75512559e-07]
 [6.03957567e-05]
 [3.72470778e-07]
 [1.56081157e-06]
 [4.30134671e-06]
 [2.88867743e-06]
 [1.60017996e-06]
 [1.47755984e-06]
 [3.62531671e-06]
 [3.82471417e-06]
 [5.77435387e-07]
 [9.33648207e-07]]","[[-0.00304776]
 [ 0.00296304]
 [ 0.02331441]
 [-0.00183091]
 [ 0.00374797]
 [-0.00622191]
 [ 0.00509883]
 [ 0.00379495]
 [ 0.00364665]
 [ 0.00571208]
 [-0.00586706]
 [-0.00227968]
 [-0.00289876]]",1
