v,v_eff,m,t
"[[3.12129310e-04]
 [5.08158666e-04]
 [1.08363372e-02]
 [5.87375783e-04]
 [1.88234674e-03]
 [1.32972248e-04]
 [1.49538750e-03]
 [1.11967794e-07]
 [1.90510297e-03]
 [2.58148637e-06]
 [2.68463278e-10]]","[[3.12129310e-04]
 [5.08158666e-04]
 [1.08363372e-02]
 [5.87375783e-04]
 [1.88234674e-03]
 [1.32972248e-04]
 [1.49538750e-03]
 [1.11967794e-07]
 [1.90510297e-03]
 [2.58148637e-06]
 [2.68463278e-10]]","[[ 5.30015452e-02]
 [-6.76271247e-02]
 [ 3.12293188e-01]
 [ 7.27075103e-02]
 [ 1.30158060e-01]
 [ 3.45940780e-02]
 [ 1.16010721e-01]
 [-1.00384767e-03]
 [ 1.30942456e-01]
 [-4.82010138e-03]
 [-4.91545471e-05]]",1
"[[2.81898323e-04]
 [4.65122675e-04]
 [9.89730976e-03]
 [5.31102856e-04]
 [1.72352116e-03]
 [1.19707348e-04]
 [1.37155471e-03]
 [1.36138934e-07]
 [1.74189706e-03]
 [2.05635507e-06]
 [3.31716928e-08]]","[[2.81898323e-04]
 [4.65122675e-04]
 [9.89730976e-03]
 [5.31102856e-04]
 [1.72352116e-03]
 [1.19707348e-04]
 [1.37155471e-03]
 [1.36138934e-07]
 [1.74189706e-03]
 [2.05635507e-06]
 [3.31716928e-08]]","[[ 0.05036948]
 [-0.06470011]
 [ 0.29845567]
 [ 0.06913701]
 [ 0.12454594]
 [ 0.03282326]
 [ 0.11110352]
 [-0.00110691]
 [ 0.12520812]
 [-0.004302  ]
 [-0.00054639]]",1
"[[2.53837145e-04]
 [4.24630888e-04]
 [9.01328711e-03]
 [4.78815133e-04]
 [1.57383229e-03]
 [1.07460641e-04]
 [1.25456147e-03]
 [1.61099199e-07]
 [1.58829559e-03]
 [1.61460398e-06]
 [1.11276540e-07]]","[[2.53837145e-04]
 [4.24630888e-04]
 [9.01328711e-03]
 [4.78815133e-04]
 [1.57383229e-03]
 [1.07460641e-04]
 [1.25456147e-03]
 [1.61099199e-07]
 [1.58829559e-03]
 [1.61460398e-06]
 [1.11276540e-07]]","[[ 0.0477968 ]
 [-0.06181972]
 [ 0.284815  ]
 [ 0.06564553]
 [ 0.11901467]
 [ 0.03109897]
 [ 0.10625937]
 [-0.00120411]
 [ 0.11956028]
 [-0.00381201]
 [-0.00100074]]",1
"[1.96912860e-05 7.54230480e-05 6.35956564e-07 ... 4.33237724e-02
 4.48045535e-04 3.00567508e-04]","[1.96912860e-05 7.54230480e-05 6.35956564e-07 ... 4.33237724e-02
 4.48045535e-04 3.00567508e-04]","[ 0.01331246 -0.02605393 -0.00239241 ... -0.6244309  -0.06350126
  0.05201065]",1
"[[2.28141475e-04]
 [3.86995170e-04]
 [8.19359664e-03]
 [4.30885434e-04]
 [1.43472833e-03]
 [9.62713224e-05]
 [1.14561939e-03]
 [1.84840113e-07]
 [1.44580698e-03]
 [1.24836660e-06]
 [2.22150585e-07]]","[[2.28141475e-04]
 [3.86995170e-04]
 [8.19359664e-03]
 [4.30885434e-04]
 [1.43472833e-03]
 [9.62713224e-05]
 [1.14561939e-03]
 [1.84840113e-07]
 [1.44580698e-03]
 [1.24836660e-06]
 [2.22150585e-07]]","[[ 0.04531306]
 [-0.05901658]
 [ 0.27155546]
 [ 0.06227334]
 [ 0.11363342]
 [ 0.02943539]
 [ 0.101541  ]
 [-0.00128979]
 [ 0.11407131]
 [-0.00335191]
 [-0.00141399]]",1
"[[2.05808191e-04]
 [3.54029117e-04]
 [7.47790103e-03]
 [3.89204497e-04]
 [1.31295562e-03]
 [8.65493598e-05]
 [1.05016510e-03]
 [2.07671405e-07]
 [1.32119060e-03]
 [9.53790411e-07]
 [3.56771943e-07]]","[[2.05808191e-04]
 [3.54029117e-04]
 [7.47790103e-03]
 [3.89204497e-04]
 [1.31295562e-03]
 [8.65493598e-05]
 [1.05016510e-03]
 [2.07671405e-07]
 [1.32119060e-03]
 [9.53790411e-07]
 [3.56771943e-07]]","[[ 0.04303805]
 [-0.05644698]
 [ 0.25942457]
 [ 0.0591848 ]
 [ 0.10870419]
 [ 0.02790957]
 [ 0.09721875]
 [-0.00136713]
 [ 0.10904456]
 [-0.00292987]
 [-0.00179191]]",1
"[[1.85794626e-04]
 [3.24144281e-04]
 [6.83102213e-03]
 [3.51822230e-04]
 [1.20259777e-03]
 [7.78506210e-05]
 [9.63529712e-04]
 [2.29091504e-07]
 [1.20840815e-03]
 [7.15362929e-07]
 [5.07196373e-07]]","[[1.85794626e-04]
 [3.24144281e-04]
 [6.83102213e-03]
 [3.51822230e-04]
 [1.20259777e-03]
 [7.78506210e-05]
 [9.63529712e-04]
 [2.29091504e-07]
 [1.20840815e-03]
 [7.15362929e-07]
 [5.07196373e-07]]","[[ 0.04089195]
 [-0.05401202]
 [ 0.24794999]
 [ 0.05627077]
 [ 0.10403547]
 [ 0.0264699 ]
 [ 0.09312232]
 [-0.00143591]
 [ 0.1042865 ]
 [-0.00253737]
 [-0.00213653]]",1
"[2.35097383e-06 5.06090225e-05 2.34884921e-06 ... 3.26277259e-02
 2.15535611e-04 2.21983759e-04]","[2.35097383e-06 5.06090225e-05 2.34884921e-06 ... 3.26277259e-02
 2.15535611e-04 2.21983759e-04]","[ 0.00459987 -0.02134201  0.00459779 ... -0.54189439 -0.04404339
  0.04469736]",1
"[[1.67863238e-04]
 [2.97062619e-04]
 [6.24661396e-03]
 [3.18301784e-04]
 [1.10261663e-03]
 [7.00696854e-05]
 [8.84925972e-04]
 [2.49003257e-07]
 [1.10636438e-03]
 [5.24360238e-07]
 [6.67317471e-07]]","[[1.67863238e-04]
 [2.97062619e-04]
 [6.24661396e-03]
 [3.18301784e-04]
 [1.10261663e-03]
 [7.00696854e-05]
 [8.84925972e-04]
 [2.49003257e-07]
 [1.10636438e-03]
 [5.24360238e-07]
 [6.67317471e-07]]","[[ 0.03886861]
 [-0.05170651]
 [ 0.23710657]
 [ 0.05352304]
 [ 0.09961702]
 [ 0.02511229]
 [ 0.08924312]
 [-0.00149701]
 [ 0.09978617]
 [-0.00217238]
 [-0.00245069]]",1
"[[1.51222312e-04]
 [2.71509373e-04]
 [5.69668524e-03]
 [2.87156360e-04]
 [1.00826680e-03]
 [6.28724490e-05]
 [8.10582941e-04]
 [2.66564615e-07]
 [1.01024578e-03]
 [3.71568026e-07]
 [8.29723802e-07]]","[[1.51222312e-04]
 [2.71509373e-04]
 [5.69668524e-03]
 [2.87156360e-04]
 [1.00826680e-03]
 [6.28724490e-05]
 [8.10582941e-04]
 [2.66564615e-07]
 [1.01024578e-03]
 [3.71568026e-07]
 [8.29723802e-07]]","[[ 0.03689174]
 [-0.04943262]
 [ 0.22642917]
 [ 0.05083707]
 [ 0.09525965]
 [ 0.02378764]
 [ 0.08541221]
 [-0.0015489 ]
 [ 0.09535309]
 [-0.00182869]
 [-0.00273268]]",1
