epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
0,0.6802,0.8621,"[ 2.62322423e+00  4.52293287e+00 -2.28107541e-03  1.90261011e+00
  9.25093963e-01  5.83179358e-01  1.17330685e+00  2.16822331e+00
  2.49596295e+00]",13.8789
1,0.6825,0.8825,"[ 2.62622223  4.51993339 -0.00528083  1.90560885  0.92809353  0.58617837
  1.17630635  2.16522439  2.49896241]",13.8346
2,0.6822,0.8472,"[ 2.62922004  4.51693397 -0.00828055  1.90860746  0.93109306  0.58917728
  1.1793058   2.16222558  2.50196182]",13.7912
3,0.6826,0.8645,"[ 2.63221774  4.51393458 -0.01128026  1.91160601  0.93409255  0.59217615
  1.18230522  2.15922684  2.50496119]",13.7487
4,0.6797,0.8517,"[ 2.63521504  4.5109353  -0.01427991  1.91460431  0.93709195  0.59517481
  1.18530452  2.15622835  2.50796043]",13.7071
5,0.6822,0.8707,"[ 2.63821283  4.50793589 -0.01727962  1.91760292  0.94009146  0.59817372
  1.18830395  2.15322959  2.51095981]",13.6663
6,0.6842,0.8347,"[ 2.64121059  4.50493649 -0.02027933  1.92060153  0.94309095  0.60117262
  1.19130338  2.15023086  2.51395918]",13.6265
7,0.6817,0.8607,"[ 2.64420818  4.50193715 -0.02327901  1.92360002  0.94609041  0.60417144
  1.19430275  2.14723224  2.51695849]",13.5876
8,0.6826,0.8367,"[ 2.64720572  4.49893782 -0.02627868  1.92659849  0.94908984  0.60717023
  1.1973021   2.14423366  2.51995778]",13.5496
9,0.6835,0.8407,"[ 2.65020346  4.49593844 -0.02927839  1.92959709  0.95208933  0.61016913
  1.20030151  2.14123497  2.52295713]",13.5126
10,0.6845,0.8241,"[ 2.65320086  4.49293915 -0.03227804  1.93259548  0.95508872  0.61316787
  1.20330082  2.13823649  2.52595636]",13.4765
11,0.6851,0.8124,"[ 2.65619826  4.48993987 -0.03527769  1.93559387  0.95808812  0.6161666
  1.20630013  2.13523802  2.52895559]",13.4415
12,0.6873,0.8247,"[ 2.65919584  4.48694054 -0.03827736  1.93859238  0.96108755  0.61916543
  1.20929949  2.13223946  2.53195487]",13.4074
13,0.6838,0.8347,"[ 2.66219317  4.48394129 -0.041277    1.94159075  0.96408693  0.62216415
  1.21229878  2.12924105  2.53495407]",13.3743
14,0.6871,0.8015,"[ 2.66519056  4.48094201 -0.04427665  1.94458916  0.96708631  0.62516289
  1.21529808  2.12624262  2.53795328]",13.3422
15,0.6863,0.8238,"[ 2.66818775  4.4779428  -0.04727626  1.94758744  0.97008564  0.62816155
  1.21829732  2.12324431  2.54095243]",13.3112
16,0.6873,0.7997,"[ 2.67118477  4.47494364 -0.05027586  1.95058563  0.97308493  0.63116012
  1.22129652  2.12024613  2.54395151]",13.2812
17,0.6874,0.8086,"[ 2.67418192  4.47194445 -0.05327546  1.9535839   0.97608425  0.63415877
  1.22429575  2.11724787  2.54695063]",13.2522
18,0.688,0.7879,"[ 2.67717864  4.46894537 -0.05627501  1.95658192  0.97908346  0.63715721
  1.22729485  2.11424989  2.54994961]",13.2242
19,0.6879,0.8078,"[ 2.6801756   4.46594623 -0.0592746   1.9595801   0.98208272  0.64015578
  1.23029403  2.11125176  2.55294866]",13.1974
20,0.6869,0.8146,"[ 2.68317273  4.46294704 -0.0622742   1.96257838  0.98508203  0.64315443
  1.23329325  2.10825353  2.55594776]",13.1716
21,0.689,0.7868,"[ 2.68616952  4.45994795 -0.06527376  1.96557647  0.98808125  0.64615293
  1.23629238  2.10525551  2.55894675]",13.1468
22,0.6873,0.8043,"[ 2.68916636  4.45694885 -0.06827333  1.96857459  0.99108049  0.64915146
  1.23929152  2.10225747  2.56194574]",13.1232
23,0.6894,0.7778,"[ 2.69216291  4.45394983 -0.07127286  1.97157255  0.99407965  0.65214987
  1.24229058  2.09925962  2.56494464]",13.1006
24,0.6884,0.8007,"[ 2.69515909  4.45095092 -0.07427233  1.97457029  0.99707871  0.6551481
  1.24528954  2.09626202  2.56794341]",13.0792
25,0.6872,0.7851,"[ 2.69815506  4.44795206 -0.07727178  1.97756792  1.00007772  0.65814625
  1.24828844  2.09326454  2.57094211]",13.0588
26,0.6902,0.7623,"[ 2.701151    4.44495322 -0.08027123  1.98056555  1.00307672  0.6611444
  1.25128733  2.09026709  2.57394079]",13.0395
27,0.6874,0.7929,"[ 2.70414663  4.44195446 -0.08327063  1.983563    1.00607564  0.66414242
  1.25428614  2.08726984  2.57693937]",13.0214
28,0.688,0.7791,"[ 2.70714231  4.43895569 -0.08627005  1.9865605   1.00907458  0.66714047
  1.25728497  2.08427256  2.57993796]",13.0043
29,0.6914,0.756,"[ 2.7101379   4.43595694 -0.08926945  1.98955795  1.0120735   0.6701385
  1.26028377  2.08127533  2.58293651]",12.9884
30,0.6904,0.7686,"[ 2.71313326  4.43295825 -0.09226882  1.99255528  1.01507235  0.67313643
  1.26328251  2.07827826  2.58593498]",12.9736
31,0.6907,0.7473,"[ 2.71612872  4.42995953 -0.09526822  1.99555269  1.01807123  0.67613443
  1.26628128  2.07528111  2.58893349]",12.9599
32,0.6916,0.7475,"[ 2.71912402  4.42696085 -0.09826759  1.99855001  1.02107008  0.67913236
  1.26928001  2.07228407  2.59193193]",12.9473
33,0.6917,0.7328,"[ 2.72211811  4.42396252 -0.1012668   2.00154667  1.02406862  0.68212979
  1.27227842  2.06928778  2.59492997]",12.9359
34,0.691,0.7456,"[ 2.72511274  4.42096403 -0.10426609  2.00454364  1.0270673   0.68512746
  1.27527698  2.06629115  2.59792818]",12.9256
35,0.6918,0.7355,"[ 2.72810623  4.41796585 -0.10726524  2.00753999  1.03006569  0.68812466
  1.27827523  2.06329524  2.600926  ]",12.9164
36,0.6914,0.7513,"[ 2.73110015  4.41496755 -0.11026445  2.01053659  1.0330642   0.69112206
  1.2812736   2.06029904  2.60392397]",12.9083
37,0.6923,0.7285,"[ 2.73409269  4.41196962 -0.11326348  2.01353245  1.03606236  0.6941189
  1.28427162  2.0573037   2.60692146]",12.9014
38,0.6924,0.7179,"[ 2.73708389  4.40897207 -0.11626235  2.01652759  1.0390602   0.6971152
  1.28726928  2.0543092   2.60991849]",12.8956
39,0.6915,0.7365,"[ 2.74007438  4.4059747  -0.11926113  2.01952235  1.04205786  0.70011123
  1.29026675  2.05131512  2.61291528]",12.8909
40,0.6918,0.7293,"[ 2.74306124  4.40297834 -0.12225946  2.02251515  1.04505463  0.70310577
  1.29326327  2.04832329  2.61591082]",12.8873
41,0.6927,0.719,"[ 2.74605152  4.39998099 -0.12525825  2.02550988  1.04805226  0.70610179
  1.29626073  2.04532928  2.61890754]",12.8848
42,0.6927,0.7144,"[ 2.74903997  4.39698414 -0.12825681  2.02850364  1.05104945  0.7090971
  1.29925772  2.04233638  2.62190362]",12.8835
43,0.6928,0.7243,"[ 2.75202728  4.39398758 -0.13125525  2.03149683  1.05404637  0.71209199
  1.30225443  2.03934415  2.62489932]",12.8832
44,0.6928,0.7098,"[ 2.75500985  4.39099229 -0.13425313  2.03448751  1.05704214  0.71508502
  1.30524992  2.03635478  2.6278934 ]",12.8841
45,0.6923,0.7249,"[ 2.75799572  4.38799608 -0.13725143  2.03748003  1.06003874  0.71807944
  1.3082463   2.03336334  2.63088861]",12.886
46,0.6929,0.7097,"[ 2.75909422  4.38696711 -0.13826458  2.03853528  1.06106499  0.71912117
  1.3092741   2.03230069  2.63192521]",12.8871
47,0.6929,0.718,"[ 2.76207406  4.38397248 -0.14126219  2.04152468  1.06406015  0.72211331
  1.31226897  2.02931282  2.63491836]",12.8905
48,0.6931,0.7004,"[ 2.76504524  4.38098011 -0.14425881  2.04450961  1.06705324  0.72510217
  1.31526168  2.02633007  2.63790854]",12.895
49,0.6932,0.689,"[ 2.76603513  4.37998279 -0.14525761  2.04550431  1.06805082  0.72609825
  1.31625912  2.02533612  2.6389051 ]",12.8967
50,0.6929,0.7092,"[ 2.76708828  4.37896788 -0.14626424  2.04653309  1.06906441  0.72711964
  1.31727341  2.02430338  2.63992435]",12.8987
51,0.6931,0.6943,"[ 2.76995189  4.37600518 -0.14924773  2.04946052  1.07203044  0.73006595
  1.32023772  2.02138607  2.64287601]",12.9047
52,0.6931,0.7136,"[ 2.77099485  4.37499335 -0.15025295  2.05048346  1.07304124  0.7310829
  1.32124905  2.02035995  2.6438914 ]",12.9072
