v,v_eff,m,t
"[[1.53561177e-06]
 [2.28592468e-05]
 [9.96639763e-05]
 [3.78943497e-06]
 [3.35357521e-05]
 [6.20900167e-06]
 [2.48349526e-05]
 [5.41623660e-06]
 [2.17179474e-05]]","[[1.53561177e-06]
 [2.28592468e-05]
 [9.96639763e-05]
 [3.78943497e-06]
 [3.35357521e-05]
 [6.20900167e-06]
 [2.48349526e-05]
 [5.41623660e-06]
 [2.17179474e-05]]","[[-0.00371759]
 [ 0.0143434 ]
 [ 0.02994955]
 [-0.00583994]
 [-0.01737302]
 [-0.00747536]
 [-0.0149504 ]
 [ 0.00698184]
 [-0.01398076]]",1
"[[2.07282868e-06]
 [3.11105514e-05]
 [1.35609013e-04]
 [5.15471627e-06]
 [4.56701969e-05]
 [8.45044501e-06]
 [3.38908569e-05]
 [7.35625822e-06]
 [2.95078249e-05]]","[[2.07282868e-06]
 [3.11105514e-05]
 [1.35609013e-04]
 [5.15471627e-06]
 [4.56701969e-05]
 [8.45044501e-06]
 [3.38908569e-05]
 [7.35625822e-06]
 [2.95078249e-05]]","[[-0.0043192 ]
 [ 0.01673305]
 [ 0.03493538]
 [-0.0068112 ]
 [-0.02027392]
 [-0.00872089]
 [-0.01746476]
 [ 0.00813673]
 [-0.01629633]]",1
"[[1.54787316e-06]
 [2.28162043e-05]
 [9.91981834e-05]
 [3.83234765e-06]
 [3.33990171e-05]
 [6.26956663e-06]
 [2.47861336e-05]
 [5.37915726e-06]
 [2.15746365e-05]]","[[1.54787316e-06]
 [2.28162043e-05]
 [9.91981834e-05]
 [3.83234765e-06]
 [3.33990171e-05]
 [6.26956663e-06]
 [2.47861336e-05]
 [5.37915726e-06]
 [2.15746365e-05]]","[[-0.00373241]
 [ 0.01432989]
 [ 0.02987949]
 [-0.00587291]
 [-0.01733756]
 [-0.00751173]
 [-0.0149357 ]
 [ 0.0069579 ]
 [-0.01393455]]",1
"[1.78225402e-07 2.14423496e-07 2.13088973e-08 ... 2.39997551e-06
 1.70419909e-07 4.93011493e-07]","[1.78225402e-07 2.14423496e-07 2.13088973e-08 ... 2.39997551e-06
 1.70419909e-07 4.93011493e-07]","[ 0.0012665  -0.00138918  0.00043793 ... -0.00464756  0.00123846
  0.00210644]",1
"[[2.08010369e-06]
 [3.09101950e-05]
 [1.34359438e-04]
 [5.18956286e-06]
 [4.52756657e-05]
 [8.49431852e-06]
 [3.36689706e-05]
 [7.27244123e-06]
 [2.91788482e-05]]","[[2.08010369e-06]
 [3.09101950e-05]
 [1.34359438e-04]
 [5.18956286e-06]
 [4.52756657e-05]
 [8.49431852e-06]
 [3.36689706e-05]
 [7.27244123e-06]
 [2.91788482e-05]]","[[-0.00432677]
 [ 0.01667908]
 [ 0.03477406]
 [-0.00683418]
 [-0.02018616]
 [-0.0087435 ]
 [-0.01740749]
 [ 0.00809024]
 [-0.01620523]]",1
"[[2.75752965e-06]
 [4.13131910e-05]
 [1.79562792e-04]
 [6.93297055e-06]
 [6.05531225e-05]
 [1.13535591e-05]
 [4.51225728e-05]
 [9.69968302e-06]
 [3.89340855e-05]]","[[2.75752965e-06]
 [4.13131910e-05]
 [1.79562792e-04]
 [6.93297055e-06]
 [6.05531225e-05]
 [1.13535591e-05]
 [4.51225728e-05]
 [9.69968302e-06]
 [3.89340855e-05]]","[[-0.00498174]
 [ 0.0192826 ]
 [ 0.04020031]
 [-0.00789916]
 [-0.02334477]
 [-0.01010851]
 [-0.020152  ]
 [ 0.00934329]
 [-0.01871916]]",1
"[[1.99522944e-06]
 [2.93072896e-05]
 [1.27031285e-04]
 [4.98965943e-06]
 [4.28214526e-05]
 [8.15369842e-06]
 [3.19066041e-05]
 [6.86105801e-06]
 [2.75310896e-05]]","[[1.99522944e-06]
 [2.93072896e-05]
 [1.27031285e-04]
 [4.98965943e-06]
 [4.28214526e-05]
 [8.15369842e-06]
 [3.19066041e-05]
 [6.86105801e-06]
 [2.75310896e-05]]","[[-0.00423758]
 [ 0.01624086]
 [ 0.03381245]
 [-0.00670126]
 [-0.01963143]
 [-0.0085664 ]
 [-0.01694578]
 [ 0.00785809]
 [-0.01574102]]",1
"[2.90576180e-06 3.43179645e-06 3.52804814e-07 ... 3.62317971e-05
 2.66363494e-06 7.80541967e-06]","[2.90576180e-06 3.43179645e-06 3.52804814e-07 ... 3.62317971e-05
 2.66363494e-06 7.80541967e-06]","[ 0.00511389 -0.00555753  0.00178192 ... -0.01805786  0.00489619
  0.00838145]",1
"[[2.65681817e-06]
 [3.93529496e-05]
 [1.70560391e-04]
 [6.69609429e-06]
 [5.75385020e-05]
 [1.09479806e-05]
 [4.29611575e-05]
 [9.19356399e-06]
 [3.69061812e-05]]","[[2.65681817e-06]
 [3.93529496e-05]
 [1.70560391e-04]
 [6.69609429e-06]
 [5.75385020e-05]
 [1.09479806e-05]
 [4.29611575e-05]
 [9.19356399e-06]
 [3.69061812e-05]]","[[-0.00488992]
 [ 0.01881958]
 [ 0.03917963]
 [-0.00776304]
 [-0.02275624]
 [-0.00992632]
 [-0.01966343]
 [ 0.00909627]
 [-0.01822514]]",1
"[[1.90400321e-06]
 [2.76511104e-05]
 [1.19530250e-04]
 [4.77284166e-06]
 [4.03006412e-05]
 [7.78732738e-06]
 [3.00874329e-05]
 [6.44170498e-06]
 [2.58480967e-05]]","[[1.90400321e-06]
 [2.76511104e-05]
 [1.19530250e-04]
 [4.77284166e-06]
 [4.03006412e-05]
 [7.78732738e-06]
 [3.00874329e-05]
 [6.44170498e-06]
 [2.58480967e-05]]","[[-0.00413957]
 [ 0.0157753 ]
 [ 0.03279897]
 [-0.00655405]
 [-0.01904484]
 [-0.00837173]
 [-0.0164556 ]
 [ 0.00761415]
 [-0.01525231]]",1
"[[1.36985297e-06]
 [1.95334360e-05]
 [8.42480325e-05]
 [3.41757369e-06]
 [2.83835898e-05]
 [5.56536912e-06]
 [2.11903095e-05]
 [4.53819064e-06]
 [1.82020810e-05]]","[[1.36985297e-06]
 [1.95334360e-05]
 [8.42480325e-05]
 [3.41757369e-06]
 [2.83835898e-05]
 [5.56536912e-06]
 [2.11903095e-05]
 [4.53819064e-06]
 [1.82020810e-05]]","[[-0.00351122]
 [ 0.01325899]
 [ 0.02753602]
 [-0.005546  ]
 [-0.01598288]
 [-0.00707731]
 [-0.01380988]
 [ 0.00639091]
 [-0.01279917]]",1
"[3.22673641e-07 3.93215376e-07 3.75921275e-08 ... 4.53547734e-06
 3.17822018e-07 8.92944297e-07]","[3.22673641e-07 3.93215376e-07 3.75921275e-08 ... 4.53547734e-06
 3.17822018e-07 8.92944297e-07]","[ 0.00170413 -0.00188121  0.00058166 ... -0.006389    0.00169127
  0.00283487]",1
"[[1.98086222e-06]
 [2.85612055e-05]
 [1.23189106e-04]
 [4.98660136e-06]
 [4.15451757e-05]
 [8.12722514e-06]
 [3.10872222e-05]
 [6.62234815e-06]
 [2.65731861e-05]]","[[1.98086222e-06]
 [2.85612055e-05]
 [1.23189106e-04]
 [4.98660136e-06]
 [4.15451757e-05]
 [8.12722514e-06]
 [3.10872222e-05]
 [6.62234815e-06]
 [2.65731861e-05]]","[[-0.00422229]
 [ 0.01603281]
 [ 0.03329718]
 [-0.00669921]
 [-0.01933666]
 [-0.00855249]
 [-0.01672677]
 [ 0.00772018]
 [-0.01546476]]",1
"[[1.45459065e-06]
 [2.06139827e-05]
 [8.87240383e-05]
 [3.64582479e-06]
 [2.98976736e-05]
 [5.93150824e-06]
 [2.23730171e-05]
 [4.76712160e-06]
 [1.91190282e-05]]","[[1.45459065e-06]
 [2.06139827e-05]
 [8.87240383e-05]
 [3.64582479e-06]
 [2.98976736e-05]
 [5.93150824e-06]
 [2.23730171e-05]
 [4.76712160e-06]
 [1.91190282e-05]]","[[-0.00361819]
 [ 0.01362079]
 [ 0.02825803]
 [-0.00572821]
 [-0.01640363]
 [-0.00730641]
 [-0.01419004]
 [ 0.00655012]
 [-0.01311759]]",1
"[[1.73628198e-06]
 [2.46825151e-05]
 [1.06176397e-04]
 [4.37461210e-06]
 [3.57958799e-05]
 [7.11799977e-06]
 [2.68311200e-05]
 [5.69559113e-06]
 [2.28464834e-05]]","[[1.73628198e-06]
 [2.46825151e-05]
 [1.06176397e-04]
 [4.37461210e-06]
 [3.57958799e-05]
 [7.11799977e-06]
 [2.68311200e-05]
 [5.69559113e-06]
 [2.28464834e-05]]","[[-0.00395304]
 [ 0.01490445]
 [ 0.03091258]
 [-0.00627467]
 [-0.0179489 ]
 [-0.00800387]
 [-0.01553963]
 [ 0.00715963]
 [-0.0143394 ]]",1
"[2.54518478e-09 3.15078214e-09 2.93569162e-10 ... 3.81115899e-08
 2.59669845e-09 7.25276779e-09]","[2.54518478e-09 3.15078214e-09 2.93569162e-10 ... 3.81115899e-08
 2.59669845e-09 7.25276779e-09]","[-1.51349473e-04  1.68395485e-04 -5.14015803e-05 ...  5.85665697e-04
 -1.52873431e-04 -2.55489550e-04]",1
