epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
0,0.6636,0.5784,"[2.63022431 4.53592844 0.01071724 1.90960621 0.91209696 0.59017726
 1.16030918 2.18121522 2.48297021 3.37548722 2.64387454 4.29536426
 1.29460625 5.50737779 0.18206762]",10.2198
1,0.6685,0.5856,"[2.64022242 4.54592501 0.02071601 1.9196019  0.90209909 0.60017459
 1.15031067 2.19120889 2.47297583 3.36548876 2.65387267 4.28536714
 1.30460179 5.49738069 0.19205227]",9.7986
2,0.6685,0.5821,"[2.65022043 4.55592126 0.03071471 1.92959774 0.89210128 0.6101719
 1.14031224 2.20120195 2.46298146 3.35549034 2.6638708  4.27537033
 1.31459715 5.48738393 0.20202468]",9.4219
3,0.6817,0.5923,"[2.6602183  4.56591709 0.04071334 1.93959364 0.88210359 0.62016912
 1.13031392 2.21119424 2.45298721 3.34549201 2.67386889 4.26537393
 1.32459226 5.47738764 0.20995229]",9.1084
4,0.6706,0.5866,"[2.670216   4.57591244 0.05071184 1.94958956 0.8721061  0.63016623
 1.12031575 2.22118596 2.44299342 3.3354938  2.68386688 4.255378
 1.33458682 5.46739201 0.20002298]",8.9879
5,0.6824,0.6041,"[2.6802135  4.58590723 0.06071019 1.95958543 0.86210889 0.64016317
 1.11031779 2.23117731 2.43300044 3.32549575 2.69386474 4.24538262
 1.34458053 5.45739731 0.19004559]",8.9264
6,0.685,0.6118,"[2.69021087 4.59590164 0.07070842 1.96958134 0.85211189 0.65016004
 1.10031999 2.24116854 2.42300809 3.31549778 2.70386252 4.23538763
 1.35457353 5.4474035  0.18006045]",8.924
7,0.6825,0.6053,"[2.70020795 4.60589531 0.08070644 1.97957705 0.84211527 0.66015665
 1.09032248 2.25115919 2.41301686 3.30550004 2.7138601  4.22539337
 1.36456534 5.43741123 0.1700726 ]",8.9804
8,0.69,0.6305,"[2.71020475 4.61588823 0.09070424 1.98957254 0.83211906 0.67015299
 1.08032528 2.26114929 2.40302681 3.29550251 2.72385746 4.21539984
 1.37455586 5.42742085 0.16008333]",9.0945
9,0.6891,0.6287,"[2.72020089 4.62587952 0.10070158 1.99956731 0.8221237  0.68014865
 1.07032873 2.27113776 2.3930392  3.2855055  2.7338543  4.20540784
 1.38454387 5.41743421 0.15009425]",9.2645
10,0.6904,0.6419,"[2.73019642 4.63586929 0.11069848 2.00956146 0.81212916 0.69014368
 1.0603328  2.28112486 2.383054   3.27550897 2.74385067 4.19541729
 1.39452932 5.40745217 0.1401053 ]",9.4878
11,0.6925,0.6668,"[2.74019034 4.64585521 0.12069428 2.01955375 0.80213666 0.70013702
 1.05033845 2.29110794 2.37307467 3.26551368 2.75384575 4.18543032
 1.40450873 5.39748107 0.1301187 ]",9.7628
12,0.6913,0.6624,"[2.7501652  4.65579685 0.13067706 2.02952296 0.79216808 0.71010979
 1.04036239 2.30104184 2.36316057 3.25553328 2.76382543 4.1754843
 1.41442208 5.38762437 0.12016778]",10.0864
13,0.6936,0.6787,"[2.76015231 4.6657663  0.1406682  2.03950733 0.78218439 0.72009586
 1.03037484 2.31100804 2.35320712 3.24554335 2.77381501 4.16551257
 1.42437481 5.3777158  0.11019179]",10.4564
14,0.693,0.702,"[2.76614822 4.6717565  0.14666535 2.04550239 0.7761896  0.72609144
 1.02437882 2.31699728 2.34722267 3.23954653 2.77981172 4.15952169
 1.43035896 5.37175029 0.1041992 ]",10.6992
15,0.6925,0.6806,"[2.76627428 4.67202448 0.14675333 2.04564906 0.77603232 0.72622574
 1.02425429 2.3172773  2.34684436 3.23944588 2.77991537 4.15927082
 1.43074401 5.37104297 0.10399623]",10.7036
16,0.6932,0.7006,"[2.76433075 4.67015443 0.14479187 2.04371538 0.77796057 0.72428615
 1.02619844 2.31541353 2.34864808 3.24140139 2.77796125 4.16115035
 1.4289447  5.37258623 0.10590206]",10.6221
17,0.6932,0.687,"[2.76826862 4.67401501 0.148749   2.04764231 0.774039   0.72821966
 1.02225968 2.31926644 2.34485426 3.23745051 2.78191058 4.15728018
 1.43273442 5.36901276 0.10200575]",10.7875
18,0.6931,0.6941,"[2.77028906 4.67606167 0.15076289 2.0496661  0.77201299 0.73024147
 1.02023931 2.32131456 2.34278402 3.23543436 2.78392723 4.15523694
 1.43480633 5.36684066 0.09997271]",10.874
19,0.6928,0.7001,"[2.77029068 4.67606574 0.15076389 2.0496679  0.77201085 0.73024317
 1.02023763 2.32131837 2.34277743 3.23543309 2.78392853 4.15523329
 1.43481319 5.36680689 0.09997037]",10.8739
20,0.6931,0.6904,"[2.7683914  4.67427047 0.14883487 2.04778394 0.7738861  0.72835014
 1.02213767 2.31952998 2.34449808 3.23735199 2.78201196 4.15704053
 1.43309705 5.36834195 0.1018142 ]",10.792
21,0.6919,0.7252,"[2.77224923 4.67796132 0.15273619 2.05161881 0.7700649  0.73219857
 1.01827896 2.3232093  2.34094844 3.23346525 2.78589529 4.15332933
 1.43663745 5.36530211 0.09804106]",10.9611
22,0.693,0.6767,"[2.768246   4.67395404 0.14873387 2.04761489 0.77406895 0.72819507
 1.02228207 2.31920116 2.34495919 3.23746779 2.78189266 4.15733618
 1.43262659 5.36931051 0.10204694]",10.7874
23,0.6915,0.719,"[2.7702427  4.67594589 0.15073155 2.0496108  0.77207315 0.73019148
 1.02028522 2.3211919  2.34297223 3.23547034 2.78389002 4.15534377
 1.43461332 5.36733302 0.10005336]",10.8732
24,0.6932,0.6868,"[2.77024271 4.67594597 0.15073146 2.04961074 0.77207312 0.73019146
 1.02028517 2.32119171 2.34297226 3.23547033 2.78389002 4.15534377
 1.43461335 5.36732676 0.10005358]",10.8732
25,0.6931,0.6886,"[2.76824848 4.67395991 0.14873527 2.0476174  0.77406566 0.7281976
 1.02227935 2.31920575 2.34495015 3.2374658  2.78189469 4.15733101
 1.43263615 5.36925084 0.10204442]",10.7872
26,0.6929,0.7173,"[2.7662444  4.67195082 0.14673238 2.04561262 0.77607084 0.72619323
 1.02428342 2.31719627 2.34696395 3.23946904 2.77989134 4.15933955
 1.43062206 5.371279   0.10405097]",10.7027
