epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
0,0.6918,1.1274,"[ 2.61722712e+00  4.52893183e+00 -2.28126198e-03  1.89661200e+00
  9.19094689e-01  5.77181405e-01  1.16730768e+00  2.17420251e+00
  2.48996380e+00  3.38847594e+00  2.63685833e+00]",11.592
1,0.679,0.9904,"[ 2.61422799  4.53193119 -0.00528112  1.89361263  0.91609502  0.57418276
  1.16430805  2.17718135  2.48696413  3.39144568  2.63984746]",11.5259
2,0.6802,0.8777,"[ 2.61122943  4.53493017 -0.00828089  1.89061365  0.91309554  0.57118501
  1.16130863  2.18015474  2.48396466  3.39050472  2.64283694]",11.469
3,0.6787,0.9015,"[ 2.60823115  4.53792898 -0.01128062  1.88761487  0.91009615  0.56818774
  1.15830931  2.183128    2.48096527  3.38755708  2.64582728]",11.417
4,0.6771,0.8758,"[ 2.60523307  4.54092768 -0.01428033  1.88461624  0.90709682  0.56519083
  1.15531004  2.18610256  2.47796595  3.3845906   2.64881849]",11.366
5,0.6803,0.8876,"[ 2.60223482  4.54392652 -0.01728007  1.88161747  0.90409741  0.56219365
  1.1523107   2.18908242  2.47496655  3.38161413  2.65181156]",11.3159
6,0.682,0.8439,"[ 2.59923675  4.54692527 -0.02027979  1.87861883  0.90109805  0.55919683
  1.1493114   2.19206303  2.4719672   3.37863333  2.65480503]",11.2667
7,0.6783,0.8765,"[ 2.59623876  4.549924   -0.0232795   1.87562025  0.8980987   0.55620016
  1.14631211  2.19504516  2.46896786  3.3756494   2.65779906]",11.2183
8,0.6819,0.848,"[ 2.59324086  4.5529227  -0.02627921  1.87262172  0.89509937  0.55320369
  1.14331284  2.19802855  2.46596853  3.37266331  2.66079356]",11.171
9,0.6814,0.8492,"[ 2.59024305  4.55592138 -0.02927891  1.86962325  0.89210004  0.5502074
  1.14031357  2.20101311  2.46296921  3.3696756   2.66378844]",11.1245
10,0.6833,0.8312,"[ 2.58724531  4.55892004 -0.03227861  1.86662483  0.88910072  0.54721132
  1.13731431  2.20399877  2.45996991  3.36668659  2.66678369]",11.079
11,0.6823,0.8462,"[ 2.58424751  4.56191877 -0.03527833  1.86362636  0.88610136  0.54421518
  1.13431501  2.20698608  2.45697056  3.3636961   2.66977947]",11.0345
12,0.6814,0.8762,"[ 2.58124992  4.56491742 -0.03827802  1.86062803  0.88310205  0.54121948
  1.13131575  2.20997353  2.45397126  3.3607052   2.6727753 ]",10.9909
13,0.6838,0.833,"[ 2.5782524   4.56791606 -0.04127771  1.85762975  0.88010274  0.538224
  1.1283165   2.2129618   2.45097197  3.35771356  2.67577137]",10.9484
14,0.6822,0.8578,"[ 2.57525491  4.57091472 -0.04427741  1.85463149  0.87710341  0.53522868
  1.12531723  2.21595094  2.44797266  3.3547212   2.67876772]",10.9068
15,0.6848,0.8412,"[ 2.57225778  4.57391323 -0.04727708  1.85163346  0.87410416  0.53223416
  1.12231804  2.2189397   2.44497343  3.35172894  2.68176393]",10.8663
16,0.6835,0.851,"[ 2.56926067  4.57691177 -0.05027675  1.84863544  0.8711049   0.5292398
  1.11931883  2.22192931  2.44197418  3.34873604  2.6847604 ]",10.8268
17,0.6857,0.8148,"[ 2.56626351  4.57991038 -0.05327644  1.84563739  0.8681056   0.52624552
  1.11631958  2.22491995  2.4389749   3.34574243  2.68775719]",10.7884
18,0.6846,0.8448,"[ 2.56326702  4.58290872 -0.05627606  1.84263977  0.86510643  0.52325282
  1.11332047  2.22790943  2.43597576  3.34274948  2.69075357]",10.751
19,0.6857,0.8121,"[ 2.56027032  4.5859072  -0.05927572  1.83964202  0.86210719  0.52025994
  1.11032129  2.23090031  2.43297654  3.33975562  2.6937504 ]",10.7147
20,0.6851,0.8335,"[ 2.55727377  4.58890567 -0.06227538  1.83664435  0.85910796  0.51726766
  1.10732211  2.23389154  2.42997733  3.3367615   2.69674734]",10.6795
21,0.6849,0.8181,"[ 2.55427757  4.59190404 -0.06527501  1.83364689  0.85610877  0.51427654
  1.10432297  2.23688271  2.42697817  3.33376739  2.69974423]",10.6454
22,0.6873,0.7982,"[ 2.55128147  4.59490242 -0.06827465  1.8306495   0.85310957  0.51128618
  1.10132383  2.23987438  2.423979    3.33077295  2.70274127]",10.6123
23,0.6848,0.8211,"[ 2.54828576  4.59790071 -0.07127427  1.82765236  0.85011043  0.50829746
  1.09832473  2.24286595  2.42097988  3.32777857  2.70573825]",10.5804
24,0.6861,0.8033,"[ 2.54529042  4.60089892 -0.07427387  1.82465544  0.84711131  0.50531057
  1.09532567  2.24585758  2.41798079  3.32478414  2.70873523]",10.5497
25,0.6856,0.8326,"[ 2.54229514  4.60389718 -0.07727349  1.82165854  0.84411217  0.50232489
  1.09232659  2.24884975  2.41498168  3.32178937  2.71173238]",10.52
26,0.687,0.7959,"[ 2.53930013  4.60689542 -0.0802731   1.8186618   0.84111305  0.49934176
  1.08932751  2.25184218  2.41198258  3.31879443  2.7147296 ]",10.4915
27,0.6869,0.8192,"[ 2.53630588  4.60989348 -0.08327267  1.81566553  0.838114    0.49636376
  1.08632852  2.25483421  2.40898357  3.31579976  2.71772666]",10.4642
28,0.6867,0.7977,"[ 2.53331247  4.61289137 -0.08627221  1.81266975  0.83511503  0.49339393
  1.0833296   2.25782595  2.40598464  3.31280528  2.72072358]",10.438
29,0.6877,0.8092,"[ 2.53031828  4.61588959 -0.08927182  1.80967345  0.83211591  0.49042601
  1.08033052  2.26081919  2.40298555  3.30980984  2.72372104]",10.4131
30,0.6899,0.7829,"[ 2.52732521  4.61888759 -0.09227138  1.80667782  0.82911689  0.48748083
  1.07733155  2.26381192  2.39998656  3.30681474  2.72671828]",10.3893
31,0.6889,0.7921,"[ 2.52433249  4.6218856  -0.09527095  1.80368236  0.82611786  0.48458483
  1.07433257  2.26680498  2.39698757  3.30381944  2.72971562]",10.3668
32,0.6885,0.7959,"[ 2.52134019  4.62488362 -0.09827052  1.8006871   0.82311883  0.48381182
  1.07133358  2.26979831  2.39398857  3.30082397  2.73271305]",10.3503
33,0.6886,0.7792,"[ 2.51834914  4.62788142 -0.10127004  1.79769258  0.8201199   0.48657807
  1.06833471  2.27279116  2.39098968  3.29782885  2.73571025]",10.3426
34,0.6892,0.7721,"[ 2.51535902  4.63087907 -0.10426953  1.79469864  0.81712104  0.48944715
  1.06533591  2.27578375  2.38799088  3.29483392  2.7387073 ]",10.3363
35,0.6893,0.7741,"[ 2.51236857  4.63387685 -0.10726905  1.79170454  0.81412213  0.49235566
  1.06233704  2.27877695  2.38499201  3.29183861  2.74170455]",10.3311
36,0.6897,0.7779,"[ 2.50937838  4.63687463 -0.11026857  1.78871061  0.81112321  0.495285
  1.05933817  2.28177034  2.38199313  3.28884319  2.74470183]",10.327
37,0.6914,0.7546,"[ 2.50638975  4.63987216 -0.11326803  1.78571766  0.80812442  0.49822356
  1.05633943  2.28476321  2.37899439  3.28584816  2.74769885]",10.324
38,0.6898,0.7729,"[ 2.50340208  4.64286957 -0.11626747  1.78272532  0.80512569  0.5011695
  1.05334076  2.28775591  2.37599572  3.28285327  2.75069575]",10.3221
39,0.6889,0.7612,"[ 2.50041775  4.64586643 -0.11926678  1.77973504  0.80212723  0.5041149
  1.05034237  2.29074732  2.37299733  3.2798593   2.75369204]",10.3213
40,0.6912,0.7537,"[ 2.49743254  4.64886353 -0.12226615  1.77674429  0.79912865  0.50706937
  1.04734386  2.2937396   2.36999882  3.27686476  2.75668866]",10.3216
41,0.6913,0.7443,"[ 2.49444853  4.65186053 -0.1252655   1.77375433  0.79613012  0.51002718
  1.0443454   2.29673179  2.36700037  3.27387032  2.75968518]",10.323
42,0.6906,0.7548,"[ 2.49146419  4.65485767 -0.12826487  1.77076422  0.79313153  0.51299023
  1.04134687  2.29972452  2.36400185  3.27087552  2.7626819 ]",10.3255
43,0.6904,0.7669,"[ 2.48848232  4.65785449 -0.13126418  1.76777571  0.79013309  0.51595313
  1.03834851  2.30271665  2.3610035   3.26788117  2.7656783 ]",10.3291
44,0.691,0.7502,"[ 2.48550014  4.66085149 -0.13426353  1.7647871   0.78713458  0.51892048
  1.03535006  2.30570937  2.35800506  3.26488644  2.76867491]",10.3338
45,0.6906,0.754,"[ 2.48252349  4.66384775 -0.13726271  1.76180202  0.78413642  0.52188376
  1.03235199  2.30870056  2.355007    3.26189283  2.77167076]",10.3396
46,0.6914,0.7438,"[ 2.47955025  4.66684369 -0.14026183  1.75881921  0.78113843  0.52484672
  1.02935409  2.3116912   2.35200913  3.25889966  2.77466628]",10.3465
47,0.691,0.7552,"[ 2.47657593  4.66983993 -0.14326101  1.75583586  0.77814029  0.5278142
  1.02635604  2.31468271  2.3490111   3.25590589  2.77766217]",10.3546
48,0.6924,0.7385,"[ 2.47360146  4.67283635 -0.14626023  1.75285259  0.77514206  0.53078501
  1.0233579   2.31767481  2.34601298  3.25291172  2.78065829]",10.3637
49,0.692,0.7345,"[ 2.47063062  4.67583249 -0.14925939  1.74987182  0.77214398  0.53375551
  1.0203599   2.32066649  2.34301501  3.24991789  2.78365414]",10.374
50,0.6922,0.7268,"[ 2.46767056  4.67882756 -0.15225832  1.74689826  0.76914643  0.53672032
  1.01736247  2.32365611  2.34001761  3.24692563  2.7866489 ]",10.3854
51,0.6923,0.7268,"[ 2.46470938  4.68182302 -0.15525734  1.74392429  0.76614869  0.5396893
  1.01436484  2.32664672  2.33702002  3.24393266  2.78964409]",10.3979
52,0.6923,0.7337,"[ 2.46175104  4.68481842 -0.15825634  1.74095256  0.76315098  0.54265944
  1.01136724  2.32963742  2.33402246  3.24093966  2.79263927]",10.4115
53,0.6931,0.7162,"[ 2.45880241  4.6878132  -0.16125521  1.73798782  0.76015358  0.54562738
  1.00836998  2.3326271   2.33102524  3.23794747  2.79563384]",10.4262
54,0.6928,0.7106,"[ 2.45587968  4.69080603 -0.16425366  1.73504136  0.75715717  0.54858587
  1.00537374  2.33561325  2.32802907  3.23495799  2.79862645]",10.4421
55,0.6926,0.7223,"[ 2.452963    4.69379883 -0.16725211  1.73210006  0.75416077  0.55154575
  1.00237752  2.33859959  2.32503293  3.23196842  2.80161908]",10.4591
56,0.6929,0.711,"[ 2.4500668   4.69679067 -0.17025035  1.72917462  0.75116486  0.55450224
  0.99938182  2.34158442  2.32203731  3.22898006  2.80461079]",10.4773
57,0.6929,0.7157,"[ 2.44719048  4.69978184 -0.17324846  1.72626571  0.74816929  0.55745708
  0.99638648  2.34456832  2.31904207  3.22599247  2.80760187]",10.4966
58,0.693,0.7052,"[ 2.44437981  4.70276977 -0.17624586  1.72340936  0.74517536  0.56039805
  0.99339287  2.34754675  2.3160486   3.22300918  2.81058977]",10.5172
59,0.6931,0.706,"[ 2.44157213  4.70575885 -0.17924353  1.72056151  0.74218085  0.56334634
  0.99039866  2.35052759  2.31305452  3.22002409  2.81357889]",10.5389
60,0.693,0.7117,"[ 2.43878998  4.70874803 -0.18224122  1.71774392  0.73918631  0.56629677
  0.98740441  2.35350894  2.31006041  3.21703868  2.81656817]",10.5619
61,0.6931,0.6975,"[ 2.43636344  4.71172205 -0.18523566  1.71526796  0.73619947  0.56918472
  0.98441829  2.35646523  2.30707464  3.21407308  2.81954262]",10.5871
62,0.6931,0.6953,"[ 2.43509326  4.71285247 -0.18626817  1.71398708  0.7351268   0.57051731
  0.983342    2.35765802  2.30599658  3.21291142  2.82067088]",10.5959
63,0.6931,0.6981,"[ 2.43276973  4.71582816 -0.18926298  1.71172171  0.73213914  0.57341576
  0.98035504  2.36061797  2.30300995  3.20994312  2.82364712]",10.6234
64,0.6931,0.6935,"[ 2.43153433  4.71865148 -0.19222234  1.71067158  0.72923338  0.57584791
  0.97745443  2.3633471   2.3001119   3.20716489  2.82647473]",10.6544
65,0.6931,0.701,"[ 2.43028273  4.71968546 -0.19322991  1.70961753  0.72821556  0.57696503
  0.97643559  2.36439973  2.29909254  3.20612213  2.82750779]",10.6631
66,0.6931,0.6968,"[ 2.42986249  4.72066371 -0.19422525  1.70897876  0.72722668  0.5778788
  0.97544736  2.36536497  2.29810463  3.20514994  2.82848666]",10.6738
67,0.6932,0.6904,"[ 2.4300099   4.71968871 -0.19323062  1.70839688  0.72821384  0.57697545
  0.97643376  2.36440444  2.29909065  3.20611827  2.82751089]",10.6599
68,0.6931,0.7022,"[ 2.42991943  4.72031815 -0.19412077  1.70764147  0.72744284  0.57726546
  0.97567291  2.3649176   2.29833481  3.20554765  2.82814844]",10.6661
