epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
0,1.0248,2.558,"[ 2.62322631e+00  4.52293233e+00 -2.28133734e-03  1.90261144e+00
  9.25094414e-01  5.83180397e-01  1.17330737e+00  2.16822219e+00
  2.49596351e+00]",13.8747
1,0.961,2.2559,"[ 2.62622606  4.51993239 -0.00528131  1.90561129  0.92809436  0.58618028
  1.17630732  2.16522232  2.49896345]",13.8303
2,0.8859,1.9676,"[ 2.62922575  4.51693246 -0.00828127  1.9086111   0.9310943   0.58918013
  1.17930725  2.16222247  2.50196337]",13.7867
3,0.8163,1.6952,"[ 2.63222538  4.51393256 -0.01128123  1.91161087  0.93409423  0.59217995
  1.18230716  2.15922267  2.50496328]",13.744
4,0.7486,1.4422,"[ 2.6352249   4.51093268 -0.01428117  1.91461058  0.93709413  0.59517972
  1.18530704  2.15622292  2.50796315]",13.7022
5,0.7177,1.2115,"[ 2.63822423  4.50793284 -0.01728109  1.91761018  0.94009399  0.59817941
  1.18830688  2.15322327  2.51096298]",13.6612
6,0.6947,1.0074,"[ 2.64122321  4.50493311 -0.02028096  1.92060955  0.94309377  0.60117891
  1.19130663  2.15022383  2.5139627 ]",13.6212
7,0.6834,0.8387,"[ 2.64422123  4.50193364 -0.02328071  1.92360832  0.94609332  0.60417795
  1.19430612  2.14722495  2.51696214]",13.5822
8,0.6833,0.822,"[ 2.64721837  4.49893443 -0.02628032  1.92660653  0.94909266  0.60717654
  1.19730537  2.14422661  2.5199613 ]",13.544
9,0.6848,0.8605,"[ 2.65021596  4.49593509 -0.02928     1.92960503  0.95209211  0.61017537
  1.20030473  2.14122801  2.5229606 ]",13.5068
10,0.6855,0.8116,"[ 2.65321325  4.49293584 -0.03227964  1.93260335  0.95509148  0.61317404
  1.20330401  2.13822961  2.5259598 ]",13.4706
11,0.6861,0.8471,"[ 2.65621073  4.48993653 -0.0352793   1.9356018   0.9580909   0.61617282
  1.20630335  2.13523109  2.52895906]",13.4353
12,0.6877,0.7994,"[ 2.65920781  4.48693735 -0.03827891  1.9386      0.96109021  0.6191714
  1.20930256  2.13223283  2.53195819]",13.4011
13,0.6849,0.8393,"[ 2.66220509  4.48393811 -0.04127854  1.94159833  0.96408957  0.62217009
  1.21230184  2.12923445  2.53495737]",13.3678
14,0.6879,0.7832,"[ 2.66520197  4.48093898 -0.04427811  1.94459642  0.96708883  0.62516858
  1.21530099  2.12623634  2.53795642]",13.3356
15,0.687,0.8246,"[ 2.66819896  4.47793983 -0.0472777   1.94759458  0.97008811  0.62816714
  1.21830018  2.12323816  2.5409555 ]",13.3044
16,0.6879,0.783,"[ 2.67119558  4.47494078 -0.05027724  1.95059252  0.9730873   0.63116552
  1.22129927  2.12024022  2.54395446]",13.2742
17,0.6885,0.8179,"[ 2.6741926   4.47194162 -0.05327683  1.95359072  0.97608658  0.6341641
  1.22429846  2.11724204  2.54695354]",13.245
18,0.6887,0.775,"[ 2.67718901  4.46894264 -0.05627633  1.95658854  0.97908571  0.6371624
  1.22729748  2.11424426  2.54995241]",13.2169
19,0.6888,0.8106,"[ 2.68018581  4.46594355 -0.05927589  1.95958662  0.98208494  0.64016089
  1.23029661  2.11124623  2.55295141]",13.1899
20,0.6878,0.8194,"[ 2.68318236  4.46294453 -0.06227542  1.96258455  0.98508411  0.64315927
  1.23329567  2.10824836  2.55595033]",13.1639
21,0.6893,0.7738,"[ 2.68617883  4.45994553 -0.06527493  1.96558244  0.98808324  0.64615761
  1.2362947   2.10525056  2.5589492 ]",13.139
22,0.688,0.8055,"[ 2.68917544  4.45694649 -0.06827447  1.96858043  0.99108242  0.64915603
  1.23929378  2.10225267  2.56194813]",13.1152
23,0.6899,0.7623,"[ 2.69217147  4.45394763 -0.07127392  1.97157807  0.99408145  0.65215419
  1.2422927   2.09925515  2.56494685]",13.0924
24,0.6893,0.7958,"[ 2.69516762  4.45094872 -0.07427339  1.9745758   0.9970805   0.65515241
  1.24529164  2.09625756  2.56794562]",13.0708
25,0.6883,0.8149,"[ 2.69816392  4.44794977 -0.07727289  1.97757363  1.0000796   0.65815072
  1.24829064  2.09325988  2.57094442]",13.0502
26,0.6909,0.7764,"[ 2.70115917  4.44495113 -0.08027224  1.98057084  1.00307842  0.66114855
  1.25128933  2.09026287  2.57394288]",13.0308
27,0.6884,0.8101,"[ 2.70415473  4.44195239 -0.08327163  1.98356825  1.00607733  0.66414653
  1.25428812  2.08726567  2.57694143]",13.0125
28,0.689,0.7759,"[ 2.7071497   4.43895382 -0.08627094  1.98656533  1.00907609  0.66714426
  1.25728675  2.08426884  2.57993978]",12.9953
29,0.6917,0.7395,"[ 2.71014406  4.43595543 -0.08927018  1.98956206  1.01207469  0.67014172
  1.2602852   2.08127241  2.58293792]",12.9792
30,0.6912,0.7699,"[ 2.71313895  4.43295688 -0.09226949  1.99255912  1.01507342  0.67313945
  1.26328381  2.07827563  2.58593623]",12.9642
31,0.6914,0.7329,"[ 2.7161335   4.42995843 -0.09526876  1.995556    1.01807208  0.67613703
  1.26628233  2.07527907  2.58893443]",12.9503
32,0.6921,0.7277,"[ 2.71912664  4.42696037 -0.09826783  1.99855208  1.02107037  0.67913401
  1.26928047  2.0722834   2.59193214]",12.9376
33,0.6923,0.7559,"[ 2.72212076  4.42396203 -0.10126705  2.00154875  1.02406892  0.68213144
  1.27227888  2.06928711  2.59493018]",12.926
34,0.6916,0.7268,"[ 2.72511247  4.42096438 -0.10426595  2.00454405  1.02706686  0.68512783
  1.27527663  2.06629234  2.5979274 ]",12.9155
35,0.6924,0.7528,"[ 2.72810589  4.41796622 -0.10726509  2.00754036  1.03006524  0.688125
  1.27827486  2.06329647  2.6009252 ]",12.9062
36,0.6919,0.7484,"[ 2.73109598  4.41496901 -0.11026378  2.0105348   1.03306278  0.69112075
  1.28127219  2.06030271  2.60392185]",12.8979
37,0.6926,0.7141,"[ 2.73408458  4.4119722  -0.1132623   2.01352844  1.03605995  0.69411589
  1.28426912  2.05730987  2.60691799]",12.8908
38,0.6929,0.7357,"[ 2.73707588  4.40897462 -0.11626118  2.01652363  1.03905781  0.69711223
  1.28726681  2.0543153   2.60991506]",12.8848
39,0.6921,0.7572,"[ 2.74006246  4.40597837 -0.11925945  2.0195162   1.04205448  0.70010659
  1.29026322  2.0513237   2.6129105 ]",12.88
40,0.6922,0.728,"[ 2.74301622  4.40299153 -0.12225338  2.0224904   1.04504274  0.70308696
  1.29325058  2.04835294  2.61589436]",12.8762
41,0.693,0.7026,"[ 2.74599222  4.39999818 -0.12525034  2.02547726  1.04803681  0.70607704
  1.2962442   2.04536788  2.61888614]",12.8736
42,0.6932,0.7266,"[ 2.74897486  4.39700295 -0.12824817  2.02846784  1.05103254  0.70906994
  1.29923963  2.0423786   2.62188022]",12.872
43,0.6931,0.6948,"[ 2.75189096  4.39402664 -0.13123738  2.03142164  1.05401125  0.71203508
  1.3022169   2.03943116  2.62485064]",12.8715
44,0.6931,0.7277,"[ 2.7548721   4.39103176 -0.13423507  2.03441154  1.05700666  0.71502753
  1.305212    2.03644268  2.62784421]",12.8722
45,0.6927,0.7035,"[ 2.7558527   4.39003702 -0.1352327   2.03540117  1.05800194  0.71601978
  1.30620697  2.03545453  2.62883757]",12.8726
46,0.6932,0.722,"[ 2.75882092  4.38704565 -0.13822883  2.03838419  1.06099416  0.71900711
  1.30919871  2.03247392  2.63182663]",12.8748
47,0.6932,0.6885,"[ 2.7597336   4.38607118 -0.13921722  2.03933536  1.06197104  0.71997023
  1.31017422  2.03152929  2.6327944 ]",12.8756
48,0.6933,0.7077,"[ 2.76077091  4.38506076 -0.14022189  2.04035559  1.06298049  0.72098533
  1.31118422  2.03050622  2.6338077 ]",12.8767
