v,v_eff,m,t
"[[1.54892499e-05]
 [9.32147623e-05]
 [3.08240140e-04]
 [2.63605066e-05]
 [1.15229730e-04]
 [4.01561492e-05]
 [7.71369540e-05]
 [2.14631616e-05]
 [8.19331981e-05]]","[[1.54892499e-05]
 [9.32147623e-05]
 [3.08240140e-04]
 [2.63605066e-05]
 [1.15229730e-04]
 [4.01561492e-05]
 [7.71369540e-05]
 [2.14631616e-05]
 [8.19331981e-05]]","[[ 0.01180692]
 [-0.02896434]
 [-0.05267031]
 [ 0.01540275]
 [ 0.03220353]
 [ 0.01901066]
 [ 0.02634829]
 [-0.01389851]
 [ 0.02715509]]",1
"[[1.41361783e-05]
 [8.92670635e-05]
 [3.06237181e-04]
 [2.44384548e-05]
 [1.11943497e-04]
 [3.72732680e-05]
 [7.54190032e-05]
 [2.05709421e-05]
 [7.92190149e-05]]","[[1.41361783e-05]
 [8.92670635e-05]
 [3.06237181e-04]
 [2.44384548e-05]
 [1.11943497e-04]
 [3.72732680e-05]
 [7.54190032e-05]
 [2.05709421e-05]
 [7.92190149e-05]]","[[ 0.01127943]
 [-0.02834437]
 [-0.0524989 ]
 [ 0.01483058]
 [ 0.03174101]
 [ 0.01831555]
 [ 0.02605323]
 [-0.01360656]
 [ 0.02670152]]",1
"[[1.27964167e-05]
 [8.49606275e-05]
 [3.01814055e-04]
 [2.24883514e-05]
 [1.08053497e-04]
 [3.43589175e-05]
 [7.32590669e-05]
 [1.96054596e-05]
 [7.60996341e-05]]","[[1.27964167e-05]
 [8.49606275e-05]
 [3.01814055e-04]
 [2.24883514e-05]
 [1.08053497e-04]
 [3.43589175e-05]
 [7.32590669e-05]
 [1.96054596e-05]
 [7.60996341e-05]]","[[ 0.01073162]
 [-0.02765223]
 [-0.05211839]
 [ 0.01422657]
 [ 0.03118464]
 [ 0.01758494]
 [ 0.02567745]
 [-0.01328342]
 [ 0.02617053]]",1
"[1.93697075e-03 7.22839457e-07 5.69166954e-03 ... 7.65423575e-05
 3.24849125e-02 2.44921514e-03]","[1.93697075e-03 7.22839457e-07 5.69166954e-03 ... 7.65423575e-05
 3.24849125e-02 2.44921514e-03]","[ 0.13203309 -0.0025506   0.22632946 ...  0.02624655  0.54070714
 -0.14846864]",1
"[[1.14656625e-05]
 [8.02103150e-05]
 [2.94405219e-04]
 [2.04993956e-05]
 [1.03433177e-04]
 [3.13921409e-05]
 [7.05641096e-05]
 [1.85449164e-05]
 [7.24926547e-05]]","[[1.14656625e-05]
 [8.02103150e-05]
 [2.94405219e-04]
 [2.04993956e-05]
 [1.03433177e-04]
 [3.13921409e-05]
 [7.05641096e-05]
 [1.85449164e-05]
 [7.24926547e-05]]","[[ 0.0101583 ]
 [-0.02686806]
 [-0.05147472]
 [ 0.01358288]
 [ 0.03051063]
 [ 0.01680861]
 [ 0.02520073]
 [-0.01291914]
 [ 0.02554279]]",1
"[[1.01406951e-05]
 [7.49210615e-05]
 [2.83409402e-04]
 [1.84614516e-05]
 [9.79361233e-05]
 [2.83527734e-05]
 [6.72251854e-05]
 [1.73648956e-05]
 [6.83035933e-05]]","[[1.01406951e-05]
 [7.49210615e-05]
 [2.83409402e-04]
 [1.84614516e-05]
 [9.79361233e-05]
 [2.83527734e-05]
 [6.72251854e-05]
 [1.73648956e-05]
 [6.83035933e-05]]","[[ 0.00955334]
 [-0.02596709]
 [-0.0505043 ]
 [ 0.01289004]
 [ 0.0296888 ]
 [ 0.0159742 ]
 [ 0.02459729]
 [-0.01250136]
 [ 0.0247938 ]]",1
"[[8.82103682e-06]
 [6.89959667e-05]
 [2.68235660e-04]
 [1.63678559e-05]
 [9.14053039e-05]
 [2.52254400e-05]
 [6.31231315e-05]
 [1.60400229e-05]
 [6.34329870e-05]]","[[8.82103682e-06]
 [6.89959667e-05]
 [2.68235660e-04]
 [1.63678559e-05]
 [9.14053039e-05]
 [2.52254400e-05]
 [6.31231315e-05]
 [1.60400229e-05]
 [6.34329870e-05]]","[[ 0.00891007]
 [-0.02491914]
 [-0.0491337 ]
 [ 0.01213716]
 [ 0.02868184]
 [ 0.01506748]
 [ 0.02383502]
 [-0.012015  ]
 [ 0.02389345]]",1
"[1.28813837e-03 4.42827307e-07 4.30498560e-03 ... 2.63502078e-04
 2.31982667e-02 2.06037304e-03]","[1.28813837e-03 4.42827307e-07 4.30498560e-03 ... 2.63502078e-04
 2.31982667e-02 2.06037304e-03]","[ 0.10767193 -0.00199636  0.19683717 ...  0.04869824  0.45692932
 -0.136174  ]",1
"[[7.50957494e-06]
 [6.23444700e-05]
 [2.48363121e-04]
 [1.42170720e-05]
 [8.36848528e-05]
 [2.20018995e-05]
 [5.81368660e-05]
 [1.45456657e-05]
 [5.77846215e-05]]","[[7.50957494e-06]
 [6.23444700e-05]
 [2.48363121e-04]
 [1.42170720e-05]
 [8.36848528e-05]
 [2.20018995e-05]
 [5.81368660e-05]
 [1.45456657e-05]
 [5.77846215e-05]]","[[ 0.00822108]
 [-0.02368755]
 [-0.04727862]
 [ 0.01131166]
 [ 0.02744383]
 [ 0.01407185]
 [ 0.02287426]
 [-0.01144163]
 [ 0.02280486]]",1
"[[6.21553590e-06]
 [5.49086882e-05]
 [2.23461882e-04]
 [1.20186192e-05]
 [7.46560197e-05]
 [1.86899890e-05]
 [5.21682689e-05]
 [1.28638678e-05]
 [5.12906747e-05]]","[[6.21553590e-06]
 [5.49086882e-05]
 [2.23461882e-04]
 [1.20186192e-05]
 [7.46560197e-05]
 [1.86899890e-05]
 [5.21682689e-05]
 [1.28638678e-05]
 [5.12906747e-05]]","[[ 0.00747929]
 [-0.02223012]
 [-0.04484592]
 [ 0.01040036]
 [ 0.02592111]
 [ 0.01296958]
 [ 0.02166828]
 [-0.01075987]
 [ 0.02148525]]",1
