v,v_eff,m,t
"[[1.95460231e-05]
 [2.60434606e-04]
 [2.68581259e-03]
 [5.34809388e-05]
 [4.80660020e-04]
 [5.57494840e-05]
 [3.73602933e-04]]","[[1.95460231e-05]
 [2.60434606e-04]
 [2.68581259e-03]
 [5.34809388e-05]
 [4.80660020e-04]
 [5.57494840e-05]
 [3.73602933e-04]]","[[ 0.01326327]
 [-0.04841396]
 [ 0.15547448]
 [ 0.0219392 ]
 [ 0.06577188]
 [ 0.02239967]
 [ 0.05798643]]",1
"[[1.63934642e-05]
 [2.16738782e-04]
 [2.22896583e-03]
 [4.46944492e-05]
 [4.02521618e-04]
 [4.59513222e-05]
 [3.12873843e-04]]","[[1.63934642e-05]
 [2.16738782e-04]
 [2.22896583e-03]
 [4.46944492e-05]
 [4.02521618e-04]
 [4.59513222e-05]
 [3.12873843e-04]]","[[ 0.01214665]
 [-0.04416615]
 [ 0.14163577]
 [ 0.02005617]
 [ 0.06018882]
 [ 0.02033622]
 [ 0.05306472]]",1
"[[1.36558760e-05]
 [1.79128489e-04]
 [1.83750961e-03]
 [3.71024122e-05]
 [3.34856288e-04]
 [3.75970009e-05]
 [2.60304394e-04]]","[[1.36558760e-05]
 [1.79128489e-04]
 [1.83750961e-03]
 [3.71024122e-05]
 [3.34856288e-04]
 [3.75970009e-05]
 [2.60304394e-04]]","[[ 0.01108616]
 [-0.04015167]
 [ 0.12859855]
 [ 0.01827352]
 [ 0.05489724]
 [ 0.01839492]
 [ 0.04840185]]",1
"[[1.12458128e-05]
 [1.46335949e-04]
 [1.49765328e-03]
 [3.04538323e-05]
 [2.75450961e-04]
 [3.03902374e-05]
 [2.14166725e-04]]","[[1.12458128e-05]
 [1.46335949e-04]
 [1.49765328e-03]
 [3.04538323e-05]
 [2.75450961e-04]
 [3.03902374e-05]
 [2.14166725e-04]]","[[ 0.01006043]
 [-0.03629082]
 [ 0.11609858]
 [ 0.0165555 ]
 [ 0.04979015]
 [ 0.0165382 ]
 [ 0.04390331]]",1
"[[9.10945833e-06]
 [1.17566060e-04]
 [1.20069880e-03]
 [2.45921064e-05]
 [2.22931590e-04]
 [2.41420632e-05]
 [1.73385966e-04]]","[[9.10945833e-06]
 [1.17566060e-04]
 [1.20069880e-03]
 [2.45921064e-05]
 [2.22931590e-04]
 [2.41420632e-05]
 [1.73385966e-04]]","[[ 0.00905456]
 [-0.03252837]
 [ 0.1039533 ]
 [ 0.01487713]
 [ 0.04479268]
 [ 0.01474037]
 [ 0.03950283]]",1
"[[7.24652389e-06]
 [9.27367238e-05]
 [9.45422042e-04]
 [1.95063808e-05]
 [1.77237828e-04]
 [1.88162504e-05]
 [1.37907672e-04]]","[[7.24652389e-06]
 [9.27367238e-05]
 [9.45422042e-04]
 [1.95063808e-05]
 [1.77237828e-04]
 [1.88162504e-05]
 [1.37907672e-04]]","[[ 0.00807581]
 [-0.02888997]
 [ 0.09224315]
 [ 0.01324981]
 [ 0.03993921]
 [ 0.01301331]
 [ 0.03523023]]",1
"[[5.64855593e-06]
 [7.16615769e-05]
 [7.29525249e-04]
 [1.51644561e-05]
 [1.38115857e-04]
 [1.43549739e-05]
 [1.07528815e-04]]","[[5.64855593e-06]
 [7.16615769e-05]
 [7.29525249e-04]
 [1.51644561e-05]
 [1.38115857e-04]
 [1.43549739e-05]
 [1.07528815e-04]]","[[ 0.00713001]
 [-0.02539595]
 [ 0.08102918]
 [ 0.01168247]
 [ 0.03525681]
 [ 0.01136639]
 [ 0.03110883]]",1
"[[4.28913157e-06]
 [5.39288509e-05]
 [5.48435092e-04]
 [1.14871573e-05]
 [1.04882419e-04]
 [1.06552356e-05]
 [8.17147861e-05]]","[[4.28913157e-06]
 [5.39288509e-05]
 [5.48435092e-04]
 [1.14871573e-05]
 [1.04882419e-04]
 [1.06552356e-05]
 [8.17147861e-05]]","[[ 0.00621307]
 [-0.02203088]
 [ 0.07025607]
 [ 0.01016781]
 [ 0.03072364]
 [ 0.00979271]
 [ 0.02711887]]",1
"[[3.14945759e-06]
 [3.92327514e-05]
 [3.98737600e-04]
 [8.41698007e-06]
 [7.70477372e-05]
 [7.63748934e-06]
 [6.00826923e-05]]","[[3.14945759e-06]
 [3.92327514e-05]
 [3.98737600e-04]
 [8.41698007e-06]
 [7.70477372e-05]
 [7.63748934e-06]
 [6.00826923e-05]]","[[ 0.00532401]
 [-0.01879082]
 [ 0.05990525]
 [ 0.00870361]
 [ 0.02633305]
 [ 0.0082908 ]
 [ 0.02325391]]",1
"[[2.26994586e-06]
 [2.80113659e-05]
 [2.84672454e-04]
 [6.05448784e-06]
 [5.55689154e-05]
 [5.36907610e-06]
 [4.33768865e-05]]","[[2.26994586e-06]
 [2.80113659e-05]
 [2.84672454e-04]
 [6.05448784e-06]
 [5.55689154e-05]
 [5.36907610e-06]
 [4.33768865e-05]]","[[ 0.0045199 ]
 [-0.01587773]
 [ 0.05061672]
 [ 0.00738176]
 [ 0.02236337]
 [ 0.00695138]
 [ 0.01975834]]",1
