epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
0,0.6717,0.9788,"[ 2.61023041  4.53593119 -0.00928102  1.88961394  0.91209524  0.57018292
  1.16030831]",11.5079
1,0.6766,0.926,"[ 2.60023895  4.54592871 -0.01928025  1.87961922  0.90209697  0.56018876
  1.15031027]",11.3928
2,0.6806,0.859,"[ 2.59024844  4.55592587 -0.02927937  1.86962521  0.89209891  0.55019578
  1.14031246]",11.2842
3,0.6726,0.9034,"[ 2.58025739  4.56592312 -0.03927852  1.85963098  0.88210074  0.54020292
  1.13031453]",11.1818
4,0.683,0.8669,"[ 2.57026697  4.5759201  -0.04927761  1.84963727  0.87210271  0.53021121
  1.12031674]",11.0855
5,0.6831,0.8696,"[ 2.56027742  4.58591673 -0.05927659  1.83964429  0.86210486  0.52022108
  1.11031916]",10.9959
6,0.6863,0.8361,"[ 2.55028659  4.59591372 -0.0692757   1.82965059  0.85210675  0.51023051
  1.10032128]",10.9133
7,0.6845,0.8496,"[ 2.54029735  4.6059101  -0.07927464  1.81965814  0.84210896  0.50024272
  1.09032375]",10.8376
8,0.6827,0.8543,"[ 2.530309    4.61590611 -0.08927348  1.8096665   0.83211134  0.49025735
  1.08032641]",10.7692
9,0.6844,0.8545,"[ 2.52032154  4.62590175 -0.09927224  1.7996757   0.8221139   0.48027486
  1.07032924]",10.7079
10,0.6924,0.7903,"[ 2.51033384  4.6358974  -0.10927102  1.78968498  0.8121164   0.47029442
  1.06033199]",10.6537
11,0.687,0.8252,"[ 2.50034604  4.64589302 -0.11926982  1.77969442  0.80211885  0.46031669
  1.05033468]",10.6068
12,0.6882,0.8076,"[ 2.49035978  4.65588804 -0.12926848  1.76970535  0.7921216   0.45034644
  1.04033767]",10.567
13,0.6879,0.7983,"[ 2.48037477  4.66588254 -0.13926702  1.75971762  0.78212456  0.4403859
  1.03034087]",10.5342
14,0.69,0.7704,"[ 2.47039155  4.67587632 -0.14926542  1.7497318   0.77212782  0.43044382
  1.02034438]",10.5085
15,0.6911,0.7772,"[ 2.46041081  4.68586912 -0.1592636   1.73974863  0.76213153  0.42053797
  1.01034832]",10.4895
16,0.6912,0.7666,"[ 2.45043042  4.69586175 -0.16926178  1.72976642  0.75213524  0.41071671
  1.00035224]",10.4774
17,0.6895,0.7883,"[ 2.4404506   4.70585411 -0.17925995  1.71978552  0.742139    0.40654824
  0.99035617]",10.4798
18,0.6918,0.735,"[ 2.43047632  4.71584413 -0.1892576   1.70981101  0.73214382  0.41590223
  0.98036118]",10.5079
19,0.6925,0.7409,"[ 2.4205113   4.7258301  -0.19925435  1.69984748  0.72215049  0.42553001
  0.97036807]",10.5424
20,0.692,0.7349,"[ 2.41054771  4.73581503 -0.20925092  1.68988736  0.71215755  0.43526556
  0.96037531]",10.5831
21,0.693,0.7098,"[ 2.40058775  4.74579793 -0.21924711  1.67993363  0.70216544  0.44504552
  0.95038333]",10.6296
22,0.6924,0.7284,"[ 2.39063868  4.75577549 -0.2292422   1.66999581  0.69217563  0.45482155
  0.94039361]",10.6819
23,0.6926,0.7356,"[ 2.38264718  4.76377248 -0.23724161  1.66200605  0.68417694  0.46275529
  0.93239496]",10.728
24,0.692,0.7365,"[ 2.37486537  4.77165946 -0.2452155   1.65427843  0.67623014  0.47025343
  0.92444791]",10.777
25,0.6915,0.7314,"[ 2.37076149  4.77571096 -0.24922659  1.65013819  0.6722071   0.47450781
  0.92042516]",10.8035
