epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
28,0.693,0.706,"[2.38614809 4.76009445 0.23475978 1.66552133 0.68797913 0.34609898
 1.40439707 2.40540899 2.25885358 3.61958902 2.39980798 4.07112445
 1.51869462 5.32074495 0.26236806]",20.7054
29,0.6931,0.6999,"[2.38814298 4.75810682 0.23277029 1.6675133  0.68996998 0.34809366
 1.40240297 2.40342226 2.26084586 3.61759575 2.4018034  4.07310378
 1.51670047 5.32272063 0.26037994]",20.7115
30,0.6933,0.7065,"[2.38614575 4.76010035 0.23476368 1.66551762 0.6879748  0.34609654
 1.40439976 2.40541533 2.25884995 3.61959209 2.39980587 4.07111437
 1.51869735 5.32073411 0.2623734 ]",20.7053
31,0.6929,0.7101,"[2.38614536 4.76010144 0.23476397 1.66551699 0.68797402 0.34609613
 1.40440021 2.40541651 2.2588493  3.6195926  2.39980551 4.0711124
 1.51869784 5.32073236 0.26237427]",20.7053
32,0.6929,0.6975,"[2.38414628 4.76209944 0.23676122 1.66351843 0.68597554 0.34409709
 1.40639913 2.40741438 2.25685059 3.62159137 2.39780633 4.06911555
 1.52069682 5.31873723 0.26437194]",20.6997
33,0.693,0.7014,"[2.38614635 4.76009944 0.23476065 1.66551849 0.68797557 0.34609715
 1.40439906 2.40541438 2.25885064 3.61959127 2.39980639 4.07111534
 1.51869678 5.32073736 0.26237184]",20.7054
34,0.6932,0.7049,"[2.38813953 4.75811588 0.23277481 1.66750779 0.68996339 0.34809006
 1.40240693 2.40343202 2.26084036 3.61760026 2.40180028 4.07308791
 1.51670458 5.32270497 0.26038768]",20.7114
35,0.6926,0.6658,"[2.39207933 4.75424765 0.22890072 1.67141629 0.69386201 0.35202762
 1.39847593 2.39957163 2.26475351 3.61367814 2.40574619 4.07688635
 1.51277229 5.32646338 0.25652088]",20.724
36,0.6927,0.6668,"[2.38807985 4.75824642 0.23289844 1.66741717 0.68986289 0.34802817
 1.40247531 2.40357032 2.26075422 3.61767742 2.40174663 4.07288869
 1.51677174 5.32246806 0.26051912]",20.7099
37,0.693,0.7073,"[2.38614723 4.76009959 0.23476196 1.66551886 0.68797621 0.34609798
 1.40439826 2.40541457 2.25885169 3.61959039 2.39980727 4.07111057
 1.51869586 5.32072586 0.26237437]",20.7053
38,0.693,0.6709,"[2.38613621 4.76012608 0.23478484 1.66550162 0.68795657 0.34608654
 1.40441097 2.40544301 2.25883509 3.61960491 2.39979741 4.07106658
 1.51870844 5.32067436 0.26239974]",20.705
39,0.6931,0.7215,"[2.38613871 4.76012035 0.23477902 1.66550548 0.68796088 0.34608913
 1.40440809 2.40543688 2.25883875 3.61960161 2.39979964 4.07107574
 1.51870564 5.32068576 0.262394  ]",20.7051
40,0.693,0.6664,"[2.38577782 4.76068679 0.23532105 1.66503937 0.687465   0.3457196
 1.40480198 2.40601948 2.2583832  3.62002677 2.39946368 4.07039892
 1.51909611 5.31997364 0.26295435]",20.7006
