epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
0,0.6808,0.784,"[2.62120818e+00 4.52493752e+00 1.71697446e-03 1.90060065e+00
 9.23090777e-01 5.81168581e-01 1.17130329e+00]",11.6381
1,0.678,0.8736,"[ 2.61621360e+00  4.52993601e+00 -3.28254780e-03  1.89560391e+00
  9.18091863e-01  5.76171949e-01  1.16630452e+00]",11.5761
2,0.6768,0.9299,"[ 2.61121819  4.53493471 -0.00828214  1.89060669  0.91309279  0.5711749
  1.16130556]",11.5158
3,0.6777,0.8772,"[ 2.60622291  4.53993335 -0.01328171  1.88560959  0.90809374  0.56617804
  1.15630664]",11.457
4,0.6802,0.8488,"[ 2.60122809  4.54493184 -0.01828124  1.8806128   0.90309479  0.56118165
  1.15130783]",11.3999
5,0.6797,0.8979,"[ 2.59623271  4.54993047 -0.02328082  1.8756157   0.89809573  0.55618497
  1.14630889]",11.3444
6,0.6805,0.8481,"[ 2.59123743  4.55492905 -0.02828038  1.87061868  0.89309669  0.55118851
  1.14130998]",11.2905
7,0.6814,0.896,"[ 2.58624225  4.55992758 -0.03327992  1.86562176  0.88809768  0.54619226
  1.13631109]",11.2382
8,0.6804,0.8491,"[ 2.58124731  4.56492602 -0.03827944  1.86062503  0.88309872  0.54119636
  1.13131226]",11.1874
9,0.681,0.8908,"[ 2.57625215  4.56992451 -0.04327898  1.85562819  0.87809971  0.53620044
  1.12631338]",11.1381
10,0.6849,0.8476,"[ 2.57125703  4.57492297 -0.04827851  1.85063141  0.87310071  0.53120473
  1.12131451]",11.0905
11,0.6831,0.8227,"[ 2.56626264  4.57992117 -0.05327797  1.84563515  0.86810187  0.5262099
  1.11631581]",11.0444
12,0.6838,0.8652,"[ 2.56126757  4.58491957 -0.05827749  1.84063847  0.86310288  0.52121461
  1.11131695]",11.0001
13,0.6767,0.9064,"[ 2.55627284  4.58991785 -0.06327698  1.83564206  0.85810396  0.51621986
  1.10631817]",10.9575
14,0.6823,0.8758,"[ 2.55127884  4.59491586 -0.06827639  1.83064619  0.8531052   0.51122617
  1.10131955]",10.9167
15,0.683,0.8589,"[ 2.54628491  4.59991384 -0.07327579  1.82565041  0.84810644  0.50623284
  1.09632094]",10.8776
16,0.6842,0.8197,"[ 2.54129064  4.60491191 -0.07827523  1.82065445  0.84310762  0.50123943
  1.09132226]",10.8403
17,0.6797,0.8588,"[ 2.53629612  4.60991004 -0.08327469  1.81565835  0.83810875  0.49624606
  1.08632351]",10.8048
18,0.6854,0.8121,"[ 2.53130196  4.61490804 -0.08827411  1.81066256  0.83310994  0.49125351
  1.08132484]",10.771
19,0.6876,0.7792,"[ 2.52630835  4.61990582 -0.09327348  1.80566722  0.82811125  0.48626217
  1.07632629]",10.7391
20,0.6869,0.8065,"[ 2.52131409  4.62490382 -0.09827291  1.80067145  0.82311242  0.48127036
  1.07132758]",10.709
21,0.6878,0.8199,"[ 2.51631973  4.62990184 -0.10327235  1.79567566  0.81811356  0.47627888
  1.06632885]",10.6806
22,0.6871,0.8318,"[ 2.51132613  4.63489957 -0.10827172  1.7906805   0.81311486  0.47128921
  1.06133028]",10.6541
23,0.6859,0.8381,"[ 2.50633256  4.63989728 -0.11327108  1.78568542  0.80811616  0.46630034
  1.0563317 ]",10.6294
24,0.6866,0.8027,"[ 2.50133991  4.64489464 -0.11827036  1.78069112  0.80311763  0.46131409
  1.05133332]",10.6064
25,0.6843,0.8481,"[ 2.49634755  4.64989188 -0.12326961  1.77569714  0.79811916  0.45632958
  1.04633499]",10.5853
26,0.688,0.8161,"[ 2.4913552   4.65488909 -0.12826886  1.77070324  0.79312069  0.45134655
  1.04133664]",10.5659
27,0.6896,0.7701,"[ 2.48636318  4.65988618 -0.13326808  1.7657097   0.78812227  0.4463661
  1.03633836]",10.5483
28,0.6888,0.8042,"[ 2.48137107  4.66488328 -0.13826732  1.76071619  0.78312382  0.44138762
  1.03134004]",10.5324
29,0.6875,0.8228,"[ 2.47637937  4.66988021 -0.14326652  1.75572311  0.77812545  0.43641312
  1.02634179]",10.5183
30,0.6873,0.7949,"[ 2.47138867  4.67487676 -0.14826563  1.75073101  0.77312726  0.4314464
  1.02134373]",10.506
31,0.6913,0.7334,"[ 2.46640053  4.67987234 -0.15326451  1.74574126  0.76812955  0.42649829
  1.01634617]",10.4953
32,0.6879,0.7746,"[ 2.46141137  4.68486829 -0.15826349  1.74075079  0.76313162  0.42155597
  1.01134838]",10.4864
33,0.6897,0.7825,"[ 2.45642146  4.6898645  -0.16326254  1.73575982  0.75813354  0.4166253
  1.00635041]",10.4791
34,0.6911,0.7479,"[ 2.45143324  4.69486007 -0.16826145  1.73077058  0.75313576  0.41174571
  1.00135275]",10.4736
