v,v_eff,m,t
"[[2.48277519e-06]
 [3.77770694e-05]
 [1.65048808e-04]
 [6.18877835e-06]
 [5.55808468e-05]
 [1.01625995e-05]
 [4.12287390e-05]
 [8.95790833e-06]
 [3.59321368e-05]]","[[2.48277519e-06]
 [3.77770694e-05]
 [1.65048808e-04]
 [6.18877835e-06]
 [5.55808468e-05]
 [1.01625995e-05]
 [4.12287390e-05]
 [8.95790833e-06]
 [3.59321368e-05]]","[[-0.00472705]
 [ 0.01843892]
 [ 0.0385414 ]
 [-0.00746318]
 [-0.02236577]
 [-0.00956365]
 [-0.01926288]
 [ 0.00897893]
 [-0.01798303]]",1
"[[1.79453333e-06]
 [2.67585152e-05]
 [1.16567860e-04]
 [4.44924555e-06]
 [3.92474963e-05]
 [7.28920141e-06]
 [2.91102835e-05]
 [6.32576356e-06]
 [2.53712622e-05]]","[[1.79453333e-06]
 [2.67585152e-05]
 [1.16567860e-04]
 [4.44924555e-06]
 [3.92474963e-05]
 [7.28920141e-06]
 [2.91102835e-05]
 [6.32576356e-06]
 [2.53712622e-05]]","[[-0.00401881]
 [ 0.01551859]
 [ 0.03238998]
 [-0.00632797]
 [-0.01879435]
 [-0.00809956]
 [-0.01618618]
 [ 0.00754532]
 [-0.01511097]]",1
"[[2.15139425e-06]
 [3.21799005e-05]
 [1.40093323e-04]
 [5.36272831e-06]
 [4.71978629e-05]
 [8.78588334e-06]
 [3.50657163e-05]
 [7.59044658e-06]
 [3.04523679e-05]]","[[2.15139425e-06]
 [3.21799005e-05]
 [1.40093323e-04]
 [5.36272831e-06]
 [4.71978629e-05]
 [8.78588334e-06]
 [3.50657163e-05]
 [7.59044658e-06]
 [3.04523679e-05]]","[[-0.00440029]
 [ 0.0170182 ]
 [ 0.03550831]
 [-0.00694727]
 [-0.02061021]
 [-0.0088923 ]
 [-0.01776489]
 [ 0.00826523]
 [-0.0165551 ]]",1
"[[2.65374684e-06]
 [3.98838080e-05]
 [1.73556728e-04]
 [6.65571052e-06]
 [5.85087034e-05]
 [1.09059810e-05]
 [4.35472564e-05]
 [9.38696890e-06]
 [3.76729489e-05]]","[[2.65374684e-06]
 [3.98838080e-05]
 [1.73556728e-04]
 [6.65571052e-06]
 [5.85087034e-05]
 [1.09059810e-05]
 [4.35472564e-05]
 [9.38696890e-06]
 [3.76729489e-05]]","[[-0.0048871 ]
 [ 0.01894609]
 [ 0.03952228]
 [-0.0077396 ]
 [-0.02294729]
 [-0.00990726]
 [-0.0197971 ]
 [ 0.00919145]
 [-0.01841349]]",1
"[[1.94141507e-06]
 [2.86190957e-05]
 [1.24197775e-04]
 [4.84438519e-06]
 [4.18555401e-05]
 [7.92105666e-06]
 [3.11510237e-05]
 [6.71614013e-06]
 [2.69471616e-05]]","[[1.94141507e-06]
 [2.86190957e-05]
 [1.24197775e-04]
 [4.84438519e-06]
 [4.18555401e-05]
 [7.92105666e-06]
 [3.11510237e-05]
 [6.71614013e-06]
 [2.69471616e-05]]","[[-0.00418004]
 [ 0.01604905]
 [ 0.03343322]
 [-0.00660299]
 [-0.01940876]
 [-0.00844331]
 [-0.01674393]
 [ 0.00777466]
 [-0.0155732 ]]",1
"[1.09266165e-07 1.62688521e-08 9.57801305e-07 ... 9.25197474e-08
 1.20890920e-06 1.13265635e-05]","[1.09266165e-07 1.62688521e-08 9.57801305e-07 ... 9.25197474e-08
 1.20890920e-06 1.13265635e-05]","[ 0.00099166 -0.00038265  0.00293602 ...  0.00091251 -0.00329851
 -0.01009649]",1
"[[1.38775185e-06]
 [2.00697625e-05]
 [8.68796867e-05]
 [3.44548035e-06]
 [2.92623582e-05]
 [5.62191759e-06]
 [2.17774408e-05]
 [4.69636037e-06]
 [1.88376178e-05]]","[[1.38775185e-06]
 [2.00697625e-05]
 [8.68796867e-05]
 [3.44548035e-06]
 [2.92623582e-05]
 [5.62191759e-06]
 [2.17774408e-05]
 [4.69636037e-06]
 [1.88376178e-05]]","[[-0.00353409]
 [ 0.01343979]
 [ 0.02796278]
 [-0.0055686 ]
 [-0.01622841]
 [-0.00711317]
 [-0.01399989]
 [ 0.00650133]
 [-0.0130207 ]]",1
"[[2.06887785e-06]
 [3.02953204e-05]
 [1.31164599e-04]
 [5.18634400e-06]
 [4.42257470e-05]
 [8.47053627e-06]
 [3.29920561e-05]
 [7.07543668e-06]
 [2.83936692e-05]]","[[2.06887785e-06]
 [3.02953204e-05]
 [1.31164599e-04]
 [5.18634400e-06]
 [4.42257470e-05]
 [8.47053627e-06]
 [3.29920561e-05]
 [7.07543668e-06]
 [2.83936692e-05]]","[[-0.00431508]
 [ 0.01651236]
 [ 0.03435813]
 [-0.00683206]
 [-0.01995073]
 [-0.00873126]
 [-0.01723161]
 [ 0.00797991]
 [-0.01598571]]",1
"[[2.83008596e-06]
 [4.18475371e-05]
 [1.81194223e-04]
 [7.15465805e-06]
 [6.11432559e-05]
 [1.16928705e-05]
 [4.57116291e-05]
 [9.75323144e-06]
 [3.91582039e-05]]","[[2.83008596e-06]
 [4.18475371e-05]
 [1.81194223e-04]
 [7.15465805e-06]
 [6.11432559e-05]
 [1.16928705e-05]
 [4.57116291e-05]
 [9.75323144e-06]
 [3.91582039e-05]]","[[-0.00504686]
 [ 0.0194069 ]
 [ 0.04038252]
 [-0.00802446]
 [-0.02345825]
 [-0.01025845]
 [-0.02028311]
 [ 0.00936905]
 [-0.01877295]]",1
"[[1.99491753e-06]
 [2.89001460e-05]
 [1.24800328e-04]
 [5.01407135e-06]
 [4.20864133e-05]
 [8.17725191e-06]
 [3.14592392e-05]
 [6.71692373e-06]
 [2.69538469e-05]]","[[1.99491753e-06]
 [2.89001460e-05]
 [1.24800328e-04]
 [5.01407135e-06]
 [4.20864133e-05]
 [8.17725191e-06]
 [3.14592392e-05]
 [6.71692373e-06]
 [2.69538469e-05]]","[[-0.00423725]
 [ 0.01612766]
 [ 0.03351422]
 [-0.00671764]
 [-0.01946221]
 [-0.00857877]
 [-0.01682656]
 [ 0.00777511]
 [-0.01557513]]",1
