epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
0,0.6873,0.7279,"[ 2.61929013e+00  4.52691357e+00 -2.75370458e-04  1.89865035e+00
  9.21107757e-01  5.79221817e-01  1.16932236e+00]",11.642
1,0.6779,0.8282,"[ 2.61629654e+00  4.52991177e+00 -3.27480122e-03  1.89565419e+00
  9.18109038e-01  5.76225887e-01  1.16632381e+00]",11.6051
2,0.6738,0.927,"[ 2.61329948  4.53291094 -0.00627454  1.89265597  0.91510963  0.57322776
  1.16332447]",11.5687
3,0.6773,0.8922,"[ 2.6103022   4.53591016 -0.0092743   1.88965763  0.91211018  0.57022954
  1.16032509]",11.5329
4,0.6752,0.9339,"[ 2.60730488  4.53890939 -0.01227405  1.88665928  0.90911072  0.56723132
  1.15732571]",11.4977
5,0.6774,0.8998,"[ 2.60430747  4.54190864 -0.01527382  1.88366088  0.90611124  0.56423308
  1.1543263 ]",11.4631
6,0.6786,0.879,"[ 2.60131012  4.54490786 -0.01827358  1.88066253  0.90311178  0.56123493
  1.15132691]",11.429
7,0.6788,0.8974,"[ 2.59831265  4.54790712 -0.02127335  1.8776641   0.9001123   0.55823673
  1.14832749]",11.3956
8,0.6792,0.8704,"[ 2.59531537  4.55090631 -0.02427309  1.87466582  0.89711285  0.55523872
  1.14532812]",11.3627
9,0.677,0.912,"[ 2.59231827  4.55390544 -0.02727282  1.87166766  0.89411344  0.55224089
  1.14232879]",11.3304
10,0.6746,0.9033,"[ 2.58932099  4.55690461 -0.03027257  1.86866939  0.891114    0.54924297
  1.13932941]",11.2987
11,0.6793,0.8803,"[ 2.58632367  4.5599038  -0.03327232  1.86567111  0.88811455  0.54624507
  1.13633003]",11.2675
12,0.6805,0.8589,"[ 2.58332648  4.56290293 -0.03627205  1.86267292  0.88511512  0.54324732
  1.13333068]",11.2369
13,0.6777,0.8897,"[ 2.5803293   4.56590206 -0.03927178  1.85967475  0.8821157   0.54024964
  1.13033134]",11.2068
14,0.6781,0.9074,"[ 2.57733176  4.56890129 -0.04227155  1.85667635  0.87911621  0.5372517
  1.12733191]",11.1772
15,0.6792,0.8764,"[ 2.57433445  4.57190045 -0.04527129  1.85367812  0.87611676  0.53425401
  1.12433253]",11.1482
16,0.6793,0.8941,"[ 2.57133708  4.57489961 -0.04827104  1.85067986  0.8731173   0.53125633
  1.12133314]",11.1198
17,0.6797,0.8727,"[ 2.56834009  4.57789865 -0.05127075  1.84768186  0.87011792  0.52825907
  1.11833384]",11.092
18,0.6805,0.8581,"[ 2.56534312  4.58089768 -0.05427046  1.84468389  0.86711854  0.52526189
  1.11533454]",11.0648
19,0.6813,0.8781,"[ 2.56234589  4.58389678 -0.05727019  1.84168576  0.86411911  0.52226453
  1.11233518]",11.0383
20,0.6819,0.8528,"[ 2.55934883  4.58689582 -0.0602699   1.83868775  0.86111972  0.51926741
  1.10933586]",11.0123
21,0.6793,0.8773,"[ 2.55635167  4.58989489 -0.06326963  1.83568969  0.8581203   0.51627026
  1.10633652]",10.9869
22,0.6826,0.8491,"[ 2.55335465  4.59289391 -0.06626933  1.83269174  0.85512092  0.51327334
  1.1033372 ]",10.9622
23,0.6829,0.8534,"[ 2.55035762  4.59589293 -0.06926904  1.82969379  0.85212153  0.51027649
  1.10033789]",10.9381
24,0.6816,0.8743,"[ 2.54736072  4.59889189 -0.07226874  1.82669595  0.84912217  0.50727988
  1.0973386 ]",10.9146
25,0.6831,0.8498,"[ 2.54436399  4.60189079 -0.07526842  1.82369825  0.84612284  0.50428357
  1.09433935]",10.8918
26,0.6822,0.8665,"[ 2.54136684  4.60488983 -0.07826814  1.82070025  0.84312342  0.50128685
  1.09134001]",10.8696
27,0.685,0.8383,"[ 2.53836991  4.60788879 -0.08126783  1.81770244  0.84012405  0.49829052
  1.08834071]",10.8481
28,0.6838,0.852,"[ 2.53537305  4.61088772 -0.08426752  1.81470468  0.8371247   0.49529438
  1.08534143]",10.8271
29,0.6853,0.8253,"[ 2.53237639  4.61388657 -0.08726719  1.81170709  0.83412538  0.49229864
  1.08234219]",10.8069
30,0.684,0.8467,"[ 2.5293796   4.61688547 -0.09026687  1.80870942  0.83112604  0.48930284
  1.07934292]",10.7872
31,0.6861,0.8319,"[ 2.52638274  4.61988438 -0.09326656  1.80571172  0.82812668  0.4863071
  1.07634363]",10.7682
32,0.6862,0.8056,"[ 2.52338624  4.62288316 -0.09626622  1.80271429  0.82512739  0.48331203
  1.07334442]",10.7499
