v,v_eff,m,t
"[[3.06839838e-06]
 [3.18539381e-05]
 [2.67435084e-04]
 [9.77830635e-06]
 [8.81060455e-05]
 [3.79713139e-06]
 [7.34018125e-05]]","[[3.06839838e-06]
 [3.18539381e-05]
 [2.67435084e-04]
 [9.77830635e-06]
 [8.81060455e-05]
 [3.79713139e-06]
 [7.34018125e-05]]","[[-0.00525505]
 [ 0.01693179]
 [-0.04906033]
 [-0.00938109]
 [-0.02815945]
 [-0.00584587]
 [-0.02570246]]",1
"[[2.93254534e-06]
 [3.09760974e-05]
 [2.66712446e-04]
 [9.33207030e-06]
 [8.38427936e-05]
 [3.85845914e-06]
 [6.96509643e-05]]","[[2.93254534e-06]
 [3.09760974e-05]
 [2.66712446e-04]
 [9.33207030e-06]
 [8.38427936e-05]
 [3.85845914e-06]
 [6.96509643e-05]]","[[-0.0051374 ]
 [ 0.01669685]
 [-0.048994  ]
 [-0.00916453]
 [-0.02746971]
 [-0.00589289]
 [-0.02503715]]",1
"[[2.78964335e-06]
 [2.99885069e-05]
 [2.64306290e-04]
 [8.86346697e-06]
 [7.94108109e-05]
 [3.89923196e-06]
 [6.57807519e-05]]","[[2.78964335e-06]
 [2.99885069e-05]
 [2.64306290e-04]
 [8.86346697e-06]
 [7.94108109e-05]
 [3.89923196e-06]
 [6.57807519e-05]]","[[-0.00501067]
 [ 0.01642853]
 [-0.0487725 ]
 [-0.00893147]
 [-0.02673382]
 [-0.00592394]
 [-0.0243316 ]]",1
"[1.28220831e-06 6.30176669e-06 1.53209658e-04 ... 1.66341358e-01
 1.71204572e-04 3.42098552e-04]","[1.28220831e-06 6.30176669e-06 1.53209658e-04 ... 1.66341358e-01
 1.71204572e-04 3.42098552e-04]","[-0.00339704  0.007531    0.03713337 ...  1.22354903 -0.03925355
  0.05548772]",1
"[[2.63872084e-06]
 [2.88748420e-05]
 [2.59974188e-04]
 [8.36962283e-06]
 [7.47846438e-05]
 [3.91518299e-06]
 [6.17712113e-05]]","[[2.63872084e-06]
 [2.88748420e-05]
 [2.59974188e-04]
 [8.36962283e-06]
 [7.47846438e-05]
 [3.91518299e-06]
 [6.17712113e-05]]","[[-0.00487324]
 [ 0.01612059]
 [-0.04837115]
 [-0.00867909]
 [-0.02594343]
 [-0.00593605]
 [-0.0235784 ]]",1
"[[2.47883080e-06]
 [2.76177895e-05]
 [2.53474166e-04]
 [7.84781624e-06]
 [6.99403347e-05]
 [3.90142157e-06]
 [5.76039331e-05]]","[[2.47883080e-06]
 [2.76177895e-05]
 [2.53474166e-04]
 [7.84781624e-06]
 [6.99403347e-05]
 [3.90142157e-06]
 [5.76039331e-05]]","[[-0.00472329]
 [ 0.01576579]
 [-0.04776262]
 [-0.00840419]
 [-0.0250891 ]
 [-0.0059256 ]
 [-0.02276918]]",1
"[[2.30914180e-06]
 [2.61999696e-05]
 [2.44579161e-04]
 [7.29577939e-06]
 [6.48580702e-05]
 [3.85249938e-06]
 [5.32642426e-05]]","[[2.30914180e-06]
 [2.61999696e-05]
 [2.44579161e-04]
 [7.29577939e-06]
 [6.48580702e-05]
 [3.85249938e-06]
 [5.32642426e-05]]","[[-0.00455876]
 [ 0.01535577]
 [-0.04691708]
 [-0.00810321]
 [-0.02416035]
 [-0.00588834]
 [-0.02189471]]",1
"[1.54583403e-05 5.84758342e-06 9.02505610e-05 ... 1.30002031e-01
 1.79782845e-04 4.15650751e-04]","[1.54583403e-05 5.84758342e-06 9.02505610e-05 ... 1.30002031e-01
 1.79782845e-04 4.15650751e-04]","[-0.01179513  0.00725453  0.02850009 ...  1.08167383 -0.04022494
  0.06116254]",1
"[[2.12904698e-06]
 [2.46052592e-05]
 [2.33096704e-04]
 [6.71204575e-06]
 [5.95251996e-05]
 [3.76258968e-06]
 [4.87436135e-05]]","[[2.12904698e-06]
 [2.46052592e-05]
 [2.33096704e-04]
 [6.71204575e-06]
 [5.95251996e-05]
 [3.76258968e-06]
 [4.87436135e-05]]","[[-0.00437738]
 [ 0.01488111]
 [-0.04580251]
 [-0.00777228]
 [-0.02314577]
 [-0.00581922]
 [-0.02094499]]",1
"[[1.93827347e-06]
 [2.28203676e-05]
 [2.18891398e-04]
 [6.09627815e-06]
 [5.39390670e-05]
 [3.62578878e-06]
 [4.40418415e-05]]","[[1.93827347e-06]
 [2.28203676e-05]
 [2.18891398e-04]
 [6.09627815e-06]
 [5.39390670e-05]
 [3.62578878e-06]
 [4.40418415e-05]]","[[-0.00417666]
 [ 0.0143312 ]
 [-0.04438494]
 [-0.00740719]
 [-0.02203297]
 [-0.00571245]
 [-0.01990921]]",1
