epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
0,0.9928,0.2901,"[2.62322473e+00 4.52293282e+00 3.71845349e-03 1.90261057e+00
 9.25094119e-01 5.83178974e-01 1.17330705e+00]",11.6856
1,0.9209,0.3284,"[2.62622279 4.5199334  0.00671826 1.90560947 0.92809375 0.58617744
 1.17630665]",11.724
2,0.8598,0.3756,"[2.62922062 4.51693404 0.00971806 1.90860824 0.93109334 0.58917586
 1.17930619]",11.7629
3,0.8011,0.4338,"[2.63221806 4.51393476 0.01271783 1.9116068  0.93409285 0.59217413
 1.18230565]",11.8024
4,0.7566,0.5051,"[2.63521475 4.51093568 0.01571753 1.91460492 0.93709222 0.59517203
 1.18530494]",11.8424
5,0.7186,0.5911,"[2.63820937 4.50793714 0.01871707 1.91760186 0.94009118 0.59816884
 1.18830378]",11.883
6,0.6933,0.6925,"[2.64095387 4.50501846 0.02168967 1.92043993 0.94302995 0.60101109
 1.19123561]",11.9231
7,0.6791,0.807,"[2.63796482 4.5080156  0.01869059 1.9174462  0.94003209 0.59801705
 1.188238  ]",11.882
8,0.6767,0.9227,"[2.63496823 4.51101471 0.01569087 1.91444816 0.93703275 0.5950189
 1.18523875]",11.8414
9,0.6745,0.9125,"[2.63197117 4.51401393 0.01269112 1.91144988 0.93403333 0.59202052
 1.18223941]",11.8014
10,0.6713,0.949,"[2.62897372 4.51701325 0.00969134 1.90845138 0.93103384 0.58902197
 1.17923998]",11.7619
11,0.676,0.9244,"[2.62597656 4.52001248 0.00669158 1.90545305 0.9280344  0.58602361
 1.17624061]",11.723
12,0.6774,0.8829,"[2.62297931e+00 4.52301173e+00 3.69181898e-03 1.90245468e+00
 9.25034951e-01 5.83025239e-01 1.17324123e+00]",11.6846
13,0.6742,0.9214,"[2.61998210e+00 4.52601096e+00 6.92062903e-04 1.89945635e+00
 9.22035509e-01 5.80026931e-01 1.17024186e+00]",11.6469
14,0.6751,0.9389,"[ 2.61698452e+00  4.52901029e+00 -2.30772501e-03  1.89645781e+00
  9.19035994e-01  5.77028421e-01  1.16724241e+00]",11.6097
15,0.6761,0.9006,"[ 2.6139872   4.53200953 -0.00530749  1.89345943  0.91603653  0.57403012
  1.16424302]",11.5731
16,0.6759,0.9278,"[ 2.61098977  4.5350088  -0.00830726  1.890461    0.91303705  0.57103178
  1.16124361]",11.537
17,0.6764,0.9001,"[ 2.60799276  4.53800794 -0.01130699  1.88746282  0.91003765  0.56803377
  1.15824429]",11.5016
18,0.6774,0.881,"[ 2.60499573  4.54100708 -0.01430672  1.88446466  0.90703826  0.56503579
  1.15524497]",11.4667
19,0.6784,0.9111,"[ 2.60199841  4.5440063  -0.01730648  1.88146632  0.9040388   0.56203764
  1.15224558]",11.4324
20,0.6794,0.8781,"[ 2.59900122  4.54700547 -0.02030622  1.87846807  0.90103937  0.55903963
  1.14924623]",11.3987
21,0.6763,0.9108,"[ 2.59600389  4.55000468 -0.02330597  1.87546975  0.89803992  0.55604157
  1.14624685]",11.3656
22,0.6796,0.8746,"[ 2.59300672  4.55300383 -0.02630571  1.87247154  0.89504049  0.55304368
  1.1432475 ]",11.3331
23,0.6799,0.8974,"[ 2.59000946  4.556003   -0.02930545  1.86947328  0.89204105  0.55004576
  1.14024813]",11.3011
24,0.6782,0.8766,"[ 2.58701237  4.55900212 -0.03230518  1.86647514  0.88904165  0.54704802
  1.1372488 ]",11.2697
25,0.6797,0.896,"[ 2.58401509  4.56200128 -0.03530492  1.86347689  0.8860422   0.54405019
  1.13424943]",11.2389
26,0.6789,0.882,"[ 2.58101808  4.56500036 -0.03830464  1.86047883  0.88304282  0.54105264
  1.13125012]",11.2086
27,0.6825,0.8564,"[ 2.57802107  4.56799942 -0.04130435  1.85748078  0.88004343  0.53805514
  1.12825082]",11.1788
28,0.681,0.8839,"[ 2.57502393  4.57099853 -0.04430408  1.85448265  0.87704402  0.53505759
  1.12525148]",11.1496
29,0.6827,0.8491,"[ 2.57202699  4.57399756 -0.04730379  1.85148467  0.87404465  0.53206029
  1.12225219]",11.1209
30,0.6818,0.8766,"[ 2.56902989  4.57699663 -0.05030351  1.8484866   0.87104525  0.5290629
  1.11925286]",11.0929
31,0.6829,0.8501,"[ 2.56603291  4.57999567 -0.05330322  1.84548861  0.86804587  0.52606569
  1.11625356]",11.0654
32,0.6834,0.8343,"[ 2.56303606  4.58299465 -0.05630291  1.84249074  0.86504652  0.52306869
  1.11325429]",11.0386
33,0.6828,0.8648,"[ 2.56003914  4.58599365 -0.05930261  1.83949282  0.86204715  0.52007169
  1.110255  ]",11.0124
34,0.6802,0.8913,"[ 2.55704209  4.58899268 -0.06230232  1.83649483  0.85904776  0.51707463
  1.10725568]",10.9868
35,0.6831,0.8652,"[ 2.55404514  4.59199168 -0.06530202  1.83349692  0.85604838  0.51407776
  1.10425639]",10.9619
36,0.6833,0.8349,"[ 2.5510484   4.5949906  -0.0683017   1.83049917  0.85304905  0.51108121
  1.10125714]",10.9375
37,0.6834,0.8596,"[ 2.54805184  4.59798945 -0.07130137  1.82750156  0.85004976  0.50808495
  1.09825793]",10.9138
38,0.6846,0.8258,"[ 2.54505519  4.60098833 -0.07430104  1.8245039   0.84705045  0.5050887
  1.0952587 ]",10.8907
39,0.6849,0.8453,"[ 2.54205809  4.60398735 -0.07730075  1.82150594  0.84405105  0.50209202
  1.09225936]",10.8683
40,0.6819,0.8707,"[ 2.53906136  4.60698624 -0.08030043  1.81850826  0.84105172  0.4990959
  1.08926011]",10.8465
41,0.6854,0.8339,"[ 2.5360645   4.60998517 -0.08330012  1.8155105   0.83805236  0.49609972
  1.08626083]",10.8254
42,0.6857,0.811,"[ 2.53306827  4.61298388 -0.08629974  1.81251321  0.83505313  0.4931045
  1.08326169]",10.8048
43,0.6863,0.8005,"[ 2.53007205  4.61598258 -0.08929937  1.80951595  0.83205391  0.49010946
  1.08026255]",10.785
44,0.6866,0.8272,"[ 2.52707569  4.61898132 -0.09229901  1.8065186   0.82905465  0.48711437
  1.07726337]",10.7658
45,0.6849,0.8158,"[ 2.5240795   4.62197999 -0.09529863  1.8035214   0.82605543  0.4841197
  1.07426423]",10.7472
46,0.6891,0.8342,"[ 2.52108249  4.62497894 -0.09829833  1.80052361  0.82305604  0.481124
  1.07126491]",10.7293
47,0.6858,0.8314,"[ 2.51808609  4.62797768 -0.10129798  1.79752629  0.82005677  0.47812938
  1.06826572]",10.712
48,0.6867,0.8009,"[ 2.51508956  4.63097646 -0.10429764  1.7945289   0.81705747  0.47513479
  1.06526649]",10.6953
49,0.6871,0.8057,"[ 2.51209321  4.63397516 -0.10729727  1.79153166  0.81405821  0.47214071
  1.06226731]",10.6793
50,0.6875,0.8034,"[ 2.50909713  4.63697377 -0.11029689  1.78853465  0.81105901  0.46914734
  1.05926818]",10.664
51,0.6877,0.7868,"[ 2.50610181  4.6399721  -0.11329643  1.78553824  0.80805995  0.46615563
  1.05626921]",10.6493
52,0.6892,0.8081,"[ 2.50310541  4.64297081 -0.11629607  1.78254103  0.80506067  0.46316225
  1.05327001]",10.6352
53,0.6864,0.8231,"[ 2.50010954  4.64596932 -0.11929566  1.77954426  0.8020615   0.46017022
  1.05027091]",10.6218
54,0.6881,0.7906,"[ 2.49711376  4.64896779 -0.12229525  1.77654758  0.79906235  0.4571788
  1.04727184]",10.609
55,0.6857,0.8157,"[ 2.49411785  4.65196631 -0.12529485  1.77355082  0.79606316  0.45418753
  1.04427272]",10.5969
56,0.6871,0.8153,"[ 2.49112202  4.65496479 -0.12829444  1.77055416  0.79306399  0.45119691
  1.04127363]",10.5854
57,0.6871,0.7917,"[ 2.48812644  4.65796318 -0.13129401  1.76755773  0.79006487  0.44820752
  1.03827458]",10.5745
58,0.6877,0.8033,"[ 2.48513095  4.66096152 -0.13429357  1.76456141  0.78706576  0.44521903
  1.03527555]",10.5643
