epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
0,0.7143,1.3767,"[ 2.63022519  4.5159326  -0.00928121  1.90961076  0.93209419  0.59017986
  1.18030711  2.16122276  2.50296323]",13.782
1,0.684,0.8139,"[ 2.64021946  4.50593412 -0.01928047  1.91960718  0.94209292  0.60017705
  1.19030566  2.15122595  2.51296164]",13.6452
2,0.6781,0.8468,"[ 2.65021153  4.49593629 -0.02927942  1.92960224  0.95209111  0.61017317
  1.20030358  2.14123052  2.52295935]",13.5186
3,0.6835,0.8465,"[ 2.66020387  4.4859384  -0.0392784   1.93959752  0.96208933  0.62016946
  1.21030155  2.13123503  2.53295709]",13.4027
4,0.6782,0.9205,"[ 2.67019449  4.47594103 -0.04927712  1.94959179  0.97208711  0.63016496
  1.22029903  2.12124068  2.54295424]",13.298
5,0.6878,0.7876,"[ 2.68018527  4.46594363 -0.05927586  1.95958623  0.9820849   0.64016059
  1.23029654  2.11124632  2.55295138]",13.2048
6,0.6886,0.7653,"[ 2.69017434  4.45594673 -0.06927436  1.96957972  0.99208224  0.65015549
  1.24029357  2.10125311  2.56294792]",13.1235
7,0.6851,0.8213,"[ 2.70016373  4.44594973 -0.07927291  1.97957349  1.00207966  0.66015062
  1.25029069  2.09125972  2.57294452]",13.0542
8,0.6907,0.7409,"[ 2.7101509   4.43595336 -0.08927117  1.98956606  1.01207651  0.67014485
  1.26028721  2.08126778  2.58294034]",12.9973
9,0.6924,0.7579,"[ 2.7201359   4.42595759 -0.09926917  1.9995575   1.02207281  0.68013823
  1.27028316  2.0712772   2.59293539]",12.9528
10,0.6923,0.7147,"[ 2.73011275  4.4159641  -0.10926611  2.00954446  1.03206709  0.69012823
  1.28027692  2.06129176  2.60292763]",12.9208
11,0.693,0.6977,"[ 2.74007507  4.40597465 -0.11926123  2.01952356  1.04205772  0.70011233
  1.2902668   2.05131538  2.61291478]",12.9012
12,0.6908,0.7309,"[ 2.74983552  4.39604595 -0.12922825  2.02938692  1.05199369  0.71000794
  1.30019831  2.04146982  2.6228268 ]",12.8938
