v,v_eff,m,t
"[[1.32706603e-06]
 [3.02234121e-06]
 [6.12130296e-05]
 [2.85269364e-06]
 [1.20494474e-05]
 [4.96723488e-07]
 [9.94497759e-06]
 [1.78108074e-09]
 [1.15788017e-05]
 [1.62351426e-08]
 [6.43513847e-08]]","[[1.32706603e-06]
 [3.02234121e-06]
 [6.12130296e-05]
 [2.85269364e-06]
 [1.20494474e-05]
 [4.96723488e-07]
 [9.94497759e-06]
 [1.78108074e-09]
 [1.15788017e-05]
 [1.62351426e-08]
 [6.43513847e-08]]","[[-0.00345595]
 [ 0.00521546]
 [-0.02347163]
 [-0.00506698]
 [-0.01041369]
 [-0.00211436]
 [-0.0094607 ]
 [ 0.00012661]
 [-0.01020829]
 [-0.00038225]
 [ 0.00076103]]",1
"[[1.00121192e-06]
 [2.19059544e-06]
 [4.43575897e-05]
 [2.12485267e-06]
 [8.67614775e-06]
 [3.81944729e-07]
 [7.12989900e-06]
 [1.03417471e-09]
 [8.37563509e-06]
 [7.36474388e-09]
 [3.56741532e-08]]","[[1.00121192e-06]
 [2.19059544e-06]
 [4.43575897e-05]
 [2.12485267e-06]
 [8.67614775e-06]
 [3.81944729e-07]
 [7.12989900e-06]
 [1.03417471e-09]
 [8.37563509e-06]
 [7.36474388e-09]
 [3.56741532e-08]]","[[-3.00181733e-03]
 [ 4.44019808e-03]
 [-1.99804481e-02]
 [-4.37306231e-03]
 [-8.83659039e-03]
 [-1.85405031e-03]
 [-8.01056121e-03]
 [ 9.64757607e-05]
 [-8.68220685e-03]
 [-2.57454258e-04]
 [ 5.66628078e-04]]",1
"[[6.86587527e-07]
 [1.44586589e-06]
 [2.92617051e-05]
 [1.43970023e-06]
 [5.68934626e-06]
 [2.66626548e-07]
 [4.65539839e-06]
 [5.39705948e-10]
 [5.51698786e-06]
 [2.67938685e-09]
 [1.73973177e-08]]","[[6.86587527e-07]
 [1.44586589e-06]
 [2.92617051e-05]
 [1.43970023e-06]
 [5.68934626e-06]
 [2.66626548e-07]
 [4.65539839e-06]
 [5.39705948e-10]
 [5.51698786e-06]
 [2.67938685e-09]
 [1.73973177e-08]]","[[-2.48581732e-03]
 [ 3.60732491e-03]
 [-1.62282268e-02]
 [-3.59962526e-03]
 [-7.15570516e-03]
 [-1.54907680e-03]
 [-6.47291167e-03]
 [ 6.96947167e-05]
 [-7.04648073e-03]
 [-1.55288382e-04]
 [ 3.95696675e-04]]",1
"[2.50403979e-04 1.85640813e-06 2.25064144e-05 ... 5.44121404e-03
 6.60678057e-03 2.39494515e-04]","[2.50403979e-04 1.85640813e-06 2.25064144e-05 ... 5.44121404e-03
 6.60678057e-03 2.39494515e-04]","[ 0.04747247  0.0040875  -0.01423228 ...  0.22129376  0.24384631
 -0.04642683]",1
"[[4.04168318e-07]
 [8.20759652e-07]
 [1.65980176e-05]
 [8.38010273e-07]
 [3.20901526e-06]
 [1.59584381e-07]
 [2.61475819e-06]
 [2.38417405e-10]
 [3.12540349e-06]
 [6.69196329e-10]
 [6.98198287e-09]]","[[4.04168318e-07]
 [8.20759652e-07]
 [1.65980176e-05]
 [8.38010273e-07]
 [3.20901526e-06]
 [1.59584381e-07]
 [2.61475819e-06]
 [2.38417405e-10]
 [3.12540349e-06]
 [6.69196329e-10]
 [6.98198287e-09]]","[[-1.90722701e-03]
 [ 2.71787359e-03]
 [-1.22221994e-02]
 [-2.74628703e-03]
 [-5.37411735e-03]
 [-1.19844041e-03]
 [-4.85106418e-03]
 [ 4.63223127e-05]
 [-5.30364322e-03]
 [-7.76064879e-05]
 [ 2.50674781e-04]]",1
"[[1.76897878e-07]
 [3.47030598e-07]
 [7.01147448e-06]
 [3.62937924e-07]
 [1.34834414e-06]
 [7.09416352e-08]
 [1.09409142e-06]
 [7.69151639e-11]
 [1.31879509e-06]
 [7.28808239e-11]
 [1.96465339e-09]]","[[1.76897878e-07]
 [3.47030598e-07]
 [7.01147448e-06]
 [3.62937924e-07]
 [1.34834414e-06]
 [7.09416352e-08]
 [1.09409142e-06]
 [7.69151639e-11]
 [1.31879509e-06]
 [7.28808239e-11]
 [1.96465339e-09]]","[[-1.26177688e-03]
 [ 1.76727909e-03]
 [-7.94375669e-03]
 [-1.80732989e-03]
 [-3.48354665e-03]
 [-7.99046129e-04]
 [-3.13796475e-03]
 [ 2.63103872e-05]
 [-3.44516412e-03]
 [-2.56110799e-05]
 [ 1.32973232e-04]]",1
"[[3.34628016e-08]
 [6.35280008e-08]
 [1.28219146e-06]
 [6.79833251e-08]
 [2.45327403e-07]
 [1.36156679e-08]
 [1.98255900e-07]
 [1.04811133e-11]
 [2.40938894e-07]
 [5.14869599e-14]
 [2.19714698e-10]]","[[3.34628016e-08]
 [6.35280008e-08]
 [1.28219146e-06]
 [6.79833251e-08]
 [2.45327403e-07]
 [1.36156679e-08]
 [1.98255900e-07]
 [1.04811133e-11]
 [2.40938894e-07]
 [5.14869599e-14]
 [2.19714698e-10]]","[[-5.48785217e-04]
 [ 7.56142848e-04]
 [-3.39701680e-03]
 [-7.82208365e-04]
 [-1.48591609e-03]
 [-3.50058582e-04]
 [-1.33577809e-03]
 [ 9.71236425e-06]
 [-1.47256580e-03]
 [-6.80722145e-07]
 [ 4.44683290e-05]]",1
"[1.31889311e-04 1.33317483e-06 1.26335568e-05 ... 2.84106495e-03
 4.16131675e-03 1.23354331e-04]","[1.31889311e-04 1.33317483e-06 1.26335568e-05 ... 2.84106495e-03
 4.16131675e-03 1.23354331e-04]","[ 0.03445292  0.0034639  -0.01066311 ...  0.15990492  0.19352481
 -0.0333195 ]",1
"[[5.88220227e-09]
 [1.08246471e-08]
 [2.18095911e-07]
 [1.18415261e-08]
 [4.15578567e-08]
 [2.42561430e-09]
 [3.34504711e-08]
 [1.27922570e-12]
 [4.09774489e-08]
 [1.60880151e-12]
 [2.01669552e-11]]","[[5.88220227e-09]
 [1.08246471e-08]
 [2.18095911e-07]
 [1.18415261e-08]
 [4.15578567e-08]
 [2.42561430e-09]
 [3.34504711e-08]
 [1.27922570e-12]
 [4.09774489e-08]
 [1.60880151e-12]
 [2.01669552e-11]]","[[ 2.30086550e-04]
 [-3.12124693e-04]
 [ 1.40102220e-03]
 [ 3.26456329e-04]
 [ 6.11572326e-04]
 [ 1.47751578e-04]
 [ 5.48684098e-04]
 [-3.39308581e-06]
 [ 6.07286621e-04]
 [-3.80515619e-06]
 [-1.34722900e-05]]",1
"[[1.24679896e-07]
 [2.28476492e-07]
 [4.59652468e-06]
 [2.49547287e-07]
 [8.73734108e-07]
 [5.15677917e-08]
 [7.02930727e-07]
 [3.72140426e-11]
 [8.62905375e-07]
 [5.49587120e-11]
 [3.98897709e-10]]","[[1.24679896e-07]
 [2.28476492e-07]
 [4.59652468e-06]
 [2.49547287e-07]
 [8.73734108e-07]
 [5.15677917e-08]
 [7.02930727e-07]
 [3.72140426e-11]
 [8.62905375e-07]
 [5.49587120e-11]
 [3.98897709e-10]]","[[ 1.05930121e-03]
 [-1.43397644e-03]
 [ 6.43185215e-03]
 [ 1.49864124e-03]
 [ 2.80421236e-03]
 [ 6.81256285e-04]
 [ 2.51522893e-03]
 [-1.83009941e-05]
 [ 2.78678101e-03]
 [-2.22402430e-05]
 [-5.99172711e-05]]",1
