epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
34,0.6894,0.7717,"[ 2.52144814  4.62480748 -0.09825261  1.80076435  0.82315888  0.48404047
  1.07137784  2.26891345  2.39402901  3.30133495  2.73215216]",10.3517
35,0.69,0.7656,"[ 2.51845865  4.62780492 -0.10125206  1.79777076  0.82016013  0.48682681
  1.06837915  2.27190514  2.39103031  3.29834058  2.73514891]",10.3436
36,0.6901,0.7758,"[ 2.51546879  4.63080251 -0.10425154  1.79477697  0.8171613   0.48969575
  1.06538038  2.27489754  2.38803153  3.29534577  2.73814589]",10.3367
37,0.6914,0.7526,"[ 2.51248038  4.63379985 -0.10725096  1.79178409  0.8141626   0.49259767
  1.06238173  2.27788942  2.38503288  3.29235134  2.7411426 ]",10.331
38,0.6899,0.7706,"[ 2.50949263  4.63679712 -0.11025037  1.78879162  0.81116393  0.49551911
  1.05938312  2.28088131  2.38203427  3.28935693  2.74413926]",10.3263
39,0.6892,0.7611,"[ 2.50650767  4.63979391 -0.11324967  1.78580087  0.8081655   0.49844607
  1.05638477  2.28387204  2.37903591  3.28636334  2.74713539]",10.3228
40,0.6914,0.7511,"[ 2.5035223   4.64279087 -0.11624901  1.78280991  0.80516699  0.50138567
  1.05338632  2.28686349  2.37603747  3.2833693   2.75013175]",10.3203
41,0.6914,0.7408,"[ 2.50053834  4.64578765 -0.11924831  1.77981987  0.80216856  0.50433054
  1.05038797  2.2898547   2.37303911  3.28037546  2.75312796]",10.319
42,0.6913,0.7506,"[ 2.49755333  4.64878472 -0.12224767  1.77682923  0.79917     0.50728476
  1.04738947  2.29284688  2.37004062  3.27738098  2.75612453]",10.3187
43,0.691,0.7602,"[ 2.49457217  4.6517812  -0.1252469   1.773841    0.79617173  0.51023654
  1.04439128  2.29583772  2.36704244  3.27438747  2.75912046]",10.3196
44,0.6913,0.7445,"[ 2.49159097  4.65477781 -0.12824617  1.77085283  0.7931734   0.51319402
  1.04139303  2.2988291   2.36404419  3.2713936   2.76211657]",10.3215
45,0.6909,0.7408,"[ 2.48861978  4.65777291 -0.1312451   1.76787089  0.79017581  0.51614007
  1.03839555  2.30181704  2.36104673  3.26840223  2.76511104]",10.3246
46,0.6915,0.7487,"[ 2.48564146  4.6607693  -0.13424431  1.76488466  0.78717759  0.51910193
  1.03539741  2.30480831  2.35804861  3.26540852  2.76810698]",10.3287
