v,v_eff,m,t
"[[1.68673411e-07]
 [2.34453166e-06]
 [1.01700270e-05]
 [4.03514475e-07]
 [3.40846942e-06]
 [6.56447169e-07]
 [2.51079301e-06]
 [5.54008172e-07]
 [2.21978687e-06]]","[[1.68673411e-07]
 [2.34453166e-06]
 [1.01700270e-05]
 [4.03514475e-07]
 [3.40846942e-06]
 [6.56447169e-07]
 [2.51079301e-06]
 [5.54008172e-07]
 [2.21978687e-06]]","[[-0.0012321 ]
 [ 0.00459356]
 [ 0.00956714]
 [-0.00190568]
 [-0.00553861]
 [-0.00243064]
 [-0.00475364]
 [ 0.00223295]
 [-0.00446968]]",1
"[[7.18946413e-07]
 [1.03388563e-05]
 [4.49072604e-05]
 [1.75320058e-06]
 [1.50916373e-05]
 [2.86169448e-06]
 [1.11625247e-05]
 [2.44090639e-06]
 [9.78462253e-06]]","[[7.18946413e-07]
 [1.03388563e-05]
 [4.49072604e-05]
 [1.75320058e-06]
 [1.50916373e-05]
 [2.86169448e-06]
 [1.11625247e-05]
 [2.44090639e-06]
 [9.78462253e-06]]","[[-0.00254372]
 [ 0.00964623]
 [ 0.02010386]
 [-0.00397225]
 [-0.01165439]
 [-0.00507496]
 [-0.01002311]
 [ 0.00468702]
 [-0.00938411]]",1
"[[1.67120115e-06]
 [2.47159001e-05]
 [1.07488456e-04]
 [4.14401047e-06]
 [3.61958886e-05]
 [6.78163108e-06]
 [2.68684844e-05]
 [5.82771156e-06]
 [2.33751326e-05]]","[[1.67120115e-06]
 [2.47159001e-05]
 [1.07488456e-04]
 [4.14401047e-06]
 [3.61958886e-05]
 [6.78163108e-06]
 [2.68684844e-05]
 [5.82771156e-06]
 [2.33751326e-05]]","[[-0.00387825]
 [ 0.01491453]
 [ 0.03110299]
 [-0.00610705]
 [-0.01804891]
 [-0.00781247]
 [-0.01555045]
 [ 0.0072422 ]
 [-0.01450435]]",1
"[[2.71658516e-06]
 [4.08738369e-05]
 [1.77885707e-04]
 [6.81684337e-06]
 [5.99701476e-05]
 [1.11711304e-05]
 [4.46386314e-05]
 [9.62034996e-06]
 [3.86106499e-05]]","[[2.71658516e-06]
 [4.08738369e-05]
 [1.77885707e-04]
 [6.81684337e-06]
 [5.99701476e-05]
 [1.11711304e-05]
 [4.46386314e-05]
 [9.62034996e-06]
 [3.86106499e-05]]","[[-0.00494462]
 [ 0.01917979]
 [ 0.04001214]
 [-0.00783273]
 [-0.02323212]
 [-0.01002697]
 [-0.02004364]
 [ 0.00930501]
 [-0.01864124]]",1
"[[1.49143131e-06]
 [2.17362448e-05]
 [9.42372965e-05]
 [3.70188713e-06]
 [3.17404103e-05]
 [6.04622211e-06]
 [2.36020057e-05]
 [5.09916651e-06]
 [2.04540120e-05]]","[[1.49143131e-06]
 [2.17362448e-05]
 [9.42372965e-05]
 [3.70188713e-06]
 [3.17404103e-05]
 [6.04622211e-06]
 [2.36020057e-05]
 [5.09916651e-06]
 [2.04540120e-05]]","[[-0.00366373]
 [ 0.01398664]
 [ 0.02912277]
 [-0.00577209]
 [-0.01690159]
 [-0.00737672]
 [-0.01457457]
 [ 0.0067744 ]
 [-0.01356783]]",1
"[[2.75987131e-06]
 [4.11487962e-05]
 [1.78609166e-04]
 [6.95023504e-06]
 [6.02457344e-05]
 [1.13734057e-05]
 [4.49409324e-05]
 [9.63724355e-06]
 [3.86868991e-05]]","[[2.75987131e-06]
 [4.11487962e-05]
 [1.78609166e-04]
 [6.95023504e-06]
 [6.02457344e-05]
 [1.13734057e-05]
 [4.49409324e-05]
 [9.63724355e-06]
 [3.86868991e-05]]","[[-0.00498386]
 [ 0.0192442 ]
 [ 0.04009342]
 [-0.00790899]
 [-0.02328544]
 [-0.01011734]
 [-0.0201114 ]
 [ 0.00931317]
 [-0.01865964]]",1
"[[1.66976793e-06]
 [2.42231223e-05]
 [1.04792294e-04]
 [4.16756011e-06]
 [3.53161661e-05]
 [6.80055586e-06]
 [2.63264148e-05]
 [5.65587829e-06]
 [2.26911275e-05]]","[[1.66976793e-06]
 [2.42231223e-05]
 [1.04792294e-04]
 [4.16756011e-06]
 [3.53161661e-05]
 [6.80055586e-06]
 [2.63264148e-05]
 [5.65587829e-06]
 [2.26911275e-05]]","[[-0.00387659]
 [ 0.0147651 ]
 [ 0.03071043]
 [-0.00612438]
 [-0.01782822]
 [-0.00782336]
 [-0.01539278]
 [ 0.00713463]
 [-0.01429056]]",1
"[[3.01235333e-06]
 [4.46743334e-05]
 [1.93491547e-04]
 [7.62604686e-06]
 [6.53001940e-05]
 [1.24665155e-05]
 [4.88303562e-05]
 [1.04128216e-05]
 [4.18105510e-05]]","[[3.01235333e-06]
 [4.46743334e-05]
 [1.93491547e-04]
 [7.62604686e-06]
 [6.53001940e-05]
 [1.24665155e-05]
 [4.88303562e-05]
 [1.04128216e-05]
 [4.18105510e-05]]","[[-0.00520684]
 [ 0.02005166]
 [ 0.04173037]
 [-0.00828459]
 [-0.02424256]
 [-0.01059239]
 [-0.02096362]
 [ 0.00968067]
 [-0.01939832]]",1
"[[1.63312213e-06]
 [2.34563270e-05]
 [1.01222564e-04]
 [4.08818131e-06]
 [3.41180813e-05]
 [6.66189886e-06]
 [2.54858168e-05]
 [5.45058734e-06]
 [2.18663497e-05]]","[[1.63312213e-06]
 [2.34563270e-05]
 [1.01222564e-04]
 [4.08818131e-06]
 [3.41180813e-05]
 [6.66189886e-06]
 [2.54858168e-05]
 [5.45058734e-06]
 [2.18663497e-05]]","[[-0.00383381]
 [ 0.01452952]
 [ 0.03018283]
 [-0.00606578]
 [-0.01752321]
 [-0.0077432 ]
 [-0.01514504]
 [ 0.00700395]
 [-0.01402844]]",1
"[[3.01205778e-06]
 [4.42645776e-05]
 [1.91245985e-04]
 [7.65115931e-06]
 [6.45590088e-05]
 [1.24912346e-05]
 [4.83793175e-05]
 [1.02675251e-05]
 [4.12283068e-05]]","[[3.01205778e-06]
 [4.42645776e-05]
 [1.91245985e-04]
 [7.65115931e-06]
 [6.45590088e-05]
 [1.24912346e-05]
 [4.83793175e-05]
 [1.02675251e-05]
 [4.12283068e-05]]","[[-0.00520658]
 [ 0.01995949]
 [ 0.04148751]
 [-0.00829822]
 [-0.02410459]
 [-0.01060288]
 [-0.02086657]
 [ 0.00961289]
 [-0.01926278]]",1
"[5.70249922e-08 2.32076397e-07 2.30342133e-07 ... 8.69420171e-05
 1.08421280e-07 6.84701506e-06]","[5.70249922e-08 2.32076397e-07 2.30342133e-07 ... 8.69420171e-05
 1.08421280e-07 6.84701506e-06]","[ 0.0007164  -0.00144523  0.00143982 ...  0.02797281 -0.00098782
 -0.00785004]",1
"[[1.62120688e-06]
 [2.30774559e-05]
 [9.93590929e-05]
 [4.07193471e-06]
 [3.34915332e-05]
 [6.62742643e-06]
 [2.50710568e-05]
 [5.33734095e-06]
 [2.14092268e-05]]","[[1.62120688e-06]
 [2.30774559e-05]
 [9.93590929e-05]
 [4.07193471e-06]
 [3.34915332e-05]
 [6.62742643e-06]
 [2.50710568e-05]
 [5.33734095e-06]
 [2.14092268e-05]]","[[-0.0038198 ]
 [ 0.0144117 ]
 [ 0.02990371]
 [-0.00605371]
 [-0.01736156]
 [-0.00772314]
 [-0.0150213 ]
 [ 0.00693081]
 [-0.01388103]]",1
"[[2.78250925e-06]
 [4.03871023e-05]
 [1.74029753e-04]
 [7.08024347e-06]
 [5.87442551e-05]
 [1.15415826e-05]
 [4.41039993e-05]
 [9.32301813e-06]
 [3.74275717e-05]]","[[2.78250925e-06]
 [4.03871023e-05]
 [1.74029753e-04]
 [7.08024347e-06]
 [5.87442551e-05]
 [1.15415826e-05]
 [4.41039993e-05]
 [9.32301813e-06]
 [3.74275717e-05]]","[[-0.00500426]
 [ 0.01906525]
 [ 0.0395761 ]
 [-0.00798262]
 [-0.02299344]
 [-0.01019187]
 [-0.01992325]
 [ 0.00916009]
 [-0.01835342]]",1
"[[4.32915611e-06]
 [6.38905037e-05]
 [2.75587751e-04]
 [1.11464200e-05]
 [9.31061954e-05]
 [1.81915058e-05]
 [7.00917372e-05]
 [1.47181633e-05]
 [5.91392220e-05]]","[[4.32915611e-06]
 [6.38905037e-05]
 [2.75587751e-04]
 [1.11464200e-05]
 [9.31061954e-05]
 [1.81915058e-05]
 [7.00917372e-05]
 [1.47181633e-05]
 [5.91392220e-05]]","[[-0.00624199]
 [ 0.02397946]
 [ 0.04980251]
 [-0.01001588]
 [-0.02894747]
 [-0.01279545]
 [-0.02511624]
 [ 0.01150928]
 [-0.02307061]]",1
"[[2.58426742e-06]
 [3.70741265e-05]
 [1.59362855e-04]
 [6.58870250e-06]
 [5.37818353e-05]
 [1.07255123e-05]
 [4.04552509e-05]
 [8.51789199e-06]
 [3.41843617e-05]]","[[2.58426742e-06]
 [3.70741265e-05]
 [1.59362855e-04]
 [6.58870250e-06]
 [5.37818353e-05]
 [1.07255123e-05]
 [4.04552509e-05]
 [8.51789199e-06]
 [3.41843617e-05]]","[[-0.0048227 ]
 [ 0.01826656]
 [ 0.0378717 ]
 [-0.00770054]
 [-0.02200083]
 [-0.00982495]
 [-0.01908133]
 [ 0.00875563]
 [-0.01754022]]",1
