epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
0,0.684,0.7571,"[2.61422763 4.53193178 0.00671839 1.89361247 0.9160949  0.57418124
 1.16430795 2.17722102 2.48696409]",14.0148
1,0.6844,0.847,"[ 2.62421958e+00  4.52193386e+00 -3.28061573e-03  1.90360733e+00
  9.26093181e-01  5.84177231e-01  1.17430596e+00  2.16722528e+00
  2.49696196e+00]",13.8621
2,0.679,0.847,"[ 2.63421087  4.51193617 -0.0132795   1.91360182  0.93609126  0.59417291
  1.18430373  2.15723009  2.50695956]",13.7187
3,0.6824,0.8376,"[ 2.64420266  4.50193839 -0.02327843  1.92359667  0.94608941  0.60416886
  1.1943016   2.14723475  2.51695723]",13.5852
4,0.6769,0.8899,"[ 2.65419391  4.49194079 -0.03327726  1.93359124  0.95608739  0.61416459
  1.2042993   2.13723984  2.52695468]",13.4621
5,0.6877,0.808,"[ 2.66418512  4.48194324 -0.04327607  1.94358584  0.96608533  0.62416034
  1.21429695  2.12724508  2.53695205]",13.3499
6,0.6884,0.7942,"[ 2.67417551  4.47194594 -0.05327476  1.95358     0.97608304  0.63415575
  1.22429436  2.11725092  2.5469491 ]",13.2491
7,0.6864,0.8202,"[ 2.68416536  4.46194881 -0.06327337  1.9635739   0.98608059  0.64415096
  1.2342916   2.10725717  2.55694593]",13.1598
8,0.6898,0.7833,"[ 2.69415351  4.45195218 -0.07327174  1.97356687  0.9960777   0.65414546
  1.24428837  2.09726455  2.56694215]",13.0826
9,0.6919,0.7386,"[ 2.70413953  4.44195616 -0.08326983  1.98355867  1.00607425  0.66413907
  1.25428455  2.08727334  2.57693761]",13.0175
10,0.692,0.7244,"[ 2.71412251  4.43196099 -0.09326752  1.99354884  1.01607005  0.67413145
  1.26427991  2.07728408  2.586932  ]",12.9648
11,0.6924,0.7166,"[ 2.7241022   4.42196673 -0.10326481  2.00353731  1.02606502  0.68412256
  1.27427441  2.06729687  2.59692524]",12.9246
12,0.6909,0.7318,"[ 2.73405896  4.41197894 -0.11325912  2.01351301  1.03605423  0.69410397
  1.28426269  2.05732417  2.60691057]",12.8968
13,0.6928,0.7295,"[ 2.7440085   4.40199304 -0.12325261  2.02348511  1.0460417   0.70408277
  1.29424917  2.04735576  2.61689334]",12.8815
14,0.6928,0.7212,"[ 2.75195041  4.39400899 -0.13124536  2.03145363  1.05402742  0.71205909
  1.30223389  2.03939161  2.62487347]",12.8781
15,0.6915,0.7295,"[ 2.7579202   4.3880171  -0.1372417   2.03743757  1.06002016  0.71804708
  1.30822616  2.03340994  2.63086328]",12.8808
16,0.6931,0.7012,"[ 2.76223038  4.38390114 -0.14129765  2.04163876  1.06412633  0.72220653
  1.31233794  2.02918762  2.63500573]",12.8855
17,0.6932,0.7082,"[ 2.76628142  4.37988095 -0.14530739  2.04567348  1.06814482  0.72623426
  1.31635744  2.02514938  2.63903042]",12.8919
18,0.6925,0.7135,"[ 2.76837237  4.37785448 -0.14731922  2.04772386  1.070169    0.72827191
  1.31838282  2.0230923   2.64106456]",12.8959
19,0.6927,0.7111,"[ 2.77053867  4.37578284 -0.14935461  2.04984096  1.07223542  0.73036678
  1.320452    2.02096499  2.6431524 ]",12.9005
20,0.6932,0.6901,"[ 2.77046235  4.37580444 -0.14934497  2.04979947  1.07221573  0.7303359
  1.32043136  2.02101203  2.64312447]",12.9004
21,0.693,0.7053,"[ 2.77246649  4.3738031  -0.15134555  2.05180195  1.07421698  0.73233774
  1.32243268  2.01900922  2.64512622]",12.9052
22,0.6932,0.7029,"[ 2.77055426  4.37577991 -0.14935568  2.04984756  1.07223816  0.73037113
  1.32045489  2.02095709  2.64315662]",12.9006
23,0.6932,0.6986,"[ 2.77647188  4.36980188 -0.15534603  2.05580458  1.07821811  0.73633959
  1.32643392  2.01500604  2.64912782]",12.9162
24,0.6931,0.6929,"[ 2.77673214  4.36971192 -0.15538751  2.05596434  1.07830139  0.73646234
  1.32652029  2.01482901  2.64924325]",12.9168
25,0.6931,0.6829,"[ 2.77676284  4.36970389 -0.15539096  2.05598013  1.07830878  0.73647378
  1.326528    2.014811    2.64925397]",12.9169
