v,v_eff,m,t
"[[4.00155892e-06]
 [3.89576044e-05]
 [1.62784097e-04]
 [8.21995264e-06]
 [5.36534270e-05]
 [1.29005491e-05]
 [3.82721855e-05]
 [9.06912660e-06]
 [3.61152239e-05]]","[[4.00155892e-06]
 [3.89576044e-05]
 [1.62784097e-04]
 [8.21995264e-06]
 [5.36534270e-05]
 [1.29005491e-05]
 [3.82721855e-05]
 [9.06912660e-06]
 [3.61152239e-05]]","[[ 0.00600117]
 [-0.01872481]
 [-0.03827606]
 [ 0.00860114]
 [ 0.02197455]
 [ 0.0107752 ]
 [ 0.01855936]
 [-0.0090345 ]
 [ 0.01802878]]",1
"[[3.16397772e-06]
 [3.22666323e-05]
 [1.35970172e-04]
 [6.60366991e-06]
 [4.48245265e-05]
 [1.04071215e-05]
 [3.20804957e-05]
 [7.53762659e-06]
 [3.00789520e-05]]","[[3.16397772e-06]
 [3.22666323e-05]
 [1.35970172e-04]
 [6.60366991e-06]
 [4.48245265e-05]
 [1.04071215e-05]
 [3.20804957e-05]
 [7.53762659e-06]
 [3.00789520e-05]]","[[ 0.00533627]
 [-0.01704112]
 [-0.03498187]
 [ 0.00770928]
 [ 0.02008534]
 [ 0.00967802]
 [ 0.01699189]
 [-0.00823642]
 [ 0.01645328]]",1
"[[2.39081866e-06]
 [2.55475516e-05]
 [1.08453818e-04]
 [5.07075218e-06]
 [3.57867508e-05]
 [8.02692226e-06]
 [2.56931414e-05]
 [5.99032650e-06]
 [2.39425116e-05]]","[[2.39081866e-06]
 [2.55475516e-05]
 [1.08453818e-04]
 [5.07075218e-06]
 [3.57867508e-05]
 [8.02692226e-06]
 [2.56931414e-05]
 [5.99032650e-06]
 [2.39425116e-05]]","[[ 0.00463868]
 [-0.01516338]
 [-0.03124235]
 [ 0.0067555 ]
 [ 0.01794661]
 [ 0.00849955]
 [ 0.01520652]
 [-0.00734254]
 [ 0.01467933]]",1
"[[1.69737093e-06]
 [1.90039556e-05]
 [8.11979772e-05]
 [3.65832530e-06]
 [2.68329644e-05]
 [5.81828322e-06]
 [1.93220608e-05]
 [4.47364794e-06]
 [1.79009439e-05]]","[[1.69737093e-06]
 [1.90039556e-05]
 [8.11979772e-05]
 [3.65832530e-06]
 [2.68329644e-05]
 [5.81828322e-06]
 [1.93220608e-05]
 [4.47364794e-06]
 [1.79009439e-05]]","[[ 0.0039085 ]
 [-0.01307806]
 [-0.02703298]
 [ 0.00573802]
 [ 0.01554016]
 [ 0.00723634]
 [ 0.01318706]
 [-0.0063453 ]
 [ 0.01269285]]",1
"[[1.09981175e-06]
 [1.28966503e-05]
 [5.54182605e-05]
 [2.40850329e-06]
 [1.83477450e-05]
 [3.84924080e-06]
 [1.32485627e-05]
 [3.04852162e-06]
 [1.22073731e-05]]","[[1.09981175e-06]
 [1.28966503e-05]
 [5.54182605e-05]
 [2.40850329e-06]
 [1.83477450e-05]
 [3.84924080e-06]
 [1.32485627e-05]
 [3.04852162e-06]
 [1.22073731e-05]]","[[ 0.00314616]
 [-0.01077357]
 [-0.02233303]
 [ 0.00465581]
 [ 0.01285028]
 [ 0.00588584]
 [ 0.01091957]
 [-0.005238  ]
 [ 0.01048172]]",1
"[[6.15214391e-07]
 [7.54964365e-06]
 [3.26073022e-05]
 [1.36851397e-06]
 [1.08176257e-05]
 [2.19807053e-06]
 [7.83108301e-06]
 [1.79221791e-06]
 [7.17942544e-06]]","[[6.15214391e-07]
 [7.54964365e-06]
 [3.26073022e-05]
 [1.36851397e-06]
 [1.08176257e-05]
 [2.19807053e-06]
 [7.83108301e-06]
 [1.79221791e-06]
 [7.17942544e-06]]","[[ 0.00235307]
 [-0.00824298]
 [-0.01713084]
 [ 0.00350951]
 [ 0.00986705]
 [ 0.00444777]
 [ 0.00839522]
 [-0.00401621]
 [ 0.00803833]]",1
"[[2.60299422e-07]
 [3.33886178e-06]
 [1.44878735e-05]
 [5.87881382e-07]
 [4.81632448e-06]
 [9.48996893e-07]
 [3.49466566e-06]
 [7.96070511e-07]
 [3.18925238e-06]]","[[2.60299422e-07]
 [3.33886178e-06]
 [1.44878735e-05]
 [5.87881382e-07]
 [4.81632448e-06]
 [9.48996893e-07]
 [3.49466566e-06]
 [7.96070511e-07]
 [3.18925238e-06]]","[[ 0.00153059]
 [-0.00548177]
 [-0.01141888]
 [ 0.0023002 ]
 [ 0.00658384]
 [ 0.00292249]
 [ 0.00560821]
 [-0.00267668]
 [ 0.00535754]]",1
"[[4.07306244e-08]
 [5.46996128e-07]
 [2.38441197e-06]
 [9.34670837e-08]
 [7.94338489e-07]
 [1.51691456e-07]
 [5.77695462e-07]
 [1.31013953e-07]
 [5.24788216e-07]]","[[4.07306244e-08]
 [5.46996128e-07]
 [2.38441197e-06]
 [9.34670837e-08]
 [7.94338489e-07]
 [1.51691456e-07]
 [5.77695462e-07]
 [1.31013953e-07]
 [5.24788216e-07]]","[[ 0.00060545]
 [-0.00221878]
 [-0.00463246]
 [ 0.00091717]
 [ 0.00267377]
 [ 0.00116843]
 [ 0.00228019]
 [-0.00108588]
 [ 0.00217327]]",1
"[[1.42874759e-08]
 [2.00489183e-07]
 [8.77798797e-07]
 [3.32866087e-08]
 [2.92959062e-07]
 [5.43070872e-08]
 [2.13493299e-07]
 [4.82390841e-08]
 [1.93158125e-07]]","[[1.42874759e-08]
 [2.00489183e-07]
 [8.77798797e-07]
 [3.32866087e-08]
 [2.92959062e-07]
 [5.43070872e-08]
 [2.13493299e-07]
 [4.82390841e-08]
 [1.93158125e-07]]","[[-0.00035859]
 [ 0.00134328]
 [ 0.00281073]
 [-0.00054734]
 [-0.00162377]
 [-0.00069912]
 [-0.00138616]
 [ 0.0006589 ]
 [-0.00131849]]",1
"[[2.06979644e-07]
 [2.99462202e-06]
 [1.31262650e-05]
 [4.90601613e-07]
 [4.39092737e-06]
 [8.02988494e-07]
 [3.21205374e-06]
 [7.20099672e-07]
 [2.88324825e-06]]","[[2.06979644e-07]
 [2.99462202e-06]
 [1.31262650e-05]
 [4.90601613e-07]
 [4.39092737e-06]
 [8.02988494e-07]
 [3.21205374e-06]
 [7.20099672e-07]
 [2.88324825e-06]]","[[-0.00136485]
 [ 0.00519149]
 [ 0.01086906]
 [-0.00210129]
 [-0.00628636]
 [-0.00268829]
 [-0.00537666]
 [ 0.00254576]
 [-0.00509404]]",1
