v,v_eff,m,t
"[[2.97255003e-06]
 [3.11657251e-05]
 [2.67410663e-04]
 [9.42485609e-06]
 [8.49330257e-05]
 [3.81694014e-06]
 [7.05992332e-05]]","[[2.97255003e-06]
 [3.11657251e-05]
 [2.67410663e-04]
 [9.42485609e-06]
 [8.49330257e-05]
 [3.81694014e-06]
 [7.05992332e-05]]","[[-0.00517233]
 [ 0.01674788]
 [-0.04905809]
 [-0.00920998]
 [-0.02764773]
 [-0.0058611 ]
 [-0.025207  ]]",1
"[[2.85289258e-06]
 [3.03708970e-05]
 [2.65702849e-04]
 [9.04181277e-06]
 [8.12447769e-05]
 [3.86236403e-06]
 [6.73724181e-05]]","[[2.85289258e-06]
 [3.03708970e-05]
 [2.65702849e-04]
 [9.04181277e-06]
 [8.12447769e-05]
 [3.86236403e-06]
 [6.73724181e-05]]","[[-0.00506715]
 [ 0.01653294]
 [-0.04890118]
 [-0.00902088]
 [-0.02704077]
 [-0.00589587]
 [-0.02462421]]",1
"[[2.72882307e-06]
 [2.95007183e-05]
 [2.62777688e-04]
 [8.64447746e-06]
 [7.74561691e-05]
 [3.89216704e-06]
 [6.40785414e-05]]","[[2.72882307e-06]
 [2.95007183e-05]
 [2.62777688e-04]
 [8.64447746e-06]
 [7.74561691e-05]
 [3.89216704e-06]
 [6.40785414e-05]]","[[-0.00495574]
 [ 0.01629437]
 [-0.04863126]
 [-0.00882045]
 [-0.02640276]
 [-0.00591857]
 [-0.02401472]]",1
"[[2.59992911e-06]
 [2.85472657e-05]
 [2.58523199e-04]
 [8.23161461e-06]
 [7.35560620e-05]
 [3.90401865e-06]
 [6.07087868e-05]]","[[2.59992911e-06]
 [2.85472657e-05]
 [2.58523199e-04]
 [8.23161461e-06]
 [7.35560620e-05]
 [3.90401865e-06]
 [6.07087868e-05]]","[[-0.00483729]
 [ 0.01602889]
 [-0.04823597]
 [-0.00860724]
 [-0.02572945]
 [-0.00592758]
 [-0.02337475]]",1
"[[2.46587557e-06]
 [2.75028914e-05]
 [2.52835711e-04]
 [7.80227086e-06]
 [6.95358822e-05]
 [3.89539954e-06]
 [5.72566002e-05]]","[[2.46587557e-06]
 [2.75028914e-05]
 [2.52835711e-04]
 [7.80227086e-06]
 [6.95358822e-05]
 [3.89539954e-06]
 [5.72566002e-05]]","[[-0.00471093]
 [ 0.01573296]
 [-0.04770243]
 [-0.00837976]
 [-0.02501645]
 [-0.00592103]
 [-0.02270043]]",1
"[[2.32641284e-06]
 [2.63604269e-05]
 [2.45625444e-04]
 [7.35578773e-06]
 [6.53897056e-05]
 [3.86365710e-06]
 [5.37176880e-05]]","[[2.32641284e-06]
 [2.63604269e-05]
 [2.45625444e-04]
 [7.35578773e-06]
 [6.53897056e-05]
 [3.86365710e-06]
 [5.37176880e-05]]","[[-0.00457577]
 [ 0.01540272]
 [-0.04701733]
 [-0.00813647]
 [-0.02425917]
 [-0.00589686]
 [-0.02198771]]",1
"[[2.18134358e-06]
 [2.51130089e-05]
 [2.36818411e-04]
 [6.89167820e-06]
 [6.11131317e-05]
 [3.80603569e-06]
 [5.00889997e-05]]","[[2.18134358e-06]
 [2.51130089e-05]
 [2.36818411e-04]
 [6.89167820e-06]
 [6.11131317e-05]
 [3.80603569e-06]
 [5.00889997e-05]]","[[-0.00443081]
 [ 0.01503386]
 [-0.04616672]
 [-0.0078756 ]
 [-0.02345247]
 [-0.00585272]
 [-0.02123207]]",1
"[[2.03066251e-06]
 [2.37555463e-05]
 [2.26368603e-04]
 [6.41010033e-06]
 [5.67074452e-05]
 [3.71983780e-06]
 [4.63722148e-05]]","[[2.03066251e-06]
 [2.37555463e-05]
 [2.26368603e-04]
 [6.41010033e-06]
 [5.67074452e-05]
 [3.71983780e-06]
 [4.63722148e-05]]","[[-0.00427504]
 [ 0.0146219 ]
 [-0.04513665]
 [-0.00759545]
 [-0.0225913 ]
 [-0.00578606]
 [-0.02042914]]",1
"[[1.87452571e-06]
 [2.22847073e-05]
 [2.14261200e-04]
 [5.91172952e-06]
 [5.21784409e-05]
 [3.60252922e-06]
 [4.25726373e-05]]","[[1.87452571e-06]
 [2.22847073e-05]
 [2.14261200e-04]
 [5.91172952e-06]
 [5.21784409e-05]
 [3.60252922e-06]
 [4.25726373e-05]]","[[-0.0041074 ]
 [ 0.014162  ]
 [-0.04391299]
 [-0.00729421]
 [-0.02167039]
 [-0.0056941 ]
 [-0.01957431]]",1
"[[1.71316232e-06]
 [2.06982047e-05]
 [2.00506745e-04]
 [5.39744972e-06]
 [4.75336594e-05]
 [3.45173585e-06]
 [3.86968222e-05]]","[[1.71316232e-06]
 [2.06982047e-05]
 [2.00506745e-04]
 [5.39744972e-06]
 [4.75336594e-05]
 [3.45173585e-06]
 [3.86968222e-05]]","[[-0.00392663]
 [ 0.01364858]
 [-0.04248012]
 [-0.00696972]
 [-0.0206834 ]
 [-0.00557365]
 [-0.01866203]]",1
"[3.35287413e-06 7.84037908e-06 2.33492817e-05 ... 1.83361513e-04
 8.04145733e-04 8.68820510e-04]","[3.35287413e-06 7.84037908e-06 2.33492817e-05 ... 1.83361513e-04
 8.04145733e-04 8.68820510e-04]","[-0.00549326 -0.0084002   0.01449633 ... -0.04062331 -0.08507239
 -0.08842728]",1
"[[1.54726818e-06]
 [1.89992404e-05]
 [1.85178734e-04]
 [4.86966510e-06]
 [4.27938958e-05]
 [3.26586163e-06]
 [3.47621231e-05]]","[[1.54726818e-06]
 [1.89992404e-05]
 [1.85178734e-04]
 [4.86966510e-06]
 [4.27938958e-05]
 [3.26586163e-06]
 [3.47621231e-05]]","[[-0.00373168]
 [ 0.01307644]
 [-0.04082412]
 [-0.0066202 ]
 [-0.01962511]
 [-0.00542151]
 [-0.01768782]]",1
"[[1.37768150e-06]
 [1.71935102e-05]
 [1.68388407e-04]
 [4.33117796e-06]
 [3.79832404e-05]
 [3.04391985e-06]
 [3.07882419e-05]]","[[1.37768150e-06]
 [1.71935102e-05]
 [1.68388407e-04]
 [4.33117796e-06]
 [3.79832404e-05]
 [3.04391985e-06]
 [3.07882419e-05]]","[[-0.00352124]
 [ 0.01243952]
 [-0.03892937]
 [-0.00624344]
 [-0.01848916]
 [-0.00523405]
 [-0.01664615]]",1
"[[1.20576148e-06]
 [1.52938411e-05]
 [1.50324496e-04]
 [3.78643265e-06]
 [3.31399486e-05]
 [2.78631363e-06]
 [2.68061612e-05]]","[[1.20576148e-06]
 [1.52938411e-05]
 [1.50324496e-04]
 [3.78643265e-06]
 [3.31399486e-05]
 [2.78631363e-06]
 [2.68061612e-05]]","[[-0.00329422]
 [ 0.0117322 ]
 [-0.03678207]
 [-0.00583763]
 [-0.01727019]
 [-0.00500768]
 [-0.0155324 ]]",1
"[[1.03332307e-06]
 [1.33201556e-05]
 [1.31251858e-04]
 [3.24125969e-06]
 [2.83140861e-05]
 [2.49511180e-06]
 [2.28560278e-05]]","[[1.03332307e-06]
 [1.33201556e-05]
 [1.31251858e-04]
 [3.24125969e-06]
 [2.83140861e-05]
 [2.49511180e-06]
 [2.28560278e-05]]","[[-0.00304957]
 [ 0.01094904]
 [-0.03436956]
 [-0.00540105]
 [-0.01596329]
 [-0.00473878]
 [-0.01434239]]",1
"[[8.62557877e-07]
 [1.12991013e-05]
 [1.11504139e-04]
 [2.70259479e-06]
 [2.35650084e-05]
 [2.17422108e-06]
 [1.89849914e-05]]","[[8.62557877e-07]
 [1.12991013e-05]
 [1.11504139e-04]
 [2.70259479e-06]
 [2.35650084e-05]
 [2.17422108e-06]
 [1.89849914e-05]]","[[-0.00278622]
 [ 0.01008424]
 [-0.03167866]
 [-0.00493187]
 [-0.01456314]
 [-0.00442357]
 [-0.01307153]]",1
"[[6.95098737e-07]
 [9.25253786e-06]
 [9.13658509e-05]
 [2.17547343e-06]
 [1.89351784e-05]
 [1.82747319e-06]
 [1.52259201e-05]]","[[6.95098737e-07]
 [9.25253786e-06]
 [9.13658509e-05]
 [2.17547343e-06]
 [1.89351784e-05]
 [1.82747319e-06]
 [1.52259201e-05]]","[[-0.00250118]
 [ 0.0091254 ]
 [-0.02867565]
 [-0.00442485]
 [-0.01305437]
 [-0.00405552]
 [-0.01170612]]",1
"[[5.35544318e-07]
 [7.24267377e-06]
 [7.15107059e-05]
 [1.67435393e-06]
 [1.45486031e-05]
 [1.46688887e-06]
 [1.16773716e-05]]","[[5.35544318e-07]
 [7.24267377e-06]
 [7.15107059e-05]
 [1.67435393e-06]
 [1.45486031e-05]
 [1.46688887e-06]
 [1.16773716e-05]]","[[-0.00219543]
 [ 0.00807366]
 [-0.0253692 ]
 [-0.0038819 ]
 [-0.01144279]
 [-0.00363346]
 [-0.01025165]]",1
"[[3.87940179e-07]
 [5.32929380e-06]
 [5.25802535e-05]
 [1.21172883e-06]
 [1.05115469e-05]
 [1.10569906e-06]
 [8.42254621e-06]]","[[3.87940179e-07]
 [5.32929380e-06]
 [5.25802535e-05]
 [1.21172883e-06]
 [1.05115469e-05]
 [1.10569906e-06]
 [8.42254621e-06]]","[[-0.00186855]
 [ 0.00692558]
 [-0.02175367]
 [-0.00330236]
 [-0.00972645]
 [-0.00315457]
 [-0.00870649]]",1
"[[2.56986184e-07]
 [3.58514810e-06]
 [3.53290371e-05]
 [8.02048740e-07]
 [6.94667608e-06]
 [7.61171097e-07]
 [5.55719839e-06]]","[[2.56986184e-07]
 [3.58514810e-06]
 [3.53290371e-05]
 [8.02048740e-07]
 [6.94667608e-06]
 [7.61171097e-07]
 [5.55719839e-06]]","[[-0.00152081]
 [ 0.00568035]
 [-0.01783147]
 [-0.00268672]
 [-0.00790696]
 [-0.00261735]
 [-0.00707211]]",1
"[[1.47288944e-07]
 [2.08615140e-06]
 [2.05253145e-05]
 [4.59388511e-07]
 [3.97282179e-06]
 [4.52768685e-07]
 [3.17344500e-06]]","[[1.47288944e-07]
 [2.08615140e-06]
 [2.05253145e-05]
 [4.59388511e-07]
 [3.97282179e-06]
 [4.52768685e-07]
 [3.17344500e-06]]","[[-0.00115135]
 [ 0.00433305]
 [-0.01359146]
 [-0.00203335]
 [-0.00597958]
 [-0.00201864]
 [-0.00534425]]",1
"[1.05754155e-06 1.57016882e-06 7.04733610e-06 ... 8.88476789e-05
 3.16113824e-04 3.07574229e-04]","[1.05754155e-06 1.57016882e-06 7.04733610e-06 ... 8.88476789e-05
 3.16113824e-04 3.07574229e-04]","[-0.00308511 -0.00375919  0.00796405 ... -0.02827771 -0.05333877
 -0.05261338]",1
"[[6.52718023e-08]
 [9.38219770e-07]
 [9.21457209e-06]
 [2.03501799e-07]
 [1.75733509e-06]
 [2.07896244e-07]
 [1.40186354e-06]]","[[6.52718023e-08]
 [9.38219770e-07]
 [9.21457209e-06]
 [2.03501799e-07]
 [1.75733509e-06]
 [2.07896244e-07]
 [1.40186354e-06]]","[[-0.00076645]
 [ 0.00290585]
 [-0.00910665]
 [-0.00135334]
 [-0.00397694]
 [-0.00136787]
 [-0.00355201]]",1
