epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
0,0.7098,0.6148,"[2.62322300e+00 4.52293469e+00 3.71810094e-03 1.90260914e+00
 9.25093240e-01 5.83174819e-01 1.17330608e+00 2.16833226e+00
 2.49596233e+00 3.38843312e+00 2.63089753e+00]",11.7196
1,0.6909,0.7071,"[2.62422226 4.5219351  0.00471801 1.90360866 0.92609305 0.58417353
 1.17430587 2.16734431 2.49696212 3.39050561 2.62987638]",11.7358
2,0.6819,0.8078,"[2.62122668e+00 4.52493184e+00 1.71873992e-03 1.90061179e+00
 9.23094715e-01 5.81180382e-01 1.17130773e+00 2.17015912e+00
 2.49396380e+00 3.39331069e+00 2.63280839e+00]",11.6683
3,0.679,0.8991,"[ 2.61822842e+00  4.52793056e+00 -1.28097263e-03  1.89761304e+00
  9.20095377e-01  5.78183082e-01  1.16830847e+00  2.17310418e+00
  2.49096447e+00  3.39625195e+00  2.63578275e+00]",11.6014
4,0.6784,0.8723,"[ 2.61523030e+00  4.53092920e+00 -4.28067035e-03  1.89461437e+00
  9.17096073e-01  5.75186010e-01  1.16530924e+00  2.17605962e+00
  2.48796517e+00  3.39893108e+00  2.63876456e+00]",11.536
5,0.6811,0.8714,"[ 2.6122322   4.53392786 -0.00728037  1.89161573  0.91409676  0.572189
  1.16231001  2.1790232   2.48496587  3.39616134  2.64175068]",11.4827
6,0.6822,0.8423,"[ 2.60923406  4.53692657 -0.01028008  1.88861705  0.91109743  0.56919195
  1.15931074  2.18199343  2.48196653  3.39322963  2.64473981]",11.4306
7,0.6792,0.8713,"[ 2.60623603  4.53992524 -0.01327978  1.88561844  0.90809811  0.5661951
  1.1563115   2.18496648  2.47896723  3.39026739  2.64773037]",11.3794
8,0.6821,0.8437,"[ 2.60323812  4.54292385 -0.01627947  1.88261992  0.90509882  0.56319848
  1.15331228  2.18794178  2.47596795  3.38729498  2.65072194]",11.3291
9,0.6815,0.8622,"[ 2.60024024  4.54592247 -0.01927916  1.87962141  0.90209953  0.56020193
  1.15031305  2.19091986  2.47296866  3.38431654  2.65371457]",11.2796
10,0.6833,0.8376,"[ 2.59724246  4.54892106 -0.02227885  1.87662297  0.89910025  0.55720561
  1.14731385  2.19389962  2.46996939  3.3813346   2.65670782]",11.2311
11,0.6831,0.8625,"[ 2.59424463  4.55191971 -0.02527854  1.87362449  0.89610093  0.55420924
  1.1443146   2.19688198  2.46697009  3.3783495   2.65970195]",11.1836
12,0.6823,0.8702,"[ 2.59124687  4.55491835 -0.02827824  1.87062606  0.89310163  0.55121304
  1.14131536  2.19986568  2.4639708   3.37536255  2.66269654]",11.1369
13,0.6844,0.85,"[ 2.58824932  4.5579169  -0.03127791  1.86762776  0.89010236  0.54821725
  1.13831616  2.20284981  2.46097155  3.37237464  2.66569129]",11.0912
14,0.6828,0.8643,"[ 2.58525172  4.56091551 -0.0342776   1.86462944  0.88710307  0.54522145
  1.13531693  2.20583562  2.45797227  3.36938519  2.66868658]",11.0465
15,0.6849,0.8382,"[ 2.5822545   4.56391395 -0.03727725  1.86163136  0.88410386  0.5422264
  1.13231779  2.208821    2.45497308  3.36639566  2.67168173]",11.0027
16,0.6841,0.8455,"[ 2.57925728  4.56691242 -0.0402769   1.85863329  0.88110464  0.53923145
  1.12931862  2.21180759  2.45197387  3.36340511  2.67467726]",10.9599
17,0.6862,0.8081,"[ 2.57626009  4.56991091 -0.04327656  1.85563523  0.8781054   0.53623667
  1.12631944  2.21479533  2.44897465  3.36041365  2.67767314]",10.9181
18,0.6852,0.8395,"[ 2.5732635   4.57290915 -0.04627617  1.85263756  0.87510628  0.53324313
  1.1233204   2.21778183  2.44597556  3.35742281  2.6806686 ]",10.8774
19,0.6861,0.8039,"[ 2.57026664  4.57590757 -0.04927581  1.84963971  0.87210708  0.53024925
  1.12032126  2.22077043  2.44297638  3.35443057  2.68366473]",10.8377
20,0.6856,0.8276,"[ 2.56727     4.57890591 -0.05227544  1.84664201  0.86910791  0.52725599
  1.11732215  2.22375921  2.43997723  3.35143812  2.6866609 ]",10.799
21,0.6852,0.8378,"[ 2.56427344  4.58190428 -0.05527507  1.84364435  0.86610874  0.52426307
  1.11432303  2.22674867  2.43697808  3.34844519  2.68965727]",10.7613
22,0.6875,0.8079,"[ 2.561277    4.58490263 -0.05827471  1.84064676  0.86310956  0.52127066
  1.11132391  2.22973869  2.43397892  3.34545186  2.69265381]",10.7248
23,0.6855,0.8325,"[ 2.55828096  4.58790087 -0.06127431  1.83764943  0.86011044  0.51827944
  1.10832486  2.2327285   2.43097983  3.34245863  2.69565026]",10.6893
24,0.6862,0.8053,"[ 2.55528493  4.59089915 -0.06427393  1.8346521   0.8571113   0.51528865
  1.10532577  2.23571911  2.42798071  3.33946487  2.69864696]",10.6549
25,0.6864,0.8266,"[ 2.5522893   4.59389734 -0.06727352  1.83165501  0.8541122   0.51229928
  1.10232673  2.23870963  2.42498165  3.33647115  2.7016436 ]",10.6216
26,0.6879,0.7949,"[ 2.54929382  4.59689552 -0.07027312  1.82865802  0.8511131   0.50931098
  1.09932769  2.24170064  2.42198258  3.33347712  2.70464038]",10.5894
27,0.688,0.7842,"[ 2.54629945  4.59989337 -0.07327264  1.82566173  0.84811417  0.50632671
  1.09632883  2.24469047  2.41898368  3.33048383  2.70763672]",10.5584
28,0.6873,0.8046,"[ 2.54330477  4.6028914  -0.0762722   1.82266522  0.84511515  0.50334272
  1.09332986  2.24768158  2.41598469  3.32748973  2.71063349]",10.5284
29,0.6884,0.7951,"[ 2.540311    4.60588921 -0.07927172  1.81966927  0.84211623  0.50036353
  1.090331    2.25067212  2.41298581  3.32449599  2.71363002]",10.4997
30,0.6904,0.7801,"[ 2.53731711  4.60888714 -0.08227127  1.81667322  0.83911725  0.49738646
  1.08733208  2.25366357  2.40998687  3.32150168  2.71662686]",10.472
31,0.6896,0.7656,"[ 2.53432429  4.61188485 -0.08527076  1.81367781  0.83611838  0.49441865
  1.08433327  2.2566545   2.40698804  3.31850772  2.71962348]",10.4456
32,0.6891,0.7896,"[ 2.53133165  4.6148826  -0.08827027  1.81068248  0.83311948  0.49145869
  1.08133443  2.25964595  2.40398918  3.31551344  2.72262027]",10.4203
33,0.6887,0.7789,"[ 2.52833987  4.61788022 -0.09126975  1.80768764  0.83012064  0.48851957
  1.07833565  2.26263726  2.40099039  3.31251926  2.72561697]",10.3963
34,0.6898,0.7649,"[ 2.52534928  4.62087766 -0.09426919  1.80469348  0.82712189  0.48564821
  1.07533696  2.2656283   2.39799168  3.30952527  2.72861355]",10.3736
35,0.6897,0.7682,"[ 2.52235823  4.62387536 -0.09726869  1.80169896  0.82412302  0.48455393
  1.07233814  2.26862051  2.39499285  3.30653053  2.73161055]",10.356
36,0.6901,0.7796,"[ 2.51936762  4.62687303 -0.10026819  1.79870471  0.82112415  0.4870243
  1.06933932  2.27161292  2.39199403  3.30353568  2.73460758]",10.3474
37,0.6916,0.7585,"[ 2.51637883  4.62987037 -0.10326761  1.79571156  0.81812545  0.48986112
  1.06634068  2.27460448  2.38899538  3.30054144  2.73760422]",10.3407
