epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
0,0.6544,0.6171,"[2.61821735e+00 4.52793852e+00 2.79182637e-03 1.89760722e+00
 9.20090691e-01 5.78162359e-01 1.17238413e+00 2.17323638e+00
 2.49095991e+00]",12.8615
1,0.6369,0.5555,"[2.60821919 4.53793706 0.01277316 1.88760818 0.91009155 0.56816605
 1.18237519 2.18323306 2.48096072]",12.3884
2,0.6543,0.57,"[2.59822093 4.54793568 0.02275958 1.87760909 0.90009236 0.55816956
 1.19236666 2.19323003 2.47096148]",11.915
3,0.6491,0.5565,"[2.58822273 4.55793427 0.03274849 1.86761003 0.89009319 0.54817321
 1.20235736 2.20322704 2.46096226]",11.4426
4,0.6673,0.5822,"[2.5782247  4.56793278 0.0427388  1.85761103 0.88009409 0.53817723
 1.21234606 2.21322397 2.4509631 ]",10.9726
5,0.6527,0.5545,"[2.56822678 4.57793124 0.05273023 1.84761208 0.87009501 0.52818153
 1.22233296 2.22322089 2.44096397]",10.5064
6,0.6574,0.5557,"[2.55822899 4.58792965 0.06272251 1.83761317 0.86009598 0.51818615
 1.23231725 2.23321778 2.43096488]",10.0454
7,0.6693,0.576,"[2.54823142 4.59792796 0.07271531 1.82761435 0.85009701 0.50819134
 1.24229596 2.24321457 2.42096585]",9.5909
8,0.6657,0.5714,"[2.53823405 4.60792619 0.0827086  1.81761559 0.8400981  0.49819707
 1.25226645 2.25321129 2.41096687]",9.1444
9,0.6647,0.5614,"[2.52823703 4.61792426 0.0927021  1.80761696 0.83009929 0.48820376
 1.26221236 2.26320782 2.400968  ]",8.7073
10,0.6678,0.5609,"[2.51824019 4.62792229 0.10269602 1.79761837 0.82010052 0.47821112
 1.27206902 2.27320434 2.39096916]",8.2814
11,0.6698,0.5638,"[2.50824381 4.63792017 0.11269005 1.78761993 0.81010186 0.46821975
 1.26432122 2.28320065 2.38097043]",7.9873
12,0.6832,0.5814,"[2.49824783 4.64791803 0.12268434 1.77762159 0.80010324 0.45822916
 1.25437845 2.2931969  2.37097175]",7.7209
