v,v_eff,m,t
"[[2.11517005e-06]
 [3.19419128e-05]
 [1.39448858e-04]
 [5.25414621e-06]
 [4.69490596e-05]
 [8.62139011e-06]
 [3.48060456e-05]
 [7.57222861e-06]
 [3.03698341e-05]]","[[2.11517005e-06]
 [3.19419128e-05]
 [1.39448858e-04]
 [5.25414621e-06]
 [4.69490596e-05]
 [8.62139011e-06]
 [3.48060456e-05]
 [7.57222861e-06]
 [3.03698341e-05]]","[[-0.00436309]
 [ 0.01695515]
 [ 0.03542654]
 [-0.00687658]
 [-0.02055582]
 [-0.00880866]
 [-0.01769899]
 [ 0.0082553 ]
 [-0.01653265]]",1
"[[1.41912221e-06]
 [2.09464435e-05]
 [9.11674558e-05]
 [3.50205577e-06]
 [3.06813890e-05]
 [5.73156116e-06]
 [2.27390576e-05]
 [4.94999420e-06]
 [1.98499790e-05]]","[[1.41912221e-06]
 [2.09464435e-05]
 [9.11674558e-05]
 [3.50205577e-06]
 [3.06813890e-05]
 [5.73156116e-06]
 [2.27390576e-05]
 [4.94999420e-06]
 [1.98499790e-05]]","[[-0.00357381]
 [ 0.01373019]
 [ 0.0286445 ]
 [-0.00561413]
 [-0.01661724]
 [-0.0071822 ]
 [-0.01430565]
 [ 0.00667457]
 [-0.01336599]]",1
"[[2.14667816e-06]
 [3.21061195e-05]
 [1.39770804e-04]
 [5.35072165e-06]
 [4.70890227e-05]
 [8.76612301e-06]
 [3.49845774e-05]
 [7.57302111e-06]
 [3.03823944e-05]]","[[2.14667816e-06]
 [3.21061195e-05]
 [1.39770804e-04]
 [5.35072165e-06]
 [4.70890227e-05]
 [8.76612301e-06]
 [3.49845774e-05]
 [7.57302111e-06]
 [3.03823944e-05]]","[[-0.00439546]
 [ 0.01699868]
 [ 0.03546741]
 [-0.00693949]
 [-0.02058643]
 [-0.00888229]
 [-0.01774433]
 [ 0.00825574]
 [-0.01653607]]",1
"[[1.84870839e-06]
 [2.73265171e-05]
 [1.18724990e-04]
 [4.60094798e-06]
 [3.99980238e-05]
 [7.52699227e-06]
 [2.97322356e-05]
 [6.42821207e-06]
 [2.57885778e-05]]","[[1.84870839e-06]
 [2.73265171e-05]
 [1.18724990e-04]
 [4.60094798e-06]
 [3.99980238e-05]
 [7.52699227e-06]
 [2.97322356e-05]
 [6.42821207e-06]
 [2.57885778e-05]]","[[-0.00407902]
 [ 0.01568243]
 [ 0.0326883 ]
 [-0.00643495]
 [-0.0189732 ]
 [-0.00823061]
 [-0.01635818]
 [ 0.00760618]
 [-0.01523474]]",1
"[[2.50091343e-06]
 [3.72963129e-05]
 [1.62029058e-04]
 [6.27425764e-06]
 [5.46314700e-05]
 [1.02703831e-05]
 [4.06955936e-05]
 [8.75543488e-06]
 [3.51395973e-05]]","[[2.50091343e-06]
 [3.72963129e-05]
 [1.62029058e-04]
 [6.27425764e-06]
 [5.46314700e-05]
 [1.02703831e-05]
 [4.06955936e-05]
 [8.75543488e-06]
 [3.51395973e-05]]","[[-0.00474428]
 [ 0.01832121]
 [ 0.03818719]
 [-0.00751454]
 [-0.02217393]
 [-0.00961423]
 [-0.01913793]
 [ 0.00887688]
 [-0.0177836 ]]",1
"[1.69963374e-10 4.17846916e-10 8.61494125e-09 ... 2.71224165e-08
 8.97750612e-08 1.91139027e-07]","[1.69963374e-10 4.17846916e-10 8.61494125e-09 ... 2.71224165e-08
 8.97750612e-08 1.91139027e-07]","[-3.91110006e-05 -6.13239125e-05  2.78450124e-04 ... -4.94066543e-04
 -8.98874602e-04 -1.31158349e-03]",1
"[[1.66689582e-06]
 [2.42926594e-05]
 [1.05224969e-04]
 [4.15332187e-06]
 [3.54565188e-05]
 [6.78191714e-06]
 [2.64029081e-05]
 [5.68581175e-06]
 [2.28106608e-05]]","[[1.66689582e-06]
 [2.42926594e-05]
 [1.05224969e-04]
 [4.15332187e-06]
 [3.54565188e-05]
 [6.78191714e-06]
 [2.64029081e-05]
 [5.68581175e-06]
 [2.28106608e-05]]","[[-0.00387325]
 [ 0.01478628]
 [ 0.03077377]
 [-0.00611391]
 [-0.01786361]
 [-0.00781263]
 [-0.01541513]
 [ 0.00715348]
 [-0.01432815]]",1
"[[2.50259954e-06]
 [3.69655587e-05]
 [1.60170235e-04]
 [6.29916236e-06]
 [5.40272316e-05]
 [1.02963548e-05]
 [4.03308225e-05]
 [8.63521582e-06]
 [3.46618377e-05]]","[[2.50259954e-06]
 [3.69655587e-05]
 [1.60170235e-04]
 [6.29916236e-06]
 [5.40272316e-05]
 [1.02963548e-05]
 [4.03308225e-05]
 [8.63521582e-06]
 [3.46618377e-05]]","[[-0.00474588]
 [ 0.01823979]
 [ 0.03796751]
 [-0.00752944]
 [-0.02205097]
 [-0.00962638]
 [-0.01905197]
 [ 0.00881572]
 [-0.01766229]]",1
"[[3.41645775e-06]
 [5.09732623e-05]
 [2.20912557e-04]
 [8.67376250e-06]
 [7.45692476e-05]
 [1.41869628e-05]
 [5.57875872e-05]
 [1.18825432e-05]
 [4.77219523e-05]]","[[3.41645775e-06]
 [5.09732623e-05]
 [2.20912557e-04]
 [8.67376250e-06]
 [7.45692476e-05]
 [1.41869628e-05]
 [5.57875872e-05]
 [1.18825432e-05]
 [4.77219523e-05]]","[[-0.0055451 ]
 [ 0.02141867]
 [ 0.04458938]
 [-0.00883538]
 [-0.02590605]
 [-0.01129968]
 [-0.02240733]
 [ 0.01034132]
 [-0.02072432]]",1
"[[2.33252852e-06]
 [3.40277493e-05]
 [1.47031187e-04]
 [5.88193116e-06]
 [4.96016017e-05]
 [9.59875220e-06]
 [3.70968817e-05]
 [7.90994773e-06]
 [3.17485138e-05]]","[[2.33252852e-06]
 [3.40277493e-05]
 [1.47031187e-04]
 [5.88193116e-06]
 [4.96016017e-05]
 [9.59875220e-06]
 [3.70968817e-05]
 [7.90994773e-06]
 [3.17485138e-05]]","[[-0.00458179]
 [ 0.01749999]
 [ 0.03637693]
 [-0.00727581]
 [-0.02112852]
 [-0.00929456]
 [-0.01827216]
 [ 0.00843739]
 [-0.01690375]]",1
