v,v_eff,m,t
"[[7.15481694e-05]
 [3.19047175e-04]
 [1.22389799e-03]
 [4.34261560e-04]
 [5.79738659e-04]
 [1.73744808e-04]
 [6.67970085e-04]]","[[7.15481694e-05]
 [3.19047175e-04]
 [1.22389799e-03]
 [4.34261560e-04]
 [5.79738659e-04]
 [1.73744808e-04]
 [6.67970085e-04]]","[[-0.02537585]
 [-0.05358568]
 [ 0.10495276]
 [ 0.06251683]
 [ 0.07223329]
 [ 0.03954369]
 [ 0.07753535]]",1
"[[6.17047803e-05]
 [2.77442213e-04]
 [1.06887352e-03]
 [3.81139928e-04]
 [5.10228466e-04]
 [1.52849965e-04]
 [5.86511777e-04]]","[[6.17047803e-05]
 [2.77442213e-04]
 [1.06887352e-03]
 [3.81139928e-04]
 [5.10228466e-04]
 [1.52849965e-04]
 [5.86511777e-04]]","[[-0.02356572]
 [-0.04996979]
 [ 0.09808089]
 [ 0.05856842]
 [ 0.06776471]
 [ 0.03708975]
 [ 0.07265402]]",1
"[[5.28660316e-05]
 [2.39586656e-04]
 [9.26559074e-04]
 [3.32422221e-04]
 [4.46257814e-04]
 [1.33619700e-04]
 [5.11785053e-04]]","[[5.28660316e-05]
 [2.39586656e-04]
 [9.26559074e-04]
 [3.32422221e-04]
 [4.46257814e-04]
 [1.33619700e-04]
 [5.11785053e-04]]","[[-0.02181271]
 [-0.04643576]
 [ 0.0913183 ]
 [ 0.05469735]
 [ 0.06337445]
 [ 0.0346782 ]
 [ 0.067868  ]]",1
"[[4.49545203e-05]
 [2.05251410e-04]
 [7.96386895e-04]
 [2.87846889e-04]
 [3.87511167e-04]
 [1.15961208e-04]
 [4.43389080e-04]]","[[4.49545203e-05]
 [2.05251410e-04]
 [7.96386895e-04]
 [2.87846889e-04]
 [3.87511167e-04]
 [1.15961208e-04]
 [4.43389080e-04]]","[[-0.02011444]
 [-0.04297979]
 [ 0.08466098]
 [ 0.05089815]
 [ 0.05905591]
 [ 0.03230559]
 [ 0.06317042]]",1
"[[3.79158388e-05]
 [1.74302825e-04]
 [6.78133663e-04]
 [2.47278912e-04]
 [3.33842111e-04]
 [9.98319129e-05]
 [3.81119602e-04]]","[[3.79158388e-05]
 [1.74302825e-04]
 [6.78133663e-04]
 [2.47278912e-04]
 [3.33842111e-04]
 [9.98319129e-05]
 [3.81119602e-04]]","[[-0.01847275]
 [-0.03960714]
 [ 0.078123  ]
 [ 0.04717531]
 [ 0.05481404]
 [ 0.02997478]
 [ 0.05856685]]",1
"[[3.16882793e-05]
 [1.46569761e-04]
 [5.71411205e-04]
 [2.10535984e-04]
 [2.85042278e-04]
 [8.51703636e-05]
 [3.24698090e-04]]","[[3.16882793e-05]
 [1.46569761e-04]
 [5.71411205e-04]
 [2.10535984e-04]
 [2.85042278e-04]
 [8.51703636e-05]
 [3.24698090e-04]]","[[-0.0168877 ]
 [-0.0363198 ]
 [ 0.07171263]
 [ 0.04352957]
 [ 0.05064959]
 [ 0.02768634]
 [ 0.05405814]]",1
"[[2.62180065e-05]
 [1.21910184e-04]
 [4.75920052e-04]
 [1.77477289e-04]
 [2.40959555e-04]
 [7.19316831e-05]
 [2.73910257e-04]]","[[2.62180065e-05]
 [1.21910184e-04]
 [4.75920052e-04]
 [1.77477289e-04]
 [2.40959555e-04]
 [7.19316831e-05]
 [2.73910257e-04]]","[[-0.01536106]
 [-0.03312388]
 [ 0.06544678]
 [ 0.03996618]
 [ 0.04656862]
 [ 0.02544376]
 [ 0.0496507 ]]",1
"[[2.14399649e-05]
 [1.00122657e-04]
 [3.91099863e-04]
 [1.47883544e-04]
 [2.01336287e-04]
 [6.00391390e-05]
 [2.28419550e-04]]","[[2.14399649e-05]
 [1.00122657e-04]
 [3.91099863e-04]
 [1.47883544e-04]
 [2.01336287e-04]
 [6.00391390e-05]
 [2.28419550e-04]]","[[-0.01389099]
 [-0.03001839]
 [ 0.05932873]
 [ 0.03648221]
 [ 0.04256791]
 [ 0.02324548]
 [ 0.04534067]]",1
"[[1.72917566e-05]
 [8.10074055e-05]
 [3.16363714e-04]
 [1.21537632e-04]
 [1.65916364e-04]
 [4.94162555e-05]
 [1.87892955e-04]]","[[1.72917566e-05]
 [8.10074055e-05]
 [3.16363714e-04]
 [1.21537632e-04]
 [1.65916364e-04]
 [4.94162555e-05]
 [1.87892955e-04]]","[[-0.01247501]
 [-0.02700123]
 [ 0.05335985]
 [ 0.03307323]
 [ 0.03864256]
 [ 0.02108901]
 [ 0.04112222]]",1
"[[1.37463655e-05]
 [6.45209913e-05]
 [2.51711481e-04]
 [9.84454151e-05]
 [1.34745488e-04]
 [4.00766355e-05]
 [1.52344667e-04]]","[[1.37463655e-05]
 [6.45209913e-05]
 [2.51711481e-04]
 [9.84454151e-05]
 [1.34745488e-04]
 [4.00766355e-05]
 [1.52344667e-04]]","[[-0.01112283]
 [-0.02409749]
 [ 0.04759625]
 [ 0.0297659 ]
 [ 0.03482398]
 [ 0.01899183]
 [ 0.03702839]]",1
"[3.76954843e-04 5.28904042e-05 1.77064535e-05 ... 2.66262489e-04
 7.65915525e-03 1.41583773e-02]","[3.76954843e-04 5.28904042e-05 1.77064535e-05 ... 2.66262489e-04
 7.65915525e-03 1.41583773e-02]","[-0.05824597  0.02181774  0.01262371 ... -0.04895265 -0.2625498
 -0.35696694]",1
"[[1.07123858e-05]
 [5.03044347e-05]
 [1.95858977e-04]
 [7.81684591e-05]
 [1.07263669e-04]
 [3.18523864e-05]
 [1.21098194e-04]]","[[1.07123858e-05]
 [5.03044347e-05]
 [1.95858977e-04]
 [7.81684591e-05]
 [1.07263669e-04]
 [3.18523864e-05]
 [1.21098194e-04]]","[[-0.00981893]
 [-0.02127769]
 [ 0.04198489]
 [ 0.02652388]
 [ 0.03107045]
 [ 0.01693138]
 [ 0.03301339]]",1
"[[8.17678446e-06]
 [3.83574924e-05]
 [1.48910212e-04]
 [6.07835180e-05]
 [8.36102490e-05]
 [2.47843973e-05]
 [9.42793437e-05]]","[[8.17678446e-06]
 [3.83574924e-05]
 [1.48910212e-04]
 [6.07835180e-05]
 [8.36102490e-05]
 [2.47843973e-05]
 [9.42793437e-05]]","[[-0.00857852]
 [-0.01858003]
 [ 0.03660863]
 [ 0.02338914]
 [ 0.02743159]
 [ 0.01493518]
 [ 0.02912927]]",1
"[[6.08093700e-06]
 [2.84502406e-05]
 [1.10024116e-04]
 [4.60419659e-05]
 [6.34784824e-05]
 [1.87796886e-05]
 [7.15086618e-05]]","[[6.08093700e-06]
 [2.84502406e-05]
 [1.10024116e-04]
 [4.60419659e-05]
 [6.34784824e-05]
 [1.87796886e-05]
 [7.15086618e-05]]","[[-0.00739787]
 [-0.01600163]
 [ 0.03146771]
 [ 0.02035627]
 [ 0.02390202]
 [ 0.01300066]
 [ 0.02536884]]",1
"[[4.37245686e-06]
 [2.03682413e-05]
 [7.83902233e-05]
 [3.37149099e-05]
 [4.65840904e-05]
 [1.37516062e-05]
 [5.24382903e-05]]","[[4.37245686e-06]
 [2.03682413e-05]
 [7.83902233e-05]
 [3.37149099e-05]
 [4.65840904e-05]
 [1.37516062e-05]
 [5.24382903e-05]]","[[-0.00627313]
 [-0.01353936]
 [ 0.02656148]
 [ 0.01741936]
 [ 0.02047576]
 [ 0.01112495]
 [ 0.02172429]]",1
"[[2.99525080e-06]
 [1.38665806e-05]
 [5.30538482e-05]
 [2.35198901e-05]
 [3.25640502e-05]
 [9.58979552e-06]
 [3.66375240e-05]]","[[2.99525080e-06]
 [1.38665806e-05]
 [5.30538482e-05]
 [2.35198901e-05]
 [3.25640502e-05]
 [9.58979552e-06]
 [3.66375240e-05]]","[[-0.00519204]
 [-0.01117136]
 [ 0.02185142]
 [ 0.01454919]
 [ 0.01711948]
 [ 0.00929022]
 [ 0.01815868]]",1
"[[1.92908619e-06]
 [8.86001610e-06]
 [3.36663154e-05]
 [1.54246033e-05]
 [2.13966894e-05]
 [6.28478273e-06]
 [2.40664332e-05]]","[[1.92908619e-06]
 [8.86001610e-06]
 [3.36663154e-05]
 [1.54246033e-05]
 [2.13966894e-05]
 [6.28478273e-06]
 [2.40664332e-05]]","[[-0.00416675]
 [-0.00892973]
 [ 0.0174068 ]
 [ 0.01178225]
 [ 0.01387697]
 [ 0.00752084]
 [ 0.01471727]]",1
"[[1.13607626e-06]
 [5.16787580e-06]
 [1.94841451e-05]
 [9.24932222e-06]
 [1.28533739e-05]
 [3.76499299e-06]
 [1.44561099e-05]]","[[1.13607626e-06]
 [5.16787580e-06]
 [1.94841451e-05]
 [9.24932222e-06]
 [1.28533739e-05]
 [3.76499299e-06]
 [1.44561099e-05]]","[[-0.00319761]
 [-0.00681989]
 [ 0.01324225]
 [ 0.00912381]
 [ 0.01075548]
 [ 0.00582108]
 [ 0.01140636]]",1
