epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
0,0.7706,0.9249,"[ 2.63022474  4.53593144 -0.00928094  1.88961227  0.91209505  0.57018159
  1.16030798]",15.1521
1,0.6961,0.7061,"[ 2.64021254  4.54592567 -0.01927795  1.87961652  0.90209865  0.56018825
  1.15031138]",15.1883
2,0.6802,0.606,"[ 2.63024209  4.53594021 -0.00928572  1.88960647  0.91209015  0.57017244
  1.16030335]",15.152
3,0.6905,0.6193,"[2.62025051e+00 4.52594461e+00 7.11795783e-04 1.89960353e+00
 9.22087633e-01 5.80167705e-01 1.17030097e+00]",15.1215
4,0.6838,0.62,"[2.61025899 4.51594911 0.01070921 1.90960045 0.93208498 0.59016269
 1.18029844]",15.0966
5,0.6861,0.6227,"[2.60026749 4.50595369 0.02070655 1.91959724 0.9420822  0.60015744
 1.19029579]",15.0777
6,0.686,0.6211,"[2.59027699 4.49595884 0.03070353 1.92959353 0.95207897 0.61015132
 1.2002927 ]",15.0647
7,0.6878,0.6352,"[2.58028686 4.48596425 0.04070033 1.93958955 0.96207548 0.62014472
 1.21028934]",15.0578
8,0.6904,0.6458,"[2.5702981  4.47597046 0.05069665 1.94958489 0.97207137 0.63013694
 1.22028537]",15.0571
9,0.6911,0.6556,"[2.56030992 4.46597704 0.06069273 1.95957986 0.9820669  0.64012851
 1.23028104]",15.0625
10,0.6865,0.6412,"[2.55032448 4.45598518 0.07068787 1.96957352 0.99206123 0.65011784
 1.24027552]",15.0743
11,0.6923,0.6542,"[2.54033905 4.44599339 0.08068296 1.97956705 1.00205542 0.66010691
 1.25026984]",15.0924
12,0.6917,0.661,"[2.53035548 4.4360027  0.09067739 1.9895596  1.01204869 0.67009431
 1.26026324]",15.1168
13,0.6927,0.6647,"[2.52037502 4.42601383 0.10067073 1.99955058 1.02204049 0.68007902
 1.27025516]",15.1476
14,0.6928,0.6635,"[2.51237931 4.41801635 0.10866915 2.00754864 1.03003873 0.68807553
 1.2782534 ]",15.1768
15,0.6925,0.6665,"[2.50440068 4.41002862 0.11666183 2.01553852 1.03802944 0.69605831
 1.28624417]",15.2101
16,0.6931,0.6718,"[2.49642805 4.40204438 0.12465246 2.02352539 1.04601735 0.70403601
 1.29423211]",15.2473
17,0.6927,0.7125,"[2.48866189 4.39418441 0.13256842 2.03140562 1.05390588 0.71184032
 1.30212028]",15.2873
18,0.6931,0.6855,"[2.48668328 4.3921969  0.13456097 2.03339514 1.05589617 0.71382253
 1.30411053]",15.2981
19,0.6931,0.6893,"[2.48271749 4.38821679 0.13854922 2.03737832 1.05988053 0.71779404
 1.3080948 ]",15.3206
20,0.6931,0.6942,"[2.48268193 4.38819548 0.13856184 2.03739682 1.05989784 0.717824
 1.30811224]",15.3208
21,0.6928,0.6786,"[2.48488591 4.39032466 0.13648193 2.03528457 1.05779253 0.71564836
 1.3060063 ]",15.3081
22,0.6932,0.682,"[2.48491875 4.39034595 0.13646855 2.03526617 1.05777529 0.71561982
 1.30598899]",15.3079
23,0.6929,0.7075,"[2.48094967 4.38636403 0.14045784 2.03925087 1.06176106 0.71959397
 1.30997467]",15.3308
24,0.693,0.7068,"[2.48095056 4.38636464 0.14045736 2.0392505  1.06176075 0.71959315
 1.30997437]",15.3308
25,0.6916,0.7227,"[2.48091278 4.38634254 0.14047023 2.03926963 1.06177865 0.71962479
 1.30999245]",15.331
26,0.6931,0.6889,"[2.48098973 4.3863878  0.14044346 2.03923098 1.0617426  0.71956027
 1.30995614]",15.3305
27,0.6932,0.695,"[2.48297237 4.38837781 0.1384492  2.03723968 1.05975073 0.71757466
 1.30796434]",15.319
28,0.6932,0.7029,"[2.4829641  4.38837316 0.13845179 2.03724379 1.05975459 0.71758142
 1.30796823]",15.319
29,0.6927,0.7043,"[2.48296631 4.38837458 0.13845082 2.03724272 1.0597536  0.71757946
 1.30796724]",15.319
30,0.6931,0.6958,"[2.48485591 4.39030183 0.13649691 2.03530674 1.05781391 0.71567586
 1.30602788]",15.3082
31,0.6928,0.6801,"[2.48482284 4.39028283 0.13650791 2.03532308 1.05782912 0.71570316
 1.30604318]",15.3084
32,0.692,0.7112,"[2.48088014 4.38631634 0.14048812 2.03929455 1.06180254 0.71965523
 1.3100164 ]",15.3312
33,0.6929,0.7143,"[2.4847799  4.39025832 0.13652196 2.03534428 1.05784889 0.71573857
 1.3060631 ]",15.3087
34,0.6931,0.6904,"[2.48115833 4.38649308 0.14037846 2.03914099 1.06165849 0.71941548
 1.30987154]",15.3295
35,0.6932,0.6912,"[2.48116934 4.38649951 0.14037458 2.03913566 1.06165356 0.71940628
 1.3098666 ]",15.3294
36,0.6931,0.6889,"[2.48101205 4.38638863 0.14044762 2.03923473 1.06174756 0.7195477
 1.30996121]",15.3304
37,0.693,0.6986,"[2.48299082 4.38837653 0.13845455 2.03724519 1.05975731 0.71756519
 1.30797103]",15.3188
38,0.693,0.7051,"[2.48496566 4.39036216 0.13646281 2.03525761 1.05776888 0.71558597
 1.3059827 ]",15.3076
39,0.693,0.6879,"[2.4832771  4.38856294 0.13833686 2.03708245 1.05960438 0.7173165
 1.3078174 ]",15.317
40,0.6931,0.711,"[2.4872088  4.39252347 0.13435985 2.0331163  1.05563591 0.71337317
 1.30384914]",15.2949
41,0.6931,0.6866,"[2.48321558 4.38852749 0.13835739 2.037113   1.05963286 0.71736741
 1.30784607]",15.3174
42,0.6926,0.7092,"[2.48322834 4.38853502 0.13835285 2.03710672 1.05962703 0.71735669
 1.3078402 ]",15.3173
43,0.693,0.7092,"[2.48130948 4.38658228 0.14032505 2.03906644 1.0615895  0.71928896
 1.30980242]",15.3285
44,0.693,0.6854,"[2.48131147 4.3865839  0.14032388 2.0390651  1.06158823 0.71928692
 1.30980112]",15.3285
45,0.693,0.6764,"[2.48326429 4.38855621 0.13834012 2.03708898 1.05961051 0.71732631
 1.30782355]",15.3171
46,0.6926,0.6651,"[2.48521052 4.39052496 0.13635836 2.03511584 1.05763555 0.71537102
 1.30584876]",15.306
47,0.6931,0.6922,"[2.4851641  4.39049809 0.13637398 2.03513895 1.05765711 0.71540958
 1.30587046]",15.3063
48,0.6928,0.6827,"[2.48516277 4.39049746 0.13637423 2.03513962 1.05765774 0.71541055
 1.3058711 ]",15.3063
